text,label,document,year,annotator
Bisher wurden 76 Vorhaben auf einer Gesamtfläche von über 3.500 Quadratkilometern in die Förderung aufgenommen,0,508530,2012,21
2010 wurden drei neue Kapton®-Folien der Serie PV9100 für dünnschichtige PV-Module auf der Basis von amorphem Silizium (a-Si) und von Kupfer-Indium-Gallium-Diselenid (CIGS) präsentiert.,0,427359,2011,21
"In der im Frankenthaler Hemmer Verlag erschienenen Ausarbeitung entwickelt der Mannheimer Wirtschaftswissenschaftler nicht nur ein Modell für die Ziel- und Strategieentwicklung von Fakultäten, sondern gibt auch konkrete Handlungsanweisungen, wie sich Fachbereiche für die geänderten Rahmenbedingungen rüsten sollten.",0,52237,2002,21
"Der wirtschaftliche Aufschwung bringt es an den Tag: In Deutschland fehlen Fachkräfte, insbesondere Ingenieure und Naturwissenschaftler.",1,217916,2007,21
"„Prinzipiell kann eine einzige T-Zelle ausreichen, um einem Patienten einen wirksamen und dauerhaften Immunschutz gegen einen bestimmten Erreger oder ein Tumorantigen zu übertragen.",0,597487,2014,21
Pressekontakt: Geschäftsstelle Gleichstellungsbericht Fraunhofer-Gesellschaft Dr. Markus Motz Hansastr.,0,406196,2011,21
Theoretische Grundlage hierzu ist die Neue Institutionenökonomik.,0,21728,2000,21
Link zur Online-Veröffentlichung: <http://www.nature.com/ngeo/journal/vaop/ncurrent/full/ngeo411.html> Internationale Forschergruppe implementiert neues Tool Kontakt: PD Dr. Mara Weinelt Institut für Ur- und Frühgeschichte Christian-Albrechts-Universität zu Kiel Tel.,1,296984,2009,21
Wenig zuversichtlich fallen die Antworten bei der persönlichen Altersversorgung aus - das gilt besonders für Russland (13%) und Portugal (16%).,1,263257,2008,21
"Daher arbeiten Forscher unterschiedlicher Disziplinen wie der Mathematik, Physik, Statistik, Informatik aber auch der Geowissenschaften, Meteorologie und Klimaforschung mit Hochdruck an neuen Modellen, Methoden und Techniken zu ebendiesen Extremereignissen.",1,603396,2014,21
"„Eine wirksame Gleichstellungspolitik muss solche Fehlanreize vermeiden und darauf achten, dass Entscheidungen keine negativen Folgen für bestimmte Bevölkerungsgruppen oder ein Geschlecht haben.",0,406196,2011,21
Geeignete Daten liefern eine Basis für solche schwierigen Entscheidungen.“ “Electing Health – The Europe We Want” ist das Motto des diesjährigen EHFG.,1,606206,2014,21
"Verengte Sicht auf Alternativen macht blind für die besten Optionen Menschen, die eine Entscheidung zu treffen haben, sind oftmals nicht in der Lage, alle für sie relevanten Alternativen zu erkennen.",1,637479,2015,21
"Aus diesem Bericht ergibt sich, dass die amtlich anerkannten Begutachtungs-stellen in der Regel gute Arbeit leisten.",3,70667,2003,21
"Wenn die Klasse gross ist, stehen damit die Chancen schlecht, überhaupt etwas zu lernen"", erläutert Senn.",1,301565,2009,21
"„Die in Deutschland praktizierte Form der Corporate Governance bietet zentrale Voraussetzungen dafür, es besser zu machen.",0,529031,2013,21
"So lässt sich an keiner anderen Entzündungskrankheit – wie Gelenkrheuma oder Multiple Sklerose – einfacher als an Schuppenflechte studieren, wie Krankheits- oder Heilungsprozesse voranschreiten.",1,441462,2011,21
"Die jüngste Prognose, die sich streng an die Regel des Modells hält, berücksichtigt den Durchschnitt der Kanzlerpopularität im Juli und August.",0,51950,2002,21
Die Umsetzung der Empfehlungen als Leitplanken für den universitären Wettbewerb lässt eine große Dynamik für die Spitzenforschung in der Bundesrepublik erwarten.,1,645206,2016,21
"Die beste Übereinstimmung zeigen die tropischen Rekonstruktionen, die im Unterschied zu früheren Daten auf ausgeprägte Unterschiede zwischen Atlantik, Indik und Pazifik schließen lassen sowie auf eine jeweils stärkere Abkühlung auf der Ostseite hindeuten.",0,296984,2009,21
"Die öffentliche Debatte um die Fairness der ausgewählten Qualitätsindikatoren wird zudem das interne Qualitätsmanagement in den Systemen erheblich fördern.""",1,75882,2004,21
"Diese Informationslücken fallen umso schwerer ins Gewicht, als geringe Informiertheit das Stimmverhalten und den Ausgang des Volksentscheids beeinflussen kann.",0,373678,2010,21
"„Wir plädieren für eine Distanzierung von der Vorstellung, dass Kreativität und Genialität ‚fremdartig’ sind,“ sagte Professor Haslam.",0,556681,2013,21
"Das Pilotprojekt ""Szenarien für mehr Selbstverantwortung und Wahlfreiheit im Gesundheitswesen"" ist mit finanzieller Unterstützung durch das Sozialministerium Baden-Württemberg, der Landesärztekammer Baden-Württemberg und der Gottlieb Daimler- und Karl Benz-Stiftung zustande gekommen.",0,57215,2002,21
"„In diesen Gesellschaften scheint der Aufsichtsrat seine Überwachungsfunktion eher an den gesetzlichen Mindeststandards auszurichten.“ So verfügen alle der gemessen am AUFSICHTSRATS-SCORE schwächsten 13 MDAX-Unternehmen über einen dominierenden Großaktionär, der zwischen 25 Prozent (Aurubis) und 100 Prozent (Jungheinrich) der Stimmrechte kontrolliert.",0,643021,2015,21
"Um diese zu erschließen, müssten die kompetenzbezogenen und thematischen Schnittmengen zwischen den Clustern in Mitteldeutschland gezielt identifiziert und genutzt werden.",3,463161,2012,21
"Um diese Forschung voranzutreiben und inhaltlich weiterzuentwickeln, wurde im April 2010 die Strategische Partnerschaft »Produktivität von Dienstleistungen« ins Leben gerufen.",0,531188,2013,21
"Dies gilt selbst unter Berücksichtigung der Rolle von Selektionseffekten, die sich dadurch ergeben können, dass ohnehin besser integrierte Migranten häufig eine höhere Einbürgerungsbereitschaft mitbringen, also nicht erst durch den neuen Pass auf den Erfolgsweg geführt werden.",1,624783,2015,21
"Nur so jedoch koennen Erfolge erlebt werden, die zu weiterer Anstrengung motivieren.",1,12696,1999,21
"In dieser Absicht wollen sie im eigenen Herrschaftsgebiet eine reine und strenge Version des Islam verwirklichen, dem Leben der sunnitischen Gläubigen einen Sinn geben, die Sharia mit dem Schwert durchsetzen und als Führer des Islam anerkannt werden.",0,642209,2015,21
"Während bei der reinen Nutzung IT-gestützte Buchhaltung und IT-gestütztes Controlling ganz oben stehen, stufen nur knapp 30 Prozent der Unternehmen ihre Bedeutung für Auslandsaktivitäten als hoch ein.",0,168604,2006,21
"Weitere Informationen: <www.diejungeakademie.de/publikationen/magazin/heft9> Ansprechpartner: Dr. Tobias Jentsch, Geschäftsstelle der Jungen Akademie, Tel.",0,299845,2009,21
"Welche Hilfe wann und vor allem durch wen geleistet wird, kann so individuell bestimmt werden.",0,124368,2005,21
"In nur zwei Wochen haben das Fraunhofer FKIE und das THW gemeinsam der Rettungsspinne Einsatzmöglichkeiten erschlossen, die vorher nicht oder nur schwer möglich schienen.",1,573510,2014,21
"„In den Großunternehmen sank dagegen zwischen 2001 und 2009 die Nettobeschäftigung um 1,2 %.",0,534515,2013,21
Wie ist nachhaltiges Wirtschaften machbar?,0,68360,2003,21
"Nutzer könnten ihre Zustimmung geben, bis zu 10-20 % ihrer Rechnerleistung zur Verfügung zu stellen, ohne dass sich dies nachteilig auf die Leistung ihrer Computer auswirken würde.",3,631033,2015,21
"Mehr Unterstützung für Immobilienkäufer Die Politik sei gefordert, Bedingungen für eine größere Zufriedenheit von Mietern und Wohneigentümern zu schaffen, stellt Prof. Dr. Brettschneider fest.",0,630227,2015,21
"Die Resultate der Forschungsgruppe geben Aufschluss über die räumliche und zeitliche Regulation von Signalwegen, die es Zellen möglich machen, in eine bestimmte Richtung zu migrieren.",0,606446,2014,21
Die Ergebnisse sind ab sofort in gedruckter Form als Produktivitätsleitlinien verfügbar.,0,531188,2013,21
"Ziel des BMBF-Förderprojekts ""Unabhängige Forschergruppen in den Neurowissenschaften"" ist es, die Karrierechancen von Frauen in den Neurowissenschaften zu erhöhen.",0,272947,2008,21
Fußball vereint: junge Frauen und Männer im WM-Fieber Die aktuelle Erhebung untersucht zusätzlich den Einfluss der Fußballweltmeisterschaft auf die Stimmung in Deutschland.,0,592837,2014,21
"Die molekularen Ursachen der Thermostabilität von Proteinen liegen allerdings noch weitgehend im Dunkeln, da sich homologe Proteine aus mesophilen und thermophilen Organismen meist sehr stark in ihrem Aufbau, d. h. in ihrer Aminosäuresequenz unterscheiden.",1,21425,2000,21
Das Testsystem kann an verschiedene Treiberlaser angepasst werden und so eine große Bandbreite an Applikationsparametern bereitstellen.,0,633037,2015,21
Lore Funk und Wenka Wentzel formulieren auf dieser Grundlage Praxisempfehlungen: Initiativen zur weiblichen Nachwuchskräftegewinnung im MINT-Bereich sollten die vielfältigen Erwartungen der Mädchen an ihre berufliche Zukunft widerspiegeln.,1,600863,2014,21
"Wie sich das für die rationale und effiziente Entwicklung neuer Medikamente nutzen lässt, wird auf dem Workshop diskutiert.",0,441462,2011,21
Volkskundlerin Hänel hat alle Ausgaben gesichtet und die wichtigsten Artikel hinsichtlich Wortwahl und Inhalt analysiert.,0,70274,2003,21
"Ihre Integrationslösungen, die auf der Virtual-Reality-Technologie basieren, lassen sich in allen mit 3D-Konstruktion befassten Unternehmen einsetzen, würdigte die Jury die Leistung der zukünftigen Jungunternehmer in ihrer Begründung.",0,33591,2001,21
Denn in diesem komplexen Umfeld lassen sich mit dem System zum Beispiel Trainingsszenarien optimal durchführen: So kann ein Ausbilder mit Hilfe des dreidimensional visualisierten Schiffsmodells völlig gefahrlos einen Havariefall für die Kursteilnehmer simulieren.,1,33591,2001,21
Darüber hinaus hat auch die regionale Raumplanung großen Einfluss auf den Standort der Windkraftanlagen.,0,597650,2014,21
"Deshalb entwickelten die Forscher des Fraunhofer-Instituts für System- und Innovationsforschung ISI zwei Szenarien für die Zukunft erneuerbarer Energieträger: eines BAU (Business As Usual) genannt, das auf der aktuellen Politik basiert und ein zweites ADP (Accelerated Deployment Policies), das eine stärkere Förderung erneuerbarer Energien annimmt.",0,318659,2009,21
