experiment,run,rec
agnews_1000_lora_baseline,1,0.967
agnews_1000_lora_baseline,2,0.962
agnews_1000_lora_baseline,3,0.964
agnews_1000_lora_baseline,4,0.962
agnews_1000_lora_baseline,5,0.962
agnews_1000_lora_baseline,6,0.964
agnews_1000_lora_baseline,7,0.964
agnews_1000_lora_baseline,8,0.957
agnews_1000_lora_baseline,9,0.964
agnews_1000_lora_baseline,10,0.964
agnews_1000_lora_baseline,11,0.957
agnews_1000_lora_baseline,12,0.964
agnews_1000_lora_baseline,13,0.959
agnews_1000_lora_baseline,14,0.967
agnews_1000_lora_baseline,15,0.971
agnews_1000_lora_baseline,16,0.962
agnews_1000_pfeiffer_baseline,1,0.964
agnews_1000_pfeiffer_baseline,2,0.962
agnews_1000_pfeiffer_baseline,3,0.971
agnews_1000_pfeiffer_baseline,4,0.967
agnews_1000_pfeiffer_baseline,5,0.964
agnews_1000_pfeiffer_baseline,6,0.962
agnews_1000_pfeiffer_baseline,7,0.967
agnews_1000_pfeiffer_baseline,8,0.962
agnews_1000_pfeiffer_baseline,9,0.957
agnews_1000_pfeiffer_baseline,10,0.967
agnews_1000_pfeiffer_baseline,11,0.962
agnews_1000_pfeiffer_baseline,12,0.964
agnews_1000_pfeiffer_baseline,13,0.962
agnews_1000_pfeiffer_baseline,14,0.967
agnews_1000_pfeiffer_baseline,15,0.967
agnews_1000_pfeiffer_baseline,16,0.964
agnews_1000_pfeifferinv_baseline,1,0.957
agnews_1000_pfeifferinv_baseline,2,0.969
agnews_1000_pfeifferinv_baseline,3,0.969
agnews_1000_pfeifferinv_baseline,4,0.964
agnews_1000_pfeifferinv_baseline,5,0.964
agnews_1000_pfeifferinv_baseline,6,0.964
agnews_1000_pfeifferinv_baseline,7,0.967
agnews_1000_pfeifferinv_baseline,8,0.964
agnews_1000_pfeifferinv_baseline,9,0.955
agnews_1000_pfeifferinv_baseline,10,0.969
agnews_1000_pfeifferinv_baseline,11,0.969
agnews_1000_pfeifferinv_baseline,12,0.969
agnews_1000_pfeifferinv_baseline,13,0.955
agnews_1000_pfeifferinv_baseline,14,0.969
agnews_1000_pfeifferinv_baseline,15,0.969
agnews_1000_pfeifferinv_baseline,16,0.969
agnews_2000_lora_baseline,1,0.962
agnews_2000_lora_baseline,2,0.962
agnews_2000_lora_baseline,3,0.959
agnews_2000_lora_baseline,4,0.962
agnews_2000_lora_baseline,5,0.957
agnews_2000_lora_baseline,6,0.962
agnews_2000_lora_baseline,7,0.962
agnews_2000_lora_baseline,8,0.959
agnews_2000_lora_baseline,9,0.962
agnews_2000_lora_baseline,10,0.957
agnews_2000_lora_baseline,11,0.957
agnews_2000_lora_baseline,12,0.962
agnews_2000_lora_baseline,13,0.964
agnews_2000_lora_baseline,14,0.962
agnews_2000_lora_baseline,15,0.959
agnews_2000_lora_baseline,16,0.962
agnews_2000_pfeiffer_baseline,1,0.952
agnews_2000_pfeiffer_baseline,2,0.959
agnews_2000_pfeiffer_baseline,3,0.969
agnews_2000_pfeiffer_baseline,4,0.964
agnews_2000_pfeiffer_baseline,5,0.964
agnews_2000_pfeiffer_baseline,6,0.962
agnews_2000_pfeiffer_baseline,7,0.959
agnews_2000_pfeiffer_baseline,8,0.957
agnews_2000_pfeiffer_baseline,9,0.962
agnews_2000_pfeiffer_baseline,10,0.957
agnews_2000_pfeiffer_baseline,11,0.967
agnews_2000_pfeiffer_baseline,12,0.967
agnews_2000_pfeiffer_baseline,13,0.967
agnews_2000_pfeiffer_baseline,14,0.967
agnews_2000_pfeiffer_baseline,15,0.959
agnews_2000_pfeiffer_baseline,16,0.959
agnews_2000_pfeifferinv_baseline,1,0.962
agnews_2000_pfeifferinv_baseline,2,0.962
agnews_2000_pfeifferinv_baseline,3,0.962
agnews_2000_pfeifferinv_baseline,4,0.969
agnews_2000_pfeifferinv_baseline,5,0.967
agnews_2000_pfeifferinv_baseline,6,0.967
agnews_2000_pfeifferinv_baseline,7,0.962
agnews_2000_pfeifferinv_baseline,8,0.964
agnews_2000_pfeifferinv_baseline,9,0.971
agnews_2000_pfeifferinv_baseline,10,0.959
agnews_2000_pfeifferinv_baseline,11,0.967
agnews_2000_pfeifferinv_baseline,12,0.969
agnews_2000_pfeifferinv_baseline,13,0.967
agnews_2000_pfeifferinv_baseline,14,0.967
agnews_2000_pfeifferinv_baseline,15,0.964
agnews_2000_pfeifferinv_baseline,16,0.969
