experiment,run,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10
agnews_1000_lora_diversity_10,1,0.955,0.959,0.962,0.952,0.945,0.95,0.947,0.945,0.959,0.943,0.955
agnews_1000_lora_diversity_10,2,0.955,0.959,0.952,0.95,0.943,0.955,0.955,0.95,0.955,0.938,0.955
agnews_1000_lora_diversity_10,3,0.952,0.955,0.955,0.947,0.945,0.945,0.947,0.95,0.957,0.943,0.95
agnews_1000_lora_diversity_10,4,0.952,0.95,0.959,0.95,0.952,0.952,0.95,0.947,0.952,0.94,0.955
agnews_1000_lora_diversity_10,5,0.955,0.957,0.957,0.94,0.938,0.955,0.955,0.95,0.959,0.935,0.962
agnews_1000_lora_diversity_10,6,0.955,0.957,0.962,0.95,0.947,0.947,0.95,0.955,0.957,0.94,0.952
agnews_1000_lora_diversity_10,7,0.955,0.962,0.959,0.943,0.945,0.959,0.955,0.95,0.957,0.94,0.952
agnews_1000_lora_diversity_10,8,0.952,0.964,0.957,0.957,0.957,0.955,0.947,0.95,0.952,0.933,0.957
agnews_1000_lora_diversity_10,9,0.95,0.955,0.955,0.938,0.935,0.947,0.955,0.947,0.957,0.943,0.955
agnews_1000_lora_diversity_10,10,0.959,0.955,0.959,0.952,0.95,0.947,0.955,0.952,0.95,0.94,0.962
agnews_1000_lora_diversity_10,11,0.955,0.957,0.962,0.938,0.938,0.95,0.95,0.947,0.94,0.935,0.957
agnews_1000_lora_diversity_10,12,0.957,0.962,0.959,0.947,0.952,0.947,0.952,0.952,0.957,0.938,0.957
agnews_1000_lora_diversity_10,13,0.955,0.964,0.959,0.945,0.943,0.947,0.957,0.945,0.955,0.945,0.955
agnews_1000_lora_diversity_10,14,0.952,0.959,0.957,0.947,0.945,0.947,0.952,0.947,0.947,0.943,0.955
agnews_1000_lora_diversity_10,15,0.952,0.957,0.959,0.94,0.943,0.95,0.952,0.95,0.952,0.945,0.955
agnews_1000_lora_diversity_10,16,0.955,0.955,0.952,0.947,0.945,0.952,0.945,0.943,0.959,0.945,0.957
agnews_1000_lora_diversity_100,1,0.959,0.962,0.959,0.962,0.957,0.957,0.947,0.95,0.952,0.945,0.959
agnews_1000_lora_diversity_100,2,0.955,0.959,0.952,0.95,0.943,0.955,0.957,0.952,0.957,0.94,0.955
agnews_1000_lora_diversity_100,3,0.952,0.955,0.955,0.947,0.945,0.947,0.947,0.95,0.957,0.945,0.95
agnews_1000_lora_diversity_100,4,0.952,0.95,0.959,0.95,0.952,0.952,0.95,0.95,0.952,0.943,0.955
agnews_1000_lora_diversity_100,5,0.955,0.957,0.957,0.94,0.938,0.955,0.955,0.95,0.957,0.938,0.962
agnews_1000_lora_diversity_100,6,0.955,0.957,0.962,0.95,0.947,0.947,0.95,0.955,0.957,0.938,0.952
agnews_1000_lora_diversity_100,7,0.955,0.962,0.959,0.943,0.945,0.959,0.955,0.952,0.962,0.947,0.959
agnews_1000_lora_diversity_100,8,0.952,0.964,0.957,0.957,0.957,0.955,0.947,0.95,0.955,0.931,0.957
