experiment,run,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9,prec_10
agnews_1000_lora_diversity_10,1,0.955,0.959,0.962,0.952,0.946,0.95,0.948,0.945,0.96,0.945,0.955
agnews_1000_lora_diversity_10,2,0.955,0.96,0.953,0.951,0.944,0.955,0.955,0.951,0.955,0.94,0.955
agnews_1000_lora_diversity_10,3,0.952,0.955,0.955,0.948,0.946,0.945,0.948,0.951,0.957,0.945,0.951
agnews_1000_lora_diversity_10,4,0.952,0.951,0.96,0.95,0.954,0.952,0.95,0.948,0.952,0.944,0.955
agnews_1000_lora_diversity_10,5,0.955,0.957,0.958,0.941,0.939,0.955,0.955,0.951,0.959,0.938,0.962
agnews_1000_lora_diversity_10,6,0.955,0.958,0.962,0.95,0.948,0.947,0.951,0.955,0.957,0.943,0.953
agnews_1000_lora_diversity_10,7,0.955,0.962,0.96,0.944,0.947,0.959,0.955,0.951,0.957,0.942,0.953
agnews_1000_lora_diversity_10,8,0.952,0.964,0.958,0.957,0.958,0.955,0.948,0.95,0.954,0.938,0.958
agnews_1000_lora_diversity_10,9,0.95,0.955,0.955,0.939,0.939,0.947,0.955,0.948,0.957,0.945,0.955
agnews_1000_lora_diversity_10,10,0.959,0.955,0.96,0.953,0.951,0.947,0.955,0.953,0.95,0.944,0.962
agnews_1000_lora_diversity_10,11,0.955,0.957,0.962,0.939,0.939,0.95,0.95,0.948,0.941,0.938,0.958
agnews_1000_lora_diversity_10,12,0.957,0.962,0.96,0.948,0.953,0.948,0.953,0.953,0.957,0.942,0.958
agnews_1000_lora_diversity_10,13,0.955,0.964,0.96,0.946,0.945,0.947,0.957,0.946,0.955,0.947,0.955
agnews_1000_lora_diversity_10,14,0.952,0.959,0.958,0.949,0.947,0.947,0.952,0.948,0.948,0.945,0.955
agnews_1000_lora_diversity_10,15,0.952,0.958,0.96,0.941,0.945,0.95,0.952,0.95,0.952,0.947,0.955
agnews_1000_lora_diversity_10,16,0.955,0.955,0.953,0.948,0.946,0.952,0.946,0.944,0.959,0.947,0.957
agnews_1000_lora_diversity_100,1,0.959,0.962,0.96,0.962,0.958,0.957,0.948,0.951,0.953,0.947,0.96
agnews_1000_lora_diversity_100,2,0.955,0.96,0.953,0.951,0.944,0.955,0.957,0.953,0.957,0.942,0.955
agnews_1000_lora_diversity_100,3,0.952,0.955,0.955,0.948,0.946,0.947,0.948,0.951,0.957,0.947,0.951
agnews_1000_lora_diversity_100,4,0.952,0.951,0.96,0.95,0.954,0.952,0.95,0.95,0.952,0.946,0.955
agnews_1000_lora_diversity_100,5,0.955,0.957,0.958,0.941,0.939,0.955,0.955,0.95,0.957,0.94,0.962
agnews_1000_lora_diversity_100,6,0.955,0.958,0.962,0.95,0.948,0.947,0.951,0.955,0.957,0.94,0.953
agnews_1000_lora_diversity_100,7,0.955,0.962,0.96,0.944,0.947,0.959,0.955,0.953,0.962,0.949,0.96
agnews_1000_lora_diversity_100,8,0.952,0.964,0.958,0.957,0.958,0.955,0.948,0.95,0.956,0.935,0.958
agnews_1000_lora_diversity_100,9,0.95,0.955,0.955,0.939,0.936,0.95,0.955,0.948,0.957,0.949,0.955
agnews_1000_lora_diversity_100,10,0.959,0.955,0.96,0.953,0.951,0.947,0.955,0.953,0.948,0.941,0.962
agnews_1000_lora_diversity_100,11,0.955,0.957,0.962,0.939,0.939,0.95,0.95,0.95,0.941,0.94,0.955
agnews_1000_lora_diversity_100,12,0.957,0.962,0.96,0.948,0.953,0.948,0.953,0.953,0.957,0.943,0.958
