experiment,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10
1000_lora_diversity_10,0.754,0.773,0.691,0.754,0.758,0.725,0.72,0.742,0.725,0.775,0.773
1000_lora_diversity_100,0.754,0.773,0.713,0.763,0.778,0.725,0.732,0.725,0.725,0.773,0.768
1000_lora_diversity_50,0.754,0.77,0.706,0.761,0.778,0.722,0.727,0.722,0.734,0.773,0.77
1000_lora_diversity_500,0.754,0.773,0.689,0.754,0.77,0.727,0.734,0.734,0.744,0.785,0.768
1000_lora_random_10,0.754,0.754,0.699,0.722,0.756,0.78,0.701,0.763,0.754,0.706,0.768
1000_lora_random_100,0.754,0.751,0.701,0.722,0.789,0.785,0.708,0.751,0.766,0.72,0.768
1000_lora_random_50,0.754,0.754,0.703,0.722,0.758,0.782,0.703,0.754,0.763,0.718,0.77
1000_lora_random_500,0.754,0.756,0.703,0.725,0.794,0.782,0.708,0.744,0.778,0.722,0.756
1000_lora_uncertainty_10,0.754,0.775,0.78,0.778,0.689,0.782,0.718,0.789,0.787,0.778,0.751
1000_lora_uncertainty_100,0.754,0.775,0.763,0.763,0.739,0.761,0.77,0.768,0.742,0.684,0.742
1000_lora_uncertainty_50,0.754,0.775,0.754,0.746,0.754,0.73,0.734,0.754,0.751,0.754,0.761
1000_lora_uncertainty_500,0.754,0.778,0.782,0.763,0.792,0.77,0.749,0.754,0.754,0.785,0.778
1000_pfeiffer_diversity_10,0.734,0.758,0.689,0.67,0.715,0.684,0.703,0.711,0.708,0.758,0.725
1000_pfeiffer_diversity_100,0.734,0.761,0.689,0.706,0.725,0.722,0.722,0.732,0.696,0.732,0.711
1000_pfeiffer_diversity_50,0.734,0.751,0.679,0.713,0.715,0.711,0.708,0.725,0.696,0.749,0.72
1000_pfeiffer_diversity_500,0.734,0.749,0.701,0.706,0.72,0.722,0.701,0.742,0.699,0.737,0.699
1000_pfeiffer_random_10,0.734,0.734,0.691,0.617,0.737,0.701,0.718,0.687,0.737,0.699,0.73
1000_pfeiffer_random_100,0.734,0.746,0.684,0.639,0.72,0.718,0.718,0.653,0.732,0.682,0.737
1000_pfeiffer_random_50,0.734,0.742,0.684,0.627,0.722,0.699,0.715,0.658,0.744,0.706,0.739
1000_pfeiffer_random_500,0.734,0.737,0.684,0.639,0.732,0.715,0.699,0.653,0.746,0.684,0.734
1000_pfeiffer_uncertainty_10,0.734,0.734,0.73,0.734,0.749,0.754,0.758,0.756,0.727,0.73,0.749
1000_pfeiffer_uncertainty_100,0.734,0.734,0.737,0.744,0.739,0.77,0.756,0.742,0.751,0.775,0.761
1000_pfeiffer_uncertainty_50,0.734,0.734,0.744,0.758,0.746,0.739,0.754,0.749,0.751,0.744,0.763
1000_pfeiffer_uncertainty_500,0.734,0.756,0.758,0.744,0.746,0.737,0.727,0.73,0.734,0.742,0.703
1000_pfeifferinv_diversity_10,0.742,0.792,0.703,0.725,0.768,0.754,0.725,0.761,0.737,0.778,0.734
1000_pfeifferinv_diversity_100,0.742,0.787,0.706,0.734,0.761,0.746,0.725,0.756,0.727,0.754,0.713
1000_pfeifferinv_diversity_50,0.742,0.768,0.715,0.72,0.77,0.737,0.706,0.742,0.737,0.77,0.725
1000_pfeifferinv_diversity_500,0.742,0.763,0.703,0.727,0.768,0.732,0.72,0.739,0.737,0.758,0.746
1000_pfeifferinv_random_10,0.742,0.77,0.734,0.689,0.782,0.766,0.725,0.699,0.756,0.718,0.72
1000_pfeifferinv_random_100,0.742,0.766,0.737,0.682,0.78,0.766,0.715,0.706,0.751,0.684,0.746
1000_pfeifferinv_random_50,0.742,0.768,0.754,0.665,0.778,0.754,0.711,0.679,0.742,0.711,0.749
1000_pfeifferinv_random_500,0.742,0.775,0.725,0.667,0.768,0.749,0.711,0.67,0.744,0.656,0.732
1000_pfeifferinv_uncertainty_10,0.742,0.737,0.766,0.734,0.758,0.751,0.744,0.754,0.768,0.749,0.78
1000_pfeifferinv_uncertainty_100,0.742,0.744,0.78,0.794,0.763,0.768,0.768,0.768,0.766,0.763,0.758
1000_pfeifferinv_uncertainty_50,0.742,0.754,0.725,0.761,0.749,0.746,0.746,0.761,0.766,0.763,0.763
1000_pfeifferinv_uncertainty_500,0.742,0.737,0.768,0.756,0.766,0.763,0.746,0.763,0.763,0.758,0.758
2000_lora_diversity_10,0.778,0.763,0.746,0.773,0.782,0.766,0.722,0.789,0.799,0.763,0.78
2000_lora_diversity_100,0.778,0.746,0.749,0.775,0.785,0.754,0.73,0.787,0.797,0.773,0.789
2000_lora_diversity_50,0.782,0.761,0.737,0.756,0.758,0.749,0.718,0.768,0.789,0.77,0.78
2000_lora_diversity_500,0.778,0.751,0.756,0.773,0.789,0.756,0.744,0.773,0.785,0.787,0.782
2000_lora_random_10,0.778,0.682,0.732,0.763,0.78,0.787,0.763,0.756,0.766,0.732,0.761
2000_lora_random_100,0.778,0.672,0.749,0.751,0.77,0.785,0.761,0.761,0.775,0.742,0.749
2000_lora_random_50,0.778,0.672,0.749,0.751,0.77,0.778,0.761,0.749,0.773,0.737,0.751
2000_lora_random_500,0.778,0.677,0.746,0.758,0.763,0.789,0.773,0.77,0.778,0.751,0.768
2000_lora_uncertainty_10,0.778,0.778,0.78,0.806,0.768,0.768,0.739,0.763,0.758,0.739,0.766
2000_lora_uncertainty_100,0.778,0.775,0.78,0.778,0.766,0.754,0.778,0.773,0.785,0.78,0.742
2000_lora_uncertainty_50,0.778,0.775,0.773,0.794,0.782,0.749,0.744,0.751,0.773,0.746,0.746
2000_lora_uncertainty_500,0.778,0.775,0.773,0.768,0.77,0.778,0.799,0.787,0.77,0.78,0.77
2000_pfeiffer_diversity_10,0.715,0.744,0.73,0.734,0.775,0.754,0.766,0.773,0.78,0.787,0.775
2000_pfeiffer_diversity_100,0.715,0.746,0.746,0.746,0.749,0.763,0.739,0.732,0.77,0.754,0.763
2000_pfeiffer_diversity_50,0.715,0.749,0.734,0.751,0.751,0.768,0.768,0.739,0.766,0.751,0.766
2000_pfeiffer_diversity_500,0.715,0.732,0.734,0.739,0.734,0.732,0.725,0.727,0.758,0.744,0.766
2000_pfeiffer_random_10,0.715,0.701,0.73,0.754,0.773,0.746,0.754,0.742,0.715,0.708,0.706
