experiment,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9,prec_10
1000_lora_diversity_10,0.676,0.703,0.638,0.68,0.68,0.654,0.65,0.668,0.662,0.763,0.7
1000_lora_diversity_100,0.676,0.719,0.651,0.691,0.707,0.661,0.668,0.661,0.664,0.744,0.692
1000_lora_diversity_50,0.676,0.714,0.645,0.687,0.707,0.659,0.666,0.653,0.672,0.75,0.696
1000_lora_diversity_500,0.676,0.725,0.635,0.68,0.697,0.661,0.666,0.665,0.68,0.802,0.692
1000_lora_random_10,0.676,0.674,0.628,0.649,0.777,0.716,0.642,0.689,0.672,0.631,0.692
1000_lora_random_100,0.676,0.671,0.63,0.649,0.8,0.726,0.647,0.67,0.689,0.645,0.692
1000_lora_random_50,0.676,0.674,0.632,0.649,0.746,0.72,0.644,0.675,0.685,0.643,0.696
1000_lora_random_500,0.676,0.678,0.634,0.651,0.792,0.726,0.647,0.661,0.707,0.645,0.672
1000_lora_uncertainty_10,0.676,0.712,0.712,0.726,0.635,0.764,0.65,0.727,0.744,0.713,0.67
1000_lora_uncertainty_100,0.676,0.712,0.684,0.684,0.672,0.682,0.696,0.692,0.664,0.635,0.666
1000_lora_uncertainty_50,0.676,0.712,0.672,0.659,0.671,0.665,0.647,0.679,0.676,0.678,0.683
1000_lora_uncertainty_500,0.676,0.715,0.717,0.686,0.762,0.697,0.67,0.677,0.673,0.732,0.708
1000_pfeiffer_diversity_10,0.658,0.676,0.644,0.625,0.614,0.624,0.639,0.641,0.627,0.679,0.634
1000_pfeiffer_diversity_100,0.658,0.679,0.642,0.642,0.643,0.659,0.66,0.663,0.633,0.642,0.643
1000_pfeiffer_diversity_50,0.658,0.661,0.635,0.651,0.632,0.646,0.642,0.64,0.621,0.662,0.647
1000_pfeiffer_diversity_500,0.658,0.658,0.657,0.644,0.637,0.654,0.637,0.671,0.627,0.651,0.63
1000_pfeiffer_random_10,0.658,0.651,0.616,0.635,0.631,0.624,0.645,0.607,0.643,0.635,0.632
1000_pfeiffer_random_100,0.658,0.665,0.617,0.648,0.611,0.633,0.646,0.593,0.636,0.632,0.643
