experiment,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10
1000_lora_diversity_10,0.671,0.636,0.668,0.683,0.665,0.67,0.666,0.678,0.688,0.586,0.663
1000_lora_diversity_100,0.671,0.605,0.677,0.689,0.678,0.685,0.693,0.685,0.691,0.587,0.641
1000_lora_diversity_50,0.671,0.601,0.672,0.685,0.684,0.683,0.692,0.671,0.697,0.584,0.655
1000_lora_diversity_500,0.671,0.599,0.664,0.683,0.676,0.683,0.685,0.682,0.704,0.598,0.657
1000_lora_random_10,0.671,0.662,0.646,0.662,0.534,0.646,0.669,0.68,0.653,0.645,0.644
1000_lora_random_100,0.671,0.66,0.648,0.662,0.611,0.653,0.674,0.657,0.661,0.657,0.644
1000_lora_random_50,0.671,0.662,0.649,0.662,0.544,0.651,0.67,0.665,0.656,0.656,0.646
1000_lora_random_500,0.671,0.667,0.652,0.664,0.626,0.639,0.674,0.649,0.675,0.653,0.636
1000_lora_uncertainty_10,0.671,0.628,0.665,0.618,0.664,0.606,0.671,0.68,0.636,0.639,0.657
1000_lora_uncertainty_100,0.671,0.628,0.641,0.638,0.691,0.658,0.652,0.666,0.666,0.666,0.672
1000_lora_uncertainty_50,0.671,0.628,0.653,0.636,0.65,0.688,0.637,0.68,0.678,0.677,0.667
1000_lora_uncertainty_500,0.671,0.636,0.663,0.665,0.636,0.64,0.665,0.674,0.656,0.641,0.663
1000_pfeiffer_diversity_10,0.664,0.602,0.679,0.657,0.6,0.648,0.661,0.66,0.634,0.59,0.624
1000_pfeiffer_diversity_100,0.664,0.625,0.676,0.666,0.646,0.683,0.686,0.681,0.656,0.629,0.663
1000_pfeiffer_diversity_50,0.664,0.606,0.669,0.677,0.636,0.669,0.664,0.64,0.635,0.635,0.66
1000_pfeiffer_diversity_500,0.664,0.613,0.696,0.669,0.639,0.674,0.66,0.684,0.643,0.642,0.649
1000_pfeiffer_random_10,0.664,0.646,0.629,0.676,0.584,0.635,0.659,0.617,0.617,0.658,0.61
1000_pfeiffer_random_100,0.664,0.657,0.636,0.693,0.585,0.635,0.662,0.612,0.614,0.662,0.617
1000_pfeiffer_random_50,0.664,0.66,0.624,0.679,0.581,0.643,0.639,0.606,0.634,0.672,0.619
1000_pfeiffer_random_500,0.664,0.654,0.648,0.69,0.59,0.618,0.655,0.627,0.621,0.672,0.61
1000_pfeiffer_uncertainty_10,0.664,0.643,0.619,0.64,0.635,0.65,0.647,0.648,0.671,0.688,0.683
1000_pfeiffer_uncertainty_100,0.664,0.643,0.608,0.622,0.622,0.61,0.633,0.606,0.675,0.649,0.688
1000_pfeiffer_uncertainty_50,0.664,0.643,0.658,0.674,0.678,0.679,0.674,0.616,0.6,0.604,0.668
1000_pfeiffer_uncertainty_500,0.664,0.639,0.641,0.619,0.648,0.636,0.668,0.661,0.685,0.693,0.649
1000_pfeifferinv_diversity_10,0.702,0.673,0.676,0.679,0.675,0.683,0.694,0.697,0.666,0.633,0.649
1000_pfeifferinv_diversity_100,0.702,0.669,0.681,0.694,0.676,0.681,0.685,0.706,0.695,0.614,0.638
1000_pfeifferinv_diversity_50,0.702,0.666,0.684,0.682,0.688,0.684,0.684,0.687,0.69,0.673,0.67
1000_pfeifferinv_diversity_500,0.702,0.659,0.685,0.692,0.702,0.699,0.697,0.682,0.681,0.617,0.666
1000_pfeifferinv_random_10,0.702,0.682,0.685,0.673,0.645,0.652,0.679,0.649,0.661,0.683,0.615
1000_pfeifferinv_random_100,0.702,0.676,0.696,0.686,0.637,0.676,0.675,0.663,0.645,0.666,0.648
1000_pfeifferinv_random_50,0.702,0.675,0.701,0.666,0.633,0.659,0.66,0.633,0.645,0.666,0.647
1000_pfeifferinv_random_500,0.702,0.682,0.691,0.673,0.626,0.641,0.66,0.639,0.646,0.647,0.617
1000_pfeifferinv_uncertainty_10,0.702,0.636,0.67,0.688,0.638,0.627,0.619,0.638,0.678,0.662,0.68
1000_pfeifferinv_uncertainty_100,0.702,0.643,0.659,0.671,0.647,0.672,0.644,0.644,0.655,0.638,0.647
1000_pfeifferinv_uncertainty_50,0.702,0.641,0.676,0.691,0.698,0.711,0.696,0.7,0.664,0.671,0.65
1000_pfeifferinv_uncertainty_500,0.702,0.636,0.675,0.685,0.676,0.653,0.669,0.671,0.68,0.695,0.707
2000_lora_diversity_10,0.708,0.674,0.717,0.711,0.678,0.676,0.695,0.728,0.693,0.653,0.668
2000_lora_diversity_100,0.708,0.66,0.71,0.716,0.683,0.686,0.685,0.709,0.7,0.669,0.686
2000_lora_diversity_50,0.699,0.679,0.687,0.688,0.638,0.665,0.677,0.69,0.662,0.64,0.653
2000_lora_diversity_500,0.708,0.663,0.712,0.714,0.686,0.673,0.698,0.684,0.68,0.681,0.663
2000_lora_random_10,0.708,0.698,0.699,0.711,0.707,0.678,0.653,0.688,0.646,0.647,0.661
2000_lora_random_100,0.708,0.673,0.704,0.703,0.697,0.686,0.655,0.697,0.649,0.651,0.668
2000_lora_random_50,0.708,0.673,0.704,0.703,0.7,0.681,0.652,0.689,0.654,0.648,0.666
2000_lora_random_500,0.708,0.68,0.702,0.704,0.683,0.689,0.66,0.712,0.648,0.657,0.672
2000_lora_uncertainty_10,0.708,0.705,0.656,0.709,0.693,0.66,0.716,0.693,0.713,0.713,0.694
2000_lora_uncertainty_100,0.708,0.704,0.695,0.672,0.694,0.692,0.69,0.708,0.695,0.674,0.681
2000_lora_uncertainty_50,0.708,0.704,0.66,0.671,0.702,0.722,0.707,0.627,0.708,0.699,0.702
2000_lora_uncertainty_500,0.708,0.71,0.69,0.723,0.676,0.696,0.699,0.675,0.697,0.689,0.679
2000_pfeiffer_diversity_10,0.663,0.64,0.658,0.685,0.701,0.665,0.703,0.711,0.659,0.672,0.695
2000_pfeiffer_diversity_100,0.663,0.666,0.672,0.693,0.692,0.665,0.673,0.696,0.667,0.647,0.677
2000_pfeiffer_diversity_50,0.663,0.653,0.655,0.693,0.693,0.687,0.702,0.688,0.658,0.63,0.673
2000_pfeiffer_diversity_500,0.663,0.656,0.673,0.685,0.679,0.653,0.658,0.659,0.635,0.61,0.661
2000_pfeiffer_random_10,0.663,0.654,0.697,0.689,0.678,0.672,0.656,0.669,0.642,0.643,0.606
2000_pfeiffer_random_100,0.663,0.658,0.691,0.685,0.661,0.678,0.656,0.641,0.607,0.632,0.581
