experiment,run,acc
sensation_1000_lora_baseline,1,0.751
sensation_1000_lora_baseline,2,0.766
sensation_1000_lora_baseline,3,0.768
sensation_1000_lora_baseline,4,0.763
sensation_1000_lora_baseline,5,0.756
sensation_1000_lora_baseline,6,0.761
sensation_1000_lora_baseline,7,0.756
sensation_1000_lora_baseline,8,0.773
sensation_1000_lora_baseline,9,0.756
sensation_1000_lora_baseline,10,0.756
sensation_1000_lora_baseline,11,0.749
sensation_1000_lora_baseline,12,0.744
sensation_1000_lora_baseline,13,0.758
sensation_1000_lora_baseline,14,0.749
sensation_1000_lora_baseline,15,0.763
sensation_1000_lora_baseline,16,0.737
sensation_1000_pfeiffer_baseline,1,0.751
sensation_1000_pfeiffer_baseline,2,0.78
sensation_1000_pfeiffer_baseline,3,0.775
sensation_1000_pfeiffer_baseline,4,0.77
sensation_1000_pfeiffer_baseline,5,0.766
sensation_1000_pfeiffer_baseline,6,0.754
sensation_1000_pfeiffer_baseline,7,0.756
sensation_1000_pfeiffer_baseline,8,0.773
sensation_1000_pfeiffer_baseline,9,0.749
sensation_1000_pfeiffer_baseline,10,0.761
sensation_1000_pfeiffer_baseline,11,0.756
sensation_1000_pfeiffer_baseline,12,0.749
sensation_1000_pfeiffer_baseline,13,0.756
sensation_1000_pfeiffer_baseline,14,0.758
sensation_1000_pfeiffer_baseline,15,0.758
sensation_1000_pfeiffer_baseline,16,0.744
sensation_1000_pfeifferinv_baseline,1,0.77
sensation_1000_pfeifferinv_baseline,2,0.77
sensation_1000_pfeifferinv_baseline,3,0.739
sensation_1000_pfeifferinv_baseline,4,0.749
sensation_1000_pfeifferinv_baseline,5,0.749
sensation_1000_pfeifferinv_baseline,6,0.744
sensation_1000_pfeifferinv_baseline,7,0.758
sensation_1000_pfeifferinv_baseline,8,0.768
sensation_1000_pfeifferinv_baseline,9,0.742
sensation_1000_pfeifferinv_baseline,10,0.758
sensation_1000_pfeifferinv_baseline,11,0.742
sensation_1000_pfeifferinv_baseline,12,0.737
sensation_1000_pfeifferinv_baseline,13,0.778
sensation_1000_pfeifferinv_baseline,14,0.754
sensation_1000_pfeifferinv_baseline,15,0.758
sensation_1000_pfeifferinv_baseline,16,0.754
sensation_2000_lora_baseline,1,0.742
sensation_2000_lora_baseline,2,0.751
sensation_2000_lora_baseline,3,0.758
sensation_2000_lora_baseline,4,0.744
sensation_2000_lora_baseline,5,0.766
sensation_2000_lora_baseline,6,0.737
sensation_2000_lora_baseline,7,0.749
sensation_2000_lora_baseline,8,0.763
sensation_2000_lora_baseline,9,0.751
sensation_2000_lora_baseline,10,0.751
sensation_2000_lora_baseline,11,0.77
sensation_2000_lora_baseline,12,0.751
sensation_2000_lora_baseline,13,0.749
sensation_2000_lora_baseline,14,0.754
sensation_2000_lora_baseline,15,0.761
sensation_2000_lora_baseline,16,0.751
sensation_2000_pfeiffer_baseline,1,0.758
sensation_2000_pfeiffer_baseline,2,0.761
sensation_2000_pfeiffer_baseline,3,0.761
sensation_2000_pfeiffer_baseline,4,0.782
sensation_2000_pfeiffer_baseline,5,0.768
sensation_2000_pfeiffer_baseline,6,0.749
sensation_2000_pfeiffer_baseline,7,0.737
sensation_2000_pfeiffer_baseline,8,0.782
sensation_2000_pfeiffer_baseline,9,0.768
sensation_2000_pfeiffer_baseline,10,0.754
sensation_2000_pfeiffer_baseline,11,0.737
sensation_2000_pfeiffer_baseline,12,0.766
sensation_2000_pfeiffer_baseline,13,0.751
sensation_2000_pfeiffer_baseline,14,0.734
sensation_2000_pfeiffer_baseline,15,0.749
sensation_2000_pfeiffer_baseline,16,0.773
sensation_2000_pfeifferinv_baseline,1,0.751
sensation_2000_pfeifferinv_baseline,2,0.749
sensation_2000_pfeifferinv_baseline,3,0.754
sensation_2000_pfeifferinv_baseline,4,0.78
sensation_2000_pfeifferinv_baseline,5,0.751
sensation_2000_pfeifferinv_baseline,6,0.751
sensation_2000_pfeifferinv_baseline,7,0.744
sensation_2000_pfeifferinv_baseline,8,0.758
sensation_2000_pfeifferinv_baseline,9,0.77
sensation_2000_pfeifferinv_baseline,10,0.739
sensation_2000_pfeifferinv_baseline,11,0.734
sensation_2000_pfeifferinv_baseline,12,0.744
sensation_2000_pfeifferinv_baseline,13,0.742
sensation_2000_pfeifferinv_baseline,14,0.742
sensation_2000_pfeifferinv_baseline,15,0.773
sensation_2000_pfeifferinv_baseline,16,0.766
