experiment,run,f1
sensation_1000_lora_baseline,1,0.673
sensation_1000_lora_baseline,2,0.694
sensation_1000_lora_baseline,3,0.698
sensation_1000_lora_baseline,4,0.682
sensation_1000_lora_baseline,5,0.692
sensation_1000_lora_baseline,6,0.684
sensation_1000_lora_baseline,7,0.684
sensation_1000_lora_baseline,8,0.701
sensation_1000_lora_baseline,9,0.682
sensation_1000_lora_baseline,10,0.671
sensation_1000_lora_baseline,11,0.679
sensation_1000_lora_baseline,12,0.673
sensation_1000_lora_baseline,13,0.684
sensation_1000_lora_baseline,14,0.684
sensation_1000_lora_baseline,15,0.688
sensation_1000_lora_baseline,16,0.668
sensation_1000_pfeiffer_baseline,1,0.681
sensation_1000_pfeiffer_baseline,2,0.715
sensation_1000_pfeiffer_baseline,3,0.71
sensation_1000_pfeiffer_baseline,4,0.697
sensation_1000_pfeiffer_baseline,5,0.688
sensation_1000_pfeiffer_baseline,6,0.669
sensation_1000_pfeiffer_baseline,7,0.689
sensation_1000_pfeiffer_baseline,8,0.711
sensation_1000_pfeiffer_baseline,9,0.686
sensation_1000_pfeiffer_baseline,10,0.688
sensation_1000_pfeiffer_baseline,11,0.689
sensation_1000_pfeiffer_baseline,12,0.681
sensation_1000_pfeiffer_baseline,13,0.676
sensation_1000_pfeiffer_baseline,14,0.689
sensation_1000_pfeiffer_baseline,15,0.682
sensation_1000_pfeiffer_baseline,16,0.675
sensation_1000_pfeifferinv_baseline,1,0.702
sensation_1000_pfeifferinv_baseline,2,0.702
sensation_1000_pfeifferinv_baseline,3,0.663
sensation_1000_pfeifferinv_baseline,4,0.671
sensation_1000_pfeifferinv_baseline,5,0.658
sensation_1000_pfeifferinv_baseline,6,0.667
sensation_1000_pfeifferinv_baseline,7,0.695
sensation_1000_pfeifferinv_baseline,8,0.689
sensation_1000_pfeifferinv_baseline,9,0.671
sensation_1000_pfeifferinv_baseline,10,0.682
sensation_1000_pfeifferinv_baseline,11,0.669
sensation_1000_pfeifferinv_baseline,12,0.67
sensation_1000_pfeifferinv_baseline,13,0.687
sensation_1000_pfeifferinv_baseline,14,0.667
sensation_1000_pfeifferinv_baseline,15,0.682
sensation_1000_pfeifferinv_baseline,16,0.687
sensation_2000_lora_baseline,1,0.669
sensation_2000_lora_baseline,2,0.683
sensation_2000_lora_baseline,3,0.689
sensation_2000_lora_baseline,4,0.667
sensation_2000_lora_baseline,5,0.706
sensation_2000_lora_baseline,6,0.68
sensation_2000_lora_baseline,7,0.667
sensation_2000_lora_baseline,8,0.701
sensation_2000_lora_baseline,9,0.69
sensation_2000_lora_baseline,10,0.686
sensation_2000_lora_baseline,11,0.707
sensation_2000_lora_baseline,12,0.686
sensation_2000_lora_baseline,13,0.684
sensation_2000_lora_baseline,14,0.692
sensation_2000_lora_baseline,15,0.693
sensation_2000_lora_baseline,16,0.683
sensation_2000_pfeiffer_baseline,1,0.688
sensation_2000_pfeiffer_baseline,2,0.702
sensation_2000_pfeiffer_baseline,3,0.7
sensation_2000_pfeiffer_baseline,4,0.712
sensation_2000_pfeiffer_baseline,5,0.716
sensation_2000_pfeiffer_baseline,6,0.683
sensation_2000_pfeiffer_baseline,7,0.663
sensation_2000_pfeiffer_baseline,8,0.72
sensation_2000_pfeiffer_baseline,9,0.696
sensation_2000_pfeiffer_baseline,10,0.692
sensation_2000_pfeiffer_baseline,11,0.675
sensation_2000_pfeiffer_baseline,12,0.699
sensation_2000_pfeiffer_baseline,13,0.686
sensation_2000_pfeiffer_baseline,14,0.678
sensation_2000_pfeiffer_baseline,15,0.677
sensation_2000_pfeiffer_baseline,16,0.71
sensation_2000_pfeifferinv_baseline,1,0.69
sensation_2000_pfeifferinv_baseline,2,0.689
sensation_2000_pfeifferinv_baseline,3,0.69
sensation_2000_pfeifferinv_baseline,4,0.706
sensation_2000_pfeifferinv_baseline,5,0.696
sensation_2000_pfeifferinv_baseline,6,0.69
sensation_2000_pfeifferinv_baseline,7,0.685
sensation_2000_pfeifferinv_baseline,8,0.698
sensation_2000_pfeifferinv_baseline,9,0.699
sensation_2000_pfeifferinv_baseline,10,0.676
sensation_2000_pfeifferinv_baseline,11,0.671
sensation_2000_pfeifferinv_baseline,12,0.683
sensation_2000_pfeifferinv_baseline,13,0.671
sensation_2000_pfeifferinv_baseline,14,0.667
sensation_2000_pfeifferinv_baseline,15,0.703
sensation_2000_pfeifferinv_baseline,16,0.703
