experiment,run,rec
sensation_1000_lora_baseline,1,0.672
sensation_1000_lora_baseline,2,0.694
sensation_1000_lora_baseline,3,0.699
sensation_1000_lora_baseline,4,0.677
sensation_1000_lora_baseline,5,0.7
sensation_1000_lora_baseline,6,0.682
sensation_1000_lora_baseline,7,0.685
sensation_1000_lora_baseline,8,0.699
sensation_1000_lora_baseline,9,0.682
sensation_1000_lora_baseline,10,0.667
sensation_1000_lora_baseline,11,0.683
sensation_1000_lora_baseline,12,0.677
sensation_1000_lora_baseline,13,0.683
sensation_1000_lora_baseline,14,0.692
sensation_1000_lora_baseline,15,0.686
sensation_1000_lora_baseline,16,0.675
sensation_1000_pfeiffer_baseline,1,0.684
sensation_1000_pfeiffer_baseline,2,0.716
sensation_1000_pfeiffer_baseline,3,0.713
sensation_1000_pfeiffer_baseline,4,0.694
sensation_1000_pfeiffer_baseline,5,0.685
sensation_1000_pfeiffer_baseline,6,0.665
sensation_1000_pfeiffer_baseline,7,0.694
sensation_1000_pfeiffer_baseline,8,0.717
sensation_1000_pfeiffer_baseline,9,0.695
sensation_1000_pfeiffer_baseline,10,0.688
sensation_1000_pfeiffer_baseline,11,0.694
sensation_1000_pfeiffer_baseline,12,0.686
sensation_1000_pfeiffer_baseline,13,0.673
sensation_1000_pfeiffer_baseline,14,0.692
sensation_1000_pfeiffer_baseline,15,0.68
sensation_1000_pfeiffer_baseline,16,0.68
sensation_1000_pfeifferinv_baseline,1,0.703
sensation_1000_pfeifferinv_baseline,2,0.703
sensation_1000_pfeifferinv_baseline,3,0.664
sensation_1000_pfeifferinv_baseline,4,0.671
sensation_1000_pfeifferinv_baseline,5,0.653
sensation_1000_pfeifferinv_baseline,6,0.668
sensation_1000_pfeifferinv_baseline,7,0.701
sensation_1000_pfeifferinv_baseline,8,0.684
sensation_1000_pfeifferinv_baseline,9,0.675
sensation_1000_pfeifferinv_baseline,10,0.68
sensation_1000_pfeifferinv_baseline,11,0.672
sensation_1000_pfeifferinv_baseline,12,0.678
sensation_1000_pfeifferinv_baseline,13,0.675
sensation_1000_pfeifferinv_baseline,14,0.662
sensation_1000_pfeifferinv_baseline,15,0.68
sensation_1000_pfeifferinv_baseline,16,0.692
sensation_2000_lora_baseline,1,0.672
sensation_2000_lora_baseline,2,0.687
sensation_2000_lora_baseline,3,0.692
sensation_2000_lora_baseline,4,0.668
sensation_2000_lora_baseline,5,0.715
sensation_2000_lora_baseline,6,0.696
sensation_2000_lora_baseline,7,0.665
sensation_2000_lora_baseline,8,0.708
sensation_2000_lora_baseline,9,0.7
sensation_2000_lora_baseline,10,0.693
sensation_2000_lora_baseline,11,0.712
sensation_2000_lora_baseline,12,0.693
sensation_2000_lora_baseline,13,0.692
sensation_2000_lora_baseline,14,0.701
sensation_2000_lora_baseline,15,0.697
sensation_2000_lora_baseline,16,0.687
sensation_2000_pfeiffer_baseline,1,0.689
sensation_2000_pfeiffer_baseline,2,0.712
sensation_2000_pfeiffer_baseline,3,0.709
sensation_2000_pfeiffer_baseline,4,0.708
sensation_2000_pfeiffer_baseline,5,0.732
sensation_2000_pfeiffer_baseline,6,0.689
sensation_2000_pfeiffer_baseline,7,0.666
sensation_2000_pfeiffer_baseline,8,0.724
sensation_2000_pfeiffer_baseline,9,0.696
sensation_2000_pfeiffer_baseline,10,0.701
sensation_2000_pfeiffer_baseline,11,0.687
sensation_2000_pfeiffer_baseline,12,0.703
sensation_2000_pfeiffer_baseline,13,0.693
sensation_2000_pfeiffer_baseline,14,0.694
sensation_2000_pfeiffer_baseline,15,0.68
sensation_2000_pfeiffer_baseline,16,0.714
sensation_2000_pfeifferinv_baseline,1,0.7
sensation_2000_pfeifferinv_baseline,2,0.701
sensation_2000_pfeifferinv_baseline,3,0.698
sensation_2000_pfeifferinv_baseline,4,0.701
sensation_2000_pfeifferinv_baseline,5,0.712
sensation_2000_pfeifferinv_baseline,6,0.7
sensation_2000_pfeifferinv_baseline,7,0.698
sensation_2000_pfeifferinv_baseline,8,0.707
sensation_2000_pfeifferinv_baseline,9,0.697
sensation_2000_pfeifferinv_baseline,10,0.685
sensation_2000_pfeifferinv_baseline,11,0.682
sensation_2000_pfeifferinv_baseline,12,0.695
sensation_2000_pfeifferinv_baseline,13,0.675
sensation_2000_pfeifferinv_baseline,14,0.669
sensation_2000_pfeifferinv_baseline,15,0.702
sensation_2000_pfeifferinv_baseline,16,0.709
