experiment,run,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10
sensation_1000_lora_diversity_10,1,0.742,0.749,0.663,0.711,0.751,0.701,0.699,0.699,0.708,0.77,0.742
sensation_1000_lora_diversity_10,2,0.703,0.763,0.658,0.732,0.778,0.734,0.725,0.739,0.732,0.778,0.739
sensation_1000_lora_diversity_10,3,0.713,0.773,0.725,0.722,0.763,0.734,0.744,0.727,0.756,0.797,0.766
sensation_1000_lora_diversity_10,4,0.751,0.799,0.648,0.754,0.768,0.696,0.754,0.708,0.711,0.785,0.78
sensation_1000_lora_diversity_10,5,0.708,0.754,0.641,0.713,0.761,0.694,0.744,0.739,0.734,0.78,0.766
sensation_1000_lora_diversity_10,6,0.737,0.775,0.658,0.761,0.778,0.722,0.734,0.77,0.775,0.77,0.787
sensation_1000_lora_diversity_10,7,0.742,0.77,0.696,0.749,0.787,0.746,0.72,0.742,0.744,0.773,0.761
sensation_1000_lora_diversity_10,8,0.751,0.78,0.694,0.732,0.775,0.732,0.742,0.737,0.751,0.789,0.751
sensation_1000_lora_diversity_10,9,0.744,0.763,0.72,0.727,0.758,0.711,0.744,0.737,0.751,0.768,0.78
sensation_1000_lora_diversity_10,10,0.742,0.756,0.641,0.734,0.766,0.696,0.73,0.711,0.694,0.756,0.754
sensation_1000_lora_diversity_10,11,0.732,0.778,0.706,0.727,0.749,0.732,0.706,0.763,0.699,0.782,0.751
sensation_1000_lora_diversity_10,12,0.734,0.766,0.672,0.701,0.766,0.699,0.718,0.701,0.725,0.78,0.73
sensation_1000_lora_diversity_10,13,0.734,0.778,0.672,0.749,0.77,0.775,0.725,0.737,0.754,0.775,0.766
sensation_1000_lora_diversity_10,14,0.718,0.785,0.689,0.746,0.77,0.701,0.677,0.739,0.722,0.766,0.756
sensation_1000_lora_diversity_10,15,0.696,0.766,0.682,0.72,0.782,0.715,0.732,0.725,0.718,0.761,0.746
sensation_1000_lora_diversity_10,16,0.72,0.744,0.689,0.751,0.763,0.73,0.727,0.739,0.718,0.778,0.758
sensation_1000_lora_diversity_100,1,0.754,0.766,0.694,0.744,0.77,0.715,0.718,0.713,0.732,0.778,0.785
sensation_1000_lora_diversity_100,2,0.703,0.768,0.66,0.749,0.787,0.734,0.722,0.722,0.73,0.78,0.756
sensation_1000_lora_diversity_100,3,0.713,0.773,0.718,0.739,0.758,0.732,0.756,0.725,0.749,0.787,0.766
sensation_1000_lora_diversity_100,4,0.751,0.801,0.653,0.766,0.768,0.708,0.751,0.708,0.718,0.775,0.789
sensation_1000_lora_diversity_100,5,0.708,0.754,0.653,0.72,0.758,0.701,0.739,0.751,0.734,0.782,0.768
sensation_1000_lora_diversity_100,6,0.737,0.785,0.658,0.758,0.78,0.737,0.749,0.778,0.773,0.761,0.789
sensation_1000_lora_diversity_100,7,0.742,0.768,0.691,0.734,0.78,0.749,0.718,0.751,0.754,0.785,0.761
sensation_1000_lora_diversity_100,8,0.751,0.778,0.703,0.73,0.787,0.737,0.744,0.739,0.761,0.792,0.775
sensation_1000_lora_diversity_100,9,0.744,0.763,0.708,0.732,0.758,0.713,0.744,0.737,0.751,0.77,0.789
sensation_1000_lora_diversity_100,10,0.742,0.751,0.644,0.742,0.775,0.708,0.727,0.706,0.687,0.756,0.768
sensation_1000_lora_diversity_100,11,0.732,0.775,0.713,0.739,0.746,0.732,0.718,0.758,0.701,0.785,0.751
sensation_1000_lora_diversity_100,12,0.734,0.77,0.675,0.715,0.775,0.703,0.72,0.703,0.715,0.785,0.73
sensation_1000_lora_diversity_100,13,0.734,0.778,0.665,0.739,0.766,0.768,0.722,0.734,0.742,0.761,0.77
sensation_1000_lora_diversity_100,14,0.718,0.785,0.677,0.746,0.775,0.718,0.672,0.739,0.713,0.77,0.758
sensation_1000_lora_diversity_100,15,0.696,0.766,0.703,0.73,0.787,0.725,0.737,0.727,0.713,0.761,0.751
sensation_1000_lora_diversity_100,16,0.72,0.746,0.696,0.751,0.766,0.737,0.732,0.739,0.72,0.773,0.775
sensation_1000_lora_diversity_50,1,0.754,0.763,0.694,0.742,0.768,0.722,0.711,0.72,0.732,0.78,0.778
sensation_1000_lora_diversity_50,2,0.703,0.763,0.658,0.751,0.775,0.739,0.73,0.73,0.749,0.782,0.751
sensation_1000_lora_diversity_50,3,0.713,0.77,0.72,0.742,0.763,0.732,0.751,0.725,0.758,0.789,0.763
sensation_1000_lora_diversity_50,4,0.751,0.801,0.653,0.756,0.773,0.706,0.758,0.711,0.715,0.778,0.792
sensation_1000_lora_diversity_50,5,0.708,0.754,0.646,0.711,0.756,0.699,0.742,0.734,0.732,0.78,0.766
