experiment,run,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,f1_10
sensation_1000_lora_diversity_10,1,0.671,0.542,0.623,0.657,0.688,0.646,0.653,0.645,0.661,0.61,0.661
sensation_1000_lora_diversity_10,2,0.634,0.633,0.622,0.666,0.667,0.662,0.666,0.679,0.682,0.616,0.641
sensation_1000_lora_diversity_10,3,0.63,0.62,0.663,0.652,0.63,0.662,0.669,0.654,0.678,0.676,0.684
sensation_1000_lora_diversity_10,4,0.677,0.672,0.622,0.679,0.608,0.648,0.689,0.658,0.657,0.6,0.679
sensation_1000_lora_diversity_10,5,0.634,0.628,0.615,0.656,0.682,0.65,0.675,0.682,0.688,0.641,0.684
sensation_1000_lora_diversity_10,6,0.668,0.601,0.622,0.68,0.68,0.654,0.671,0.675,0.695,0.539,0.7
sensation_1000_lora_diversity_10,7,0.663,0.632,0.656,0.679,0.637,0.673,0.667,0.673,0.671,0.631,0.667
sensation_1000_lora_diversity_10,8,0.669,0.663,0.65,0.674,0.687,0.677,0.673,0.688,0.675,0.639,0.677
sensation_1000_lora_diversity_10,9,0.659,0.63,0.652,0.654,0.579,0.656,0.683,0.665,0.677,0.637,0.677
sensation_1000_lora_diversity_10,10,0.665,0.639,0.609,0.671,0.669,0.649,0.674,0.664,0.649,0.594,0.676
sensation_1000_lora_diversity_10,11,0.668,0.632,0.65,0.667,0.673,0.671,0.657,0.709,0.659,0.647,0.671
sensation_1000_lora_diversity_10,12,0.661,0.628,0.635,0.646,0.661,0.65,0.669,0.655,0.66,0.605,0.666
sensation_1000_lora_diversity_10,13,0.646,0.608,0.629,0.665,0.593,0.653,0.656,0.659,0.676,0.587,0.656
sensation_1000_lora_diversity_10,14,0.638,0.634,0.647,0.685,0.68,0.65,0.641,0.67,0.667,0.598,0.662
sensation_1000_lora_diversity_10,15,0.628,0.584,0.636,0.656,0.679,0.655,0.662,0.65,0.659,0.61,0.669
sensation_1000_lora_diversity_10,16,0.646,0.558,0.646,0.686,0.692,0.678,0.682,0.674,0.666,0.628,0.682
sensation_1000_lora_diversity_100,1,0.678,0.565,0.64,0.682,0.689,0.663,0.662,0.653,0.679,0.603,0.691
sensation_1000_lora_diversity_100,2,0.634,0.637,0.623,0.681,0.684,0.664,0.663,0.676,0.674,0.61,0.65
sensation_1000_lora_diversity_100,3,0.63,0.62,0.655,0.657,0.6,0.657,0.678,0.654,0.671,0.661,0.686
sensation_1000_lora_diversity_100,4,0.677,0.678,0.628,0.682,0.595,0.658,0.673,0.658,0.662,0.566,0.678
sensation_1000_lora_diversity_100,5,0.634,0.628,0.624,0.661,0.662,0.655,0.67,0.675,0.676,0.636,0.663
sensation_1000_lora_diversity_100,6,0.668,0.627,0.622,0.678,0.672,0.665,0.683,0.672,0.685,0.507,0.693
sensation_1000_lora_diversity_100,7,0.663,0.627,0.654,0.668,0.618,0.673,0.668,0.679,0.679,0.655,0.669
sensation_1000_lora_diversity_100,8,0.669,0.655,0.655,0.672,0.691,0.679,0.68,0.682,0.68,0.629,0.701
sensation_1000_lora_diversity_100,9,0.659,0.63,0.643,0.664,0.579,0.651,0.68,0.665,0.677,0.636,0.688
sensation_1000_lora_diversity_100,10,0.665,0.638,0.612,0.678,0.67,0.658,0.669,0.656,0.645,0.572,0.698
sensation_1000_lora_diversity_100,11,0.668,0.626,0.654,0.677,0.671,0.666,0.666,0.701,0.657,0.649,0.669
sensation_1000_lora_diversity_100,12,0.661,0.632,0.636,0.658,0.672,0.649,0.671,0.658,0.653,0.634,0.666
sensation_1000_lora_diversity_100,13,0.646,0.608,0.621,0.652,0.584,0.643,0.658,0.659,0.661,0.507,0.646
sensation_1000_lora_diversity_100,14,0.638,0.634,0.636,0.685,0.682,0.665,0.638,0.669,0.654,0.602,0.671
sensation_1000_lora_diversity_100,15,0.628,0.584,0.649,0.662,0.684,0.663,0.666,0.656,0.654,0.602,0.675
sensation_1000_lora_diversity_100,16,0.646,0.565,0.649,0.683,0.696,0.685,0.679,0.667,0.67,0.627,0.701
sensation_1000_lora_diversity_50,1,0.678,0.552,0.641,0.676,0.687,0.672,0.657,0.662,0.68,0.614,0.684
sensation_1000_lora_diversity_50,2,0.634,0.633,0.621,0.683,0.672,0.667,0.671,0.68,0.692,0.616,0.648
sensation_1000_lora_diversity_50,3,0.63,0.614,0.657,0.665,0.626,0.657,0.673,0.652,0.682,0.663,0.68
sensation_1000_lora_diversity_50,4,0.677,0.678,0.627,0.68,0.616,0.656,0.686,0.662,0.661,0.574,0.688
sensation_1000_lora_diversity_50,5,0.634,0.628,0.62,0.652,0.662,0.654,0.674,0.67,0.677,0.634,0.673
sensation_1000_lora_diversity_50,6,0.668,0.62,0.623,0.684,0.677,0.664,0.676,0.689,0.687,0.531,0.698
sensation_1000_lora_diversity_50,7,0.663,0.627,0.653,0.67,0.624,0.673,0.674,0.679,0.679,0.659,0.667
sensation_1000_lora_diversity_50,8,0.669,0.663,0.651,0.674,0.68,0.684,0.676,0.677,0.674,0.631,0.689
sensation_1000_lora_diversity_50,9,0.659,0.635,0.646,0.652,0.579,0.662,0.678,0.662,0.675,0.632,0.687
sensation_1000_lora_diversity_50,10,0.665,0.639,0.615,0.667,0.666,0.655,0.671,0.653,0.653,0.588,0.69
sensation_1000_lora_diversity_50,11,0.668,0.632,0.652,0.667,0.671,0.672,0.658,0.706,0.661,0.643,0.667
sensation_1000_lora_diversity_50,12,0.661,0.63,0.632,0.652,0.666,0.645,0.671,0.655,0.658,0.607,0.661
sensation_1000_lora_diversity_50,13,0.646,0.601,0.63,0.661,0.597,0.651,0.656,0.656,0.648,0.505,0.655
sensation_1000_lora_diversity_50,14,0.638,0.634,0.643,0.685,0.682,0.657,0.638,0.666,0.654,0.604,0.671
sensation_1000_lora_diversity_50,15,0.628,0.584,0.637,0.66,0.684,0.663,0.664,0.652,0.654,0.602,0.673
sensation_1000_lora_diversity_50,16,0.646,0.558,0.645,0.679,0.696,0.678,0.678,0.673,0.668,0.635,0.688
sensation_1000_lora_diversity_500,1,0.678,0.573,0.64,0.67,0.684,0.665,0.68,0.666,0.678,0.629,0.693
sensation_1000_lora_diversity_500,2,0.634,0.648,0.629,0.674,0.664,0.671,0.671,0.673,0.66,0.629,0.666
sensation_1000_lora_diversity_500,3,0.63,0.614,0.663,0.661,0.628,0.654,0.676,0.665,0.691,0.639,0.671
sensation_1000_lora_diversity_500,4,0.677,0.684,0.638,0.678,0.586,0.663,0.688,0.665,0.663,0.568,0.698
sensation_1000_lora_diversity_500,5,0.634,0.629,0.631,0.661,0.682,0.657,0.659,0.661,0.671,0.636,0.664
sensation_1000_lora_diversity_500,6,0.668,0.634,0.623,0.674,0.638,0.67,0.679,0.666,0.687,0.515,0.703
sensation_1000_lora_diversity_500,7,0.663,0.627,0.668,0.681,0.64,0.68,0.669,0.682,0.678,0.653,0.68
sensation_1000_lora_diversity_500,8,0.669,0.681,0.644,0.672,0.675,0.681,0.677,0.666,0.682,0.669,0.697
sensation_1000_lora_diversity_500,9,0.659,0.618,0.641,0.666,0.585,0.65,0.671,0.669,0.693,0.637,0.693
sensation_1000_lora_diversity_500,10,0.665,0.638,0.608,0.666,0.67,0.663,0.673,0.656,0.655,0.608,0.682
sensation_1000_lora_diversity_500,11,0.668,0.62,0.667,0.683,0.671,0.671,0.659,0.699,0.667,0.645,0.68
sensation_1000_lora_diversity_500,12,0.661,0.629,0.637,0.659,0.672,0.664,0.666,0.645,0.662,0.653,0.679
sensation_1000_lora_diversity_500,13,0.646,0.606,0.631,0.65,0.577,0.642,0.657,0.661,0.656,0.507,0.642
sensation_1000_lora_diversity_500,14,0.638,0.638,0.64,0.681,0.691,0.665,0.651,0.658,0.666,0.653,0.68
sensation_1000_lora_diversity_500,15,0.628,0.604,0.655,0.65,0.686,0.656,0.654,0.656,0.643,0.578,0.671
sensation_1000_lora_diversity_500,16,0.646,0.573,0.636,0.679,0.669,0.671,0.676,0.65,0.678,0.62,0.691
sensation_1000_lora_random_10,1,0.655,0.661,0.647,0.663,0.463,0.65,0.634,0.663,0.665,0.655,0.653
sensation_1000_lora_random_10,2,0.634,0.667,0.615,0.664,0.582,0.635,0.643,0.669,0.646,0.643,0.634
sensation_1000_lora_random_10,3,0.63,0.656,0.616,0.659,0.507,0.635,0.645,0.682,0.642,0.644,0.642
sensation_1000_lora_random_10,4,0.677,0.691,0.649,0.661,0.614,0.662,0.672,0.661,0.691,0.65,0.677
sensation_1000_lora_random_10,5,0.634,0.652,0.637,0.643,0.664,0.647,0.651,0.645,0.655,0.62,0.633
sensation_1000_lora_random_10,6,0.668,0.643,0.641,0.663,0.607,0.649,0.644,0.657,0.66,0.664,0.616
sensation_1000_lora_random_10,7,0.663,0.663,0.628,0.668,0.616,0.662,0.646,0.667,0.668,0.677,0.642
sensation_1000_lora_random_10,8,0.669,0.658,0.644,0.663,0.629,0.686,0.652,0.666,0.681,0.666,0.648
sensation_1000_lora_random_10,9,0.659,0.643,0.616,0.618,0.591,0.616,0.644,0.665,0.655,0.662,0.654
sensation_1000_lora_random_10,10,0.665,0.671,0.648,0.663,0.596,0.668,0.644,0.672,0.671,0.651,0.667
sensation_1000_lora_random_10,11,0.668,0.692,0.638,0.659,0.582,0.669,0.645,0.646,0.691,0.653,0.639
sensation_1000_lora_random_10,12,0.661,0.665,0.65,0.665,0.612,0.691,0.642,0.67,0.676,0.654,0.675
sensation_1000_lora_random_10,13,0.646,0.64,0.626,0.644,0.595,0.64,0.631,0.682,0.622,0.644,0.638
sensation_1000_lora_random_10,14,0.638,0.649,0.64,0.688,0.566,0.679,0.643,0.686,0.665,0.652,0.651
sensation_1000_lora_random_10,15,0.628,0.654,0.618,0.65,0.64,0.667,0.638,0.665,0.659,0.627,0.652
sensation_1000_lora_random_10,16,0.646,0.671,0.637,0.643,0.622,0.661,0.65,0.682,0.679,0.658,0.657
sensation_1000_lora_random_100,1,0.678,0.673,0.638,0.673,0.507,0.672,0.644,0.656,0.669,0.662,0.655
sensation_1000_lora_random_100,2,0.634,0.671,0.613,0.666,0.584,0.631,0.638,0.669,0.655,0.648,0.633
sensation_1000_lora_random_100,3,0.63,0.656,0.616,0.656,0.507,0.612,0.64,0.665,0.629,0.638,0.637
sensation_1000_lora_random_100,4,0.677,0.685,0.651,0.668,0.612,0.644,0.672,0.669,0.688,0.665,0.654
sensation_1000_lora_random_100,5,0.634,0.652,0.635,0.649,0.658,0.656,0.642,0.645,0.658,0.624,0.643
sensation_1000_lora_random_100,6,0.668,0.647,0.64,0.663,0.574,0.651,0.651,0.659,0.644,0.658,0.614
sensation_1000_lora_random_100,7,0.663,0.667,0.624,0.668,0.626,0.662,0.65,0.669,0.669,0.683,0.644
sensation_1000_lora_random_100,8,0.669,0.658,0.636,0.658,0.625,0.682,0.664,0.662,0.686,0.656,0.649
sensation_1000_lora_random_100,9,0.659,0.649,0.618,0.624,0.584,0.594,0.644,0.675,0.639,0.673,0.595
sensation_1000_lora_random_100,10,0.665,0.677,0.64,0.662,0.574,0.659,0.647,0.661,0.673,0.653,0.657
sensation_1000_lora_random_100,11,0.668,0.693,0.638,0.657,0.579,0.663,0.654,0.643,0.683,0.66,0.628
sensation_1000_lora_random_100,12,0.661,0.669,0.65,0.672,0.609,0.685,0.64,0.66,0.676,0.659,0.671
sensation_1000_lora_random_100,13,0.646,0.635,0.626,0.632,0.566,0.644,0.65,0.687,0.574,0.638,0.625
sensation_1000_lora_random_100,14,0.638,0.649,0.64,0.679,0.578,0.662,0.644,0.682,0.665,0.646,0.651
sensation_1000_lora_random_100,15,0.628,0.658,0.616,0.65,0.622,0.671,0.641,0.663,0.663,0.629,0.657
sensation_1000_lora_random_100,16,0.646,0.662,0.637,0.641,0.61,0.666,0.642,0.678,0.678,0.665,0.643
sensation_1000_lora_random_50,1,0.678,0.673,0.641,0.675,0.472,0.673,0.648,0.656,0.668,0.656,0.669
sensation_1000_lora_random_50,2,0.634,0.667,0.615,0.666,0.586,0.627,0.638,0.669,0.647,0.643,0.623
sensation_1000_lora_random_50,3,0.63,0.656,0.612,0.653,0.539,0.622,0.642,0.675,0.631,0.638,0.631
sensation_1000_lora_random_50,4,0.677,0.682,0.649,0.66,0.618,0.638,0.67,0.669,0.692,0.656,0.663
sensation_1000_lora_random_50,5,0.634,0.652,0.637,0.647,0.677,0.651,0.647,0.641,0.644,0.628,0.641
sensation_1000_lora_random_50,6,0.668,0.647,0.641,0.661,0.62,0.647,0.646,0.663,0.642,0.658,0.607
sensation_1000_lora_random_50,7,0.663,0.665,0.63,0.666,0.626,0.662,0.646,0.673,0.67,0.685,0.648
sensation_1000_lora_random_50,8,0.669,0.658,0.644,0.663,0.627,0.691,0.657,0.67,0.678,0.656,0.646
sensation_1000_lora_random_50,9,0.659,0.644,0.612,0.622,0.605,0.598,0.652,0.667,0.651,0.669,0.63
sensation_1000_lora_random_50,10,0.665,0.675,0.648,0.665,0.577,0.66,0.643,0.661,0.673,0.645,0.657
sensation_1000_lora_random_50,11,0.668,0.693,0.638,0.659,0.589,0.665,0.66,0.639,0.683,0.664,0.631
sensation_1000_lora_random_50,12,0.661,0.669,0.65,0.666,0.612,0.687,0.638,0.668,0.673,0.661,0.673
sensation_1000_lora_random_50,13,0.646,0.636,0.624,0.642,0.588,0.648,0.643,0.684,0.588,0.642,0.626
sensation_1000_lora_random_50,14,0.638,0.649,0.64,0.688,0.592,0.66,0.642,0.684,0.665,0.644,0.653
sensation_1000_lora_random_50,15,0.628,0.654,0.614,0.65,0.628,0.659,0.638,0.664,0.659,0.623,0.652
