experiment,run,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9,prec_10
sensation_1000_lora_diversity_10,1,0.667,0.658,0.627,0.651,0.682,0.64,0.648,0.64,0.655,0.714,0.662
sensation_1000_lora_diversity_10,2,0.629,0.685,0.628,0.66,0.71,0.659,0.659,0.672,0.674,0.739,0.651
sensation_1000_lora_diversity_10,3,0.628,0.716,0.657,0.647,0.685,0.659,0.668,0.651,0.68,0.76,0.691
sensation_1000_lora_diversity_10,4,0.676,0.774,0.637,0.679,0.706,0.643,0.684,0.652,0.651,0.813,0.712
sensation_1000_lora_diversity_10,5,0.63,0.666,0.633,0.649,0.686,0.647,0.671,0.674,0.68,0.728,0.691
sensation_1000_lora_diversity_10,6,0.664,0.744,0.628,0.685,0.707,0.649,0.665,0.696,0.704,0.847,0.722
sensation_1000_lora_diversity_10,7,0.663,0.703,0.654,0.676,0.762,0.671,0.66,0.668,0.669,0.71,0.682
sensation_1000_lora_diversity_10,8,0.673,0.716,0.647,0.667,0.703,0.67,0.668,0.679,0.675,0.772,0.676
sensation_1000_lora_diversity_10,9,0.663,0.685,0.647,0.651,0.684,0.649,0.676,0.661,0.676,0.695,0.712
sensation_1000_lora_diversity_10,10,0.664,0.671,0.62,0.665,0.688,0.645,0.666,0.659,0.645,0.672,0.677
sensation_1000_lora_diversity_10,11,0.662,0.726,0.644,0.66,0.673,0.664,0.652,0.7,0.657,0.733,0.674
sensation_1000_lora_diversity_10,12,0.658,0.691,0.639,0.64,0.688,0.645,0.662,0.65,0.654,0.766,0.659
sensation_1000_lora_diversity_10,13,0.65,0.749,0.629,0.669,0.728,0.708,0.651,0.658,0.677,0.763,0.688
sensation_1000_lora_diversity_10,14,0.636,0.753,0.645,0.679,0.696,0.645,0.643,0.666,0.66,0.703,0.675
sensation_1000_lora_diversity_10,15,0.623,0.712,0.633,0.65,0.717,0.648,0.658,0.647,0.652,0.683,0.669
sensation_1000_lora_diversity_10,16,0.642,0.64,0.644,0.681,0.691,0.67,0.674,0.668,0.659,0.729,0.684
sensation_1000_lora_diversity_100,1,0.678,0.731,0.635,0.675,0.697,0.656,0.655,0.646,0.671,0.755,0.719
sensation_1000_lora_diversity_100,2,0.629,0.695,0.627,0.677,0.726,0.66,0.656,0.669,0.666,0.76,0.673
sensation_1000_lora_diversity_100,3,0.628,0.716,0.649,0.658,0.678,0.654,0.68,0.65,0.672,0.739,0.692
sensation_1000_lora_diversity_100,4,0.676,0.777,0.644,0.691,0.714,0.652,0.674,0.652,0.655,0.811,0.735
sensation_1000_lora_diversity_100,5,0.63,0.666,0.635,0.654,0.678,0.65,0.666,0.675,0.669,0.741,0.692
sensation_1000_lora_diversity_100,6,0.664,0.763,0.628,0.682,0.714,0.661,0.678,0.709,0.7,0.829,0.728
sensation_1000_lora_diversity_100,7,0.663,0.698,0.654,0.663,0.749,0.673,0.661,0.677,0.679,0.734,0.682
sensation_1000_lora_diversity_100,8,0.673,0.713,0.65,0.665,0.724,0.671,0.674,0.674,0.685,0.804,0.705
