experiment,run,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10
sensation_1000_lora_diversity_10,1,0.675,0.553,0.661,0.678,0.697,0.666,0.682,0.667,0.689,0.601,0.66
sensation_1000_lora_diversity_10,2,0.643,0.62,0.664,0.675,0.651,0.667,0.682,0.691,0.705,0.606,0.634
sensation_1000_lora_diversity_10,3,0.631,0.608,0.676,0.659,0.617,0.667,0.671,0.659,0.676,0.655,0.679
sensation_1000_lora_diversity_10,4,0.678,0.65,0.678,0.68,0.599,0.674,0.695,0.683,0.678,0.595,0.665
sensation_1000_lora_diversity_10,5,0.64,0.617,0.674,0.674,0.679,0.682,0.68,0.697,0.715,0.625,0.679
sensation_1000_lora_diversity_10,6,0.675,0.595,0.664,0.676,0.666,0.662,0.682,0.664,0.689,0.559,0.688
sensation_1000_lora_diversity_10,7,0.663,0.619,0.693,0.683,0.621,0.675,0.688,0.678,0.674,0.618,0.658
sensation_1000_lora_diversity_10,8,0.666,0.646,0.682,0.69,0.676,0.696,0.678,0.711,0.675,0.623,0.678
sensation_1000_lora_diversity_10,9,0.655,0.617,0.66,0.659,0.578,0.675,0.695,0.669,0.678,0.623,0.662
sensation_1000_lora_diversity_10,10,0.666,0.627,0.655,0.682,0.658,0.678,0.691,0.693,0.679,0.588,0.674
sensation_1000_lora_diversity_10,11,0.678,0.618,0.669,0.68,0.674,0.684,0.684,0.723,0.697,0.63,0.669
sensation_1000_lora_diversity_10,12,0.664,0.616,0.676,0.666,0.649,0.676,0.695,0.684,0.67,0.598,0.676
sensation_1000_lora_diversity_10,13,0.643,0.6,0.661,0.662,0.589,0.637,0.664,0.66,0.674,0.586,0.643
sensation_1000_lora_diversity_10,14,0.641,0.62,0.682,0.696,0.67,0.675,0.683,0.676,0.686,0.592,0.654
sensation_1000_lora_diversity_10,15,0.638,0.582,0.665,0.666,0.663,0.669,0.669,0.655,0.674,0.6,0.669
sensation_1000_lora_diversity_10,16,0.651,0.562,0.679,0.693,0.693,0.7,0.711,0.682,0.689,0.615,0.68
sensation_1000_lora_diversity_100,1,0.677,0.57,0.661,0.692,0.682,0.684,0.68,0.668,0.699,0.597,0.677
sensation_1000_lora_diversity_100,2,0.643,0.623,0.662,0.686,0.666,0.67,0.677,0.704,0.691,0.601,0.639
sensation_1000_lora_diversity_100,3,0.631,0.608,0.668,0.655,0.593,0.659,0.676,0.661,0.671,0.642,0.682
sensation_1000_lora_diversity_100,4,0.678,0.655,0.688,0.676,0.59,0.683,0.672,0.683,0.68,0.574,0.659
sensation_1000_lora_diversity_100,5,0.64,0.617,0.676,0.676,0.653,0.684,0.676,0.675,0.691,0.621,0.65
sensation_1000_lora_diversity_100,6,0.675,0.614,0.664,0.674,0.656,0.669,0.689,0.657,0.675,0.54,0.677
sensation_1000_lora_diversity_100,7,0.663,0.614,0.695,0.676,0.607,0.674,0.692,0.681,0.68,0.638,0.661
sensation_1000_lora_diversity_100,8,0.666,0.639,0.682,0.688,0.675,0.693,0.689,0.697,0.676,0.615,0.698
sensation_1000_lora_diversity_100,9,0.655,0.617,0.655,0.672,0.578,0.665,0.689,0.669,0.678,0.622,0.671
sensation_1000_lora_diversity_100,10,0.666,0.627,0.66,0.687,0.655,0.683,0.683,0.681,0.68,0.573,0.699
sensation_1000_lora_diversity_100,11,0.678,0.613,0.671,0.688,0.672,0.675,0.689,0.713,0.69,0.632,0.666
sensation_1000_lora_diversity_100,12,0.664,0.619,0.675,0.675,0.658,0.67,0.697,0.688,0.666,0.62,0.676
sensation_1000_lora_diversity_100,13,0.643,0.6,0.654,0.649,0.582,0.629,0.668,0.661,0.66,0.54,0.631
sensation_1000_lora_diversity_100,14,0.641,0.62,0.671,0.696,0.67,0.686,0.682,0.673,0.671,0.595,0.665
sensation_1000_lora_diversity_100,15,0.638,0.582,0.67,0.67,0.666,0.676,0.672,0.662,0.671,0.594,0.675
sensation_1000_lora_diversity_100,16,0.651,0.567,0.678,0.687,0.697,0.705,0.699,0.67,0.694,0.614,0.698
sensation_1000_lora_diversity_50,1,0.677,0.563,0.664,0.684,0.681,0.695,0.678,0.679,0.702,0.604,0.672
sensation_1000_lora_diversity_50,2,0.643,0.62,0.661,0.687,0.658,0.67,0.685,0.703,0.707,0.606,0.639
sensation_1000_lora_diversity_50,3,0.631,0.604,0.67,0.666,0.614,0.659,0.672,0.658,0.68,0.644,0.674
sensation_1000_lora_diversity_50,4,0.678,0.655,0.685,0.679,0.605,0.681,0.686,0.687,0.681,0.578,0.67
sensation_1000_lora_diversity_50,5,0.64,0.617,0.677,0.669,0.654,0.685,0.681,0.679,0.696,0.619,0.664
sensation_1000_lora_diversity_50,6,0.675,0.609,0.667,0.68,0.662,0.67,0.684,0.675,0.679,0.554,0.682
sensation_1000_lora_diversity_50,7,0.663,0.614,0.692,0.678,0.612,0.677,0.697,0.683,0.68,0.641,0.658
sensation_1000_lora_diversity_50,8,0.666,0.646,0.679,0.69,0.667,0.701,0.684,0.696,0.67,0.617,0.682
sensation_1000_lora_diversity_50,9,0.655,0.622,0.657,0.658,0.578,0.679,0.687,0.667,0.675,0.619,0.674
sensation_1000_lora_diversity_50,10,0.666,0.627,0.665,0.679,0.652,0.682,0.685,0.682,0.688,0.584,0.689
sensation_1000_lora_diversity_50,11,0.678,0.618,0.669,0.68,0.672,0.681,0.683,0.722,0.699,0.627,0.665
sensation_1000_lora_diversity_50,12,0.664,0.617,0.672,0.67,0.653,0.668,0.697,0.684,0.668,0.6,0.673
sensation_1000_lora_diversity_50,13,0.643,0.595,0.664,0.657,0.592,0.636,0.664,0.662,0.646,0.538,0.641
sensation_1000_lora_diversity_50,14,0.641,0.62,0.678,0.696,0.672,0.68,0.682,0.672,0.671,0.596,0.664
sensation_1000_lora_diversity_50,15,0.638,0.582,0.661,0.668,0.666,0.677,0.67,0.656,0.671,0.594,0.674
sensation_1000_lora_diversity_50,16,0.651,0.562,0.674,0.684,0.697,0.7,0.701,0.678,0.691,0.621,0.685
sensation_1000_lora_diversity_500,1,0.677,0.577,0.661,0.676,0.679,0.685,0.69,0.676,0.694,0.615,0.681
sensation_1000_lora_diversity_500,2,0.643,0.633,0.667,0.681,0.648,0.672,0.682,0.685,0.678,0.615,0.653
sensation_1000_lora_diversity_500,3,0.631,0.604,0.666,0.661,0.616,0.658,0.673,0.66,0.68,0.623,0.667
sensation_1000_lora_diversity_500,4,0.678,0.661,0.696,0.673,0.584,0.683,0.689,0.686,0.676,0.575,0.679
sensation_1000_lora_diversity_500,5,0.64,0.618,0.683,0.673,0.677,0.68,0.658,0.664,0.682,0.621,0.652
sensation_1000_lora_diversity_500,6,0.675,0.619,0.657,0.67,0.623,0.676,0.684,0.649,0.675,0.545,0.684
sensation_1000_lora_diversity_500,7,0.663,0.614,0.708,0.683,0.624,0.679,0.681,0.679,0.677,0.635,0.672
sensation_1000_lora_diversity_500,8,0.666,0.663,0.676,0.688,0.66,0.693,0.681,0.673,0.675,0.646,0.69
sensation_1000_lora_diversity_500,9,0.655,0.607,0.654,0.673,0.584,0.659,0.675,0.672,0.688,0.621,0.673
sensation_1000_lora_diversity_500,10,0.666,0.627,0.652,0.675,0.655,0.684,0.687,0.681,0.684,0.599,0.677
sensation_1000_lora_diversity_500,11,0.678,0.608,0.686,0.689,0.671,0.682,0.681,0.718,0.688,0.629,0.672
sensation_1000_lora_diversity_500,12,0.664,0.616,0.674,0.674,0.658,0.673,0.689,0.667,0.68,0.634,0.691
sensation_1000_lora_diversity_500,13,0.643,0.598,0.663,0.648,0.578,0.628,0.654,0.657,0.648,0.54,0.627
sensation_1000_lora_diversity_500,14,0.641,0.623,0.667,0.684,0.674,0.685,0.685,0.664,0.682,0.635,0.666
sensation_1000_lora_diversity_500,15,0.638,0.596,0.677,0.657,0.671,0.664,0.661,0.664,0.658,0.576,0.668
sensation_1000_lora_diversity_500,16,0.651,0.573,0.658,0.68,0.661,0.682,0.693,0.659,0.694,0.608,0.687
sensation_1000_lora_random_10,1,0.656,0.663,0.663,0.674,0.517,0.634,0.653,0.656,0.659,0.669,0.644
sensation_1000_lora_random_10,2,0.643,0.656,0.636,0.673,0.583,0.621,0.665,0.668,0.636,0.655,0.624
sensation_1000_lora_random_10,3,0.631,0.651,0.627,0.674,0.54,0.621,0.658,0.669,0.626,0.654,0.626
sensation_1000_lora_random_10,4,0.678,0.68,0.664,0.664,0.604,0.642,0.679,0.674,0.671,0.656,0.656
sensation_1000_lora_random_10,5,0.64,0.645,0.653,0.665,0.644,0.639,0.673,0.674,0.644,0.642,0.626
sensation_1000_lora_random_10,6,0.675,0.636,0.655,0.664,0.6,0.634,0.664,0.658,0.641,0.655,0.606
sensation_1000_lora_random_10,7,0.663,0.656,0.638,0.685,0.606,0.648,0.673,0.67,0.654,0.681,0.63
sensation_1000_lora_random_10,8,0.666,0.651,0.653,0.69,0.615,0.669,0.669,0.675,0.665,0.675,0.635
sensation_1000_lora_random_10,9,0.655,0.631,0.623,0.633,0.589,0.606,0.651,0.663,0.636,0.669,0.636
sensation_1000_lora_random_10,10,0.666,0.658,0.659,0.683,0.592,0.649,0.664,0.681,0.654,0.672,0.651
sensation_1000_lora_random_10,11,0.678,0.694,0.641,0.658,0.583,0.654,0.667,0.657,0.673,0.674,0.63
sensation_1000_lora_random_10,12,0.664,0.663,0.656,0.669,0.603,0.68,0.668,0.678,0.667,0.663,0.663
sensation_1000_lora_random_10,13,0.643,0.63,0.63,0.643,0.592,0.625,0.646,0.669,0.611,0.646,0.623
sensation_1000_lora_random_10,14,0.641,0.642,0.649,0.698,0.572,0.658,0.665,0.682,0.656,0.659,0.636
sensation_1000_lora_random_10,15,0.638,0.648,0.626,0.66,0.624,0.651,0.656,0.677,0.658,0.644,0.637
sensation_1000_lora_random_10,16,0.651,0.661,0.651,0.636,0.61,0.649,0.669,0.679,0.662,0.665,0.64
sensation_1000_lora_random_100,1,0.677,0.674,0.649,0.685,0.54,0.657,0.67,0.651,0.654,0.669,0.64
sensation_1000_lora_random_100,2,0.643,0.661,0.634,0.673,0.582,0.618,0.658,0.666,0.641,0.659,0.621
sensation_1000_lora_random_100,3,0.631,0.651,0.629,0.665,0.54,0.602,0.648,0.657,0.615,0.648,0.621
sensation_1000_lora_random_100,4,0.678,0.673,0.665,0.675,0.603,0.627,0.679,0.683,0.667,0.667,0.639
sensation_1000_lora_random_100,5,0.64,0.645,0.65,0.67,0.639,0.647,0.661,0.674,0.651,0.645,0.636
sensation_1000_lora_random_100,6,0.675,0.64,0.658,0.664,0.578,0.636,0.666,0.658,0.628,0.651,0.604
sensation_1000_lora_random_100,7,0.663,0.659,0.638,0.685,0.613,0.648,0.676,0.669,0.654,0.687,0.632
sensation_1000_lora_random_100,8,0.666,0.651,0.643,0.683,0.612,0.672,0.673,0.669,0.668,0.666,0.637
sensation_1000_lora_random_100,9,0.655,0.637,0.626,0.638,0.585,0.591,0.65,0.664,0.623,0.677,0.59
sensation_1000_lora_random_100,10,0.666,0.664,0.649,0.686,0.578,0.639,0.663,0.66,0.656,0.674,0.64
sensation_1000_lora_random_100,11,0.678,0.698,0.641,0.657,0.582,0.649,0.671,0.655,0.664,0.678,0.618
