experiment,run,rec
yahoo_1000_lora_baseline,1,0.916
yahoo_1000_lora_baseline,2,0.933
yahoo_1000_lora_baseline,3,0.938
yahoo_1000_lora_baseline,4,0.928
yahoo_1000_lora_baseline,5,0.943
yahoo_1000_lora_baseline,6,0.923
yahoo_1000_lora_baseline,7,0.921
yahoo_1000_lora_baseline,8,0.933
yahoo_1000_lora_baseline,9,0.928
yahoo_1000_lora_baseline,10,0.928
yahoo_1000_lora_baseline,11,0.935
yahoo_1000_lora_baseline,12,0.931
yahoo_1000_lora_baseline,13,0.933
yahoo_1000_lora_baseline,14,0.931
yahoo_1000_lora_baseline,15,0.931
yahoo_1000_lora_baseline,16,0.933
yahoo_1000_pfeiffer_baseline,1,0.921
yahoo_1000_pfeiffer_baseline,2,0.935
yahoo_1000_pfeiffer_baseline,3,0.935
yahoo_1000_pfeiffer_baseline,4,0.928
yahoo_1000_pfeiffer_baseline,5,0.935
yahoo_1000_pfeiffer_baseline,6,0.931
yahoo_1000_pfeiffer_baseline,7,0.923
yahoo_1000_pfeiffer_baseline,8,0.923
yahoo_1000_pfeiffer_baseline,9,0.933
yahoo_1000_pfeiffer_baseline,10,0.94
yahoo_1000_pfeiffer_baseline,11,0.935
yahoo_1000_pfeiffer_baseline,12,0.926
yahoo_1000_pfeiffer_baseline,13,0.935
yahoo_1000_pfeiffer_baseline,14,0.933
yahoo_1000_pfeiffer_baseline,15,0.926
yahoo_1000_pfeiffer_baseline,16,0.933
yahoo_1000_pfeifferinv_baseline,1,0.928
yahoo_1000_pfeifferinv_baseline,2,0.931
yahoo_1000_pfeifferinv_baseline,3,0.931
yahoo_1000_pfeifferinv_baseline,4,0.933
yahoo_1000_pfeifferinv_baseline,5,0.935
yahoo_1000_pfeifferinv_baseline,6,0.928
yahoo_1000_pfeifferinv_baseline,7,0.928
yahoo_1000_pfeifferinv_baseline,8,0.933
yahoo_1000_pfeifferinv_baseline,9,0.933
yahoo_1000_pfeifferinv_baseline,10,0.933
yahoo_1000_pfeifferinv_baseline,11,0.938
yahoo_1000_pfeifferinv_baseline,12,0.935
yahoo_1000_pfeifferinv_baseline,13,0.94
yahoo_1000_pfeifferinv_baseline,14,0.931
yahoo_1000_pfeifferinv_baseline,15,0.926
yahoo_1000_pfeifferinv_baseline,16,0.933
yahoo_2000_lora_baseline,1,0.952
yahoo_2000_lora_baseline,2,0.933
yahoo_2000_lora_baseline,3,0.933
yahoo_2000_lora_baseline,4,0.935
yahoo_2000_lora_baseline,5,0.945
yahoo_2000_lora_baseline,6,0.947
yahoo_2000_lora_baseline,7,0.943
yahoo_2000_lora_baseline,8,0.931
yahoo_2000_lora_baseline,9,0.945
yahoo_2000_lora_baseline,10,0.945
yahoo_2000_lora_baseline,11,0.943
yahoo_2000_lora_baseline,12,0.943
yahoo_2000_lora_baseline,13,0.935
yahoo_2000_lora_baseline,14,0.935
yahoo_2000_lora_baseline,15,0.945
yahoo_2000_lora_baseline,16,0.935
yahoo_2000_pfeiffer_baseline,1,0.945
yahoo_2000_pfeiffer_baseline,2,0.947
yahoo_2000_pfeiffer_baseline,3,0.947
yahoo_2000_pfeiffer_baseline,4,0.952
yahoo_2000_pfeiffer_baseline,5,0.94
yahoo_2000_pfeiffer_baseline,6,0.955
yahoo_2000_pfeiffer_baseline,7,0.94
yahoo_2000_pfeiffer_baseline,8,0.931
yahoo_2000_pfeiffer_baseline,9,0.938
yahoo_2000_pfeiffer_baseline,10,0.94
yahoo_2000_pfeiffer_baseline,11,0.943
yahoo_2000_pfeiffer_baseline,12,0.943
yahoo_2000_pfeiffer_baseline,13,0.938
yahoo_2000_pfeiffer_baseline,14,0.938
yahoo_2000_pfeiffer_baseline,15,0.952
yahoo_2000_pfeiffer_baseline,16,0.947
yahoo_2000_pfeifferinv_baseline,1,0.94
yahoo_2000_pfeifferinv_baseline,2,0.95
yahoo_2000_pfeifferinv_baseline,3,0.94
yahoo_2000_pfeifferinv_baseline,4,0.947
yahoo_2000_pfeifferinv_baseline,5,0.938
yahoo_2000_pfeifferinv_baseline,6,0.95
yahoo_2000_pfeifferinv_baseline,7,0.945
yahoo_2000_pfeifferinv_baseline,8,0.94
yahoo_2000_pfeifferinv_baseline,9,0.935
yahoo_2000_pfeifferinv_baseline,10,0.943
yahoo_2000_pfeifferinv_baseline,11,0.935
yahoo_2000_pfeifferinv_baseline,12,0.945
yahoo_2000_pfeifferinv_baseline,13,0.943
yahoo_2000_pfeifferinv_baseline,14,0.943
yahoo_2000_pfeifferinv_baseline,15,0.947
yahoo_2000_pfeifferinv_baseline,16,0.943
