experiment,run,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9,prec_10
yahoo_1000_lora_diversity_10,1,0.922,0.909,0.927,0.914,0.918,0.921,0.931,0.928,0.917,0.928,0.927
yahoo_1000_lora_diversity_10,2,0.928,0.905,0.931,0.928,0.929,0.919,0.933,0.933,0.931,0.931,0.936
yahoo_1000_lora_diversity_10,3,0.933,0.916,0.931,0.926,0.932,0.923,0.941,0.933,0.935,0.926,0.926
yahoo_1000_lora_diversity_10,4,0.922,0.917,0.919,0.916,0.919,0.907,0.935,0.931,0.921,0.926,0.921
yahoo_1000_lora_diversity_10,5,0.923,0.909,0.927,0.921,0.931,0.931,0.933,0.931,0.926,0.926,0.92
yahoo_1000_lora_diversity_10,6,0.926,0.923,0.936,0.926,0.931,0.921,0.933,0.936,0.922,0.931,0.925
yahoo_1000_lora_diversity_10,7,0.932,0.916,0.929,0.921,0.931,0.924,0.933,0.94,0.926,0.926,0.923
yahoo_1000_lora_diversity_10,8,0.933,0.914,0.941,0.921,0.926,0.928,0.941,0.94,0.921,0.924,0.926
yahoo_1000_lora_diversity_10,9,0.929,0.918,0.924,0.907,0.922,0.923,0.94,0.938,0.926,0.931,0.922
yahoo_1000_lora_diversity_10,10,0.923,0.917,0.922,0.916,0.927,0.928,0.931,0.931,0.926,0.931,0.924
yahoo_1000_lora_diversity_10,11,0.931,0.909,0.928,0.919,0.924,0.911,0.933,0.931,0.926,0.931,0.923
yahoo_1000_lora_diversity_10,12,0.926,0.912,0.93,0.919,0.929,0.911,0.938,0.94,0.929,0.934,0.922
yahoo_1000_lora_diversity_10,13,0.925,0.918,0.929,0.923,0.922,0.917,0.94,0.933,0.931,0.931,0.93
yahoo_1000_lora_diversity_10,14,0.92,0.913,0.924,0.921,0.918,0.914,0.933,0.931,0.923,0.924,0.914
yahoo_1000_lora_diversity_10,15,0.92,0.919,0.927,0.924,0.924,0.923,0.928,0.928,0.917,0.924,0.916
yahoo_1000_lora_diversity_10,16,0.932,0.916,0.922,0.914,0.918,0.924,0.931,0.94,0.926,0.922,0.929
yahoo_1000_lora_diversity_100,1,0.917,0.923,0.923,0.905,0.925,0.916,0.931,0.926,0.917,0.928,0.927
yahoo_1000_lora_diversity_100,2,0.928,0.905,0.931,0.928,0.929,0.921,0.933,0.935,0.933,0.929,0.933
yahoo_1000_lora_diversity_100,3,0.933,0.916,0.931,0.926,0.932,0.921,0.94,0.933,0.938,0.928,0.925
yahoo_1000_lora_diversity_100,4,0.922,0.917,0.919,0.919,0.919,0.907,0.935,0.933,0.921,0.926,0.925
yahoo_1000_lora_diversity_100,5,0.923,0.909,0.927,0.919,0.931,0.928,0.933,0.933,0.926,0.928,0.914
yahoo_1000_lora_diversity_100,6,0.926,0.923,0.936,0.926,0.931,0.921,0.935,0.936,0.922,0.931,0.923
yahoo_1000_lora_diversity_100,7,0.932,0.916,0.929,0.924,0.929,0.924,0.933,0.935,0.924,0.926,0.92
yahoo_1000_lora_diversity_100,8,0.933,0.914,0.941,0.921,0.924,0.928,0.941,0.94,0.924,0.924,0.925
yahoo_1000_lora_diversity_100,9,0.929,0.918,0.924,0.907,0.922,0.923,0.938,0.938,0.926,0.933,0.922
yahoo_1000_lora_diversity_100,10,0.923,0.919,0.922,0.919,0.927,0.926,0.933,0.931,0.926,0.933,0.921
