experiment,run,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9
baseline_agnews_10_adapter_coreset,1,0.88333,0.89167,0.89833,0.88667,0.9,0.90833,0.90333,0.905,0.91167,0.90667
baseline_agnews_10_adapter_coreset,2,0.88833,0.89167,0.88333,0.88167,0.90333,0.89333,0.88833,0.88667,0.89,0.88833
baseline_agnews_10_adapter_coreset,3,0.87833,0.88,0.89,0.89833,0.88667,0.895,0.89833,0.89167,0.90167,0.90667
baseline_agnews_10_adapter_entropy,1,0.87,0.885,0.89167,0.90167,0.90333,0.91,0.91,0.9,0.9,0.895
baseline_agnews_10_adapter_entropy,2,0.88833,0.895,0.89333,0.9,0.89833,0.89833,0.885,0.895,0.88333,0.89333
baseline_agnews_10_adapter_entropy,3,0.87833,0.87333,0.89333,0.89,0.90333,0.89833,0.90833,0.905,0.89833,0.90333
baseline_agnews_10_adapter_random,1,0.87,0.88,0.88,0.88,0.87333,0.885,0.88167,0.87167,0.87833,0.88333
baseline_agnews_10_adapter_random,2,0.87833,0.875,0.85833,0.875,0.87,0.865,0.87,0.87667,0.88167,0.89167
baseline_agnews_10_adapter_random,3,0.88,0.86833,0.875,0.875,0.87667,0.88167,0.88333,0.88167,0.89,0.88667
baseline_agnews_10_lora_coreset,1,0.86167,0.88167,0.885,0.88333,0.88667,0.89,0.9,0.89667,0.89333,0.9
baseline_agnews_10_lora_coreset,2,0.865,0.885,0.88167,0.88167,0.88833,0.88833,0.89333,0.88667,0.89167,0.88833
baseline_agnews_10_lora_coreset,3,0.85833,0.88833,0.88667,0.89,0.895,0.89833,0.90333,0.89,0.89667,0.89667
baseline_agnews_10_lora_entropy,1,0.86667,0.88833,0.885,0.88667,0.88167,0.88333,0.88833,0.895,0.91,0.91167
baseline_agnews_10_lora_entropy,2,0.865,0.89167,0.89333,0.905,0.90167,0.90667,0.90333,0.91333,0.91833,0.91333
baseline_agnews_10_lora_entropy,3,0.85833,0.88,0.88167,0.885,0.88667,0.88833,0.895,0.89667,0.9,0.90667
baseline_agnews_10_lora_random,1,0.86667,0.85833,0.855,0.85167,0.85167,0.87167,0.87833,0.88,0.885,0.88167
baseline_agnews_10_lora_random,2,0.85333,0.86167,0.85,0.87,0.85833,0.86333,0.86167,0.88333,0.88667,0.88667
baseline_agnews_10_lora_random,3,0.86167,0.86667,0.86,0.87667,0.87833,0.87833,0.86667,0.87667,0.88667,0.88833
baseline_agnews_10_prefix_coreset,1,0.89,0.87833,0.89333,0.885,0.89167,0.89667,0.9,0.88833,0.89333,0.885
baseline_agnews_10_prefix_coreset,2,0.875,0.89333,0.89833,0.89833,0.89333,0.90833,0.90333,0.90333,0.895,0.895
baseline_agnews_10_prefix_coreset,3,0.88167,0.87167,0.87167,0.885,0.88667,0.89333,0.89167,0.89833,0.89667,0.90833
baseline_agnews_10_prefix_entropy,1,0.88333,0.88,0.88833,0.89833,0.89667,0.9,0.90333,0.90333,0.91667,0.91
baseline_agnews_10_prefix_entropy,2,0.875,0.87167,0.885,0.895,0.90167,0.895,0.89167,0.90667,0.915,0.91333
baseline_agnews_10_prefix_entropy,3,0.88167,0.88167,0.88167,0.88833,0.88333,0.90167,0.89667,0.89333,0.90667,0.905
baseline_agnews_10_prefix_random,1,0.88333,0.86833,0.87167,0.87167,0.86667,0.87667,0.89,0.87833,0.88333,0.87667
baseline_agnews_10_prefix_random,2,0.875,0.88667,0.87167,0.86833,0.86667,0.87,0.885,0.88667,0.88,0.88667
baseline_agnews_10_prefix_random,3,0.89,0.86167,0.86167,0.88167,0.87833,0.885,0.89833,0.895,0.88,0.87333
