experiment,run,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
baseline_agnews_10_adapter_coreset,1,0.88369,0.89208,0.89916,0.88692,0.90025,0.90859,0.90355,0.90529,0.91184,0.90705
baseline_agnews_10_adapter_coreset,2,0.88903,0.89229,0.88282,0.88176,0.90378,0.8938,0.88847,0.88645,0.89022,0.8883
baseline_agnews_10_adapter_coreset,3,0.87846,0.88079,0.89033,0.89833,0.88688,0.89498,0.89864,0.89214,0.90224,0.907
baseline_agnews_10_adapter_entropy,1,0.8714,0.88509,0.89214,0.90192,0.90334,0.91025,0.91006,0.90022,0.9003,0.89515
baseline_agnews_10_adapter_entropy,2,0.88903,0.89582,0.89353,0.90018,0.89859,0.89814,0.88484,0.89525,0.88386,0.89319
baseline_agnews_10_adapter_entropy,3,0.87846,0.87341,0.89327,0.89033,0.90352,0.89871,0.90836,0.90513,0.89869,0.90381
baseline_agnews_10_adapter_random,1,0.8714,0.87896,0.8798,0.87879,0.87304,0.8844,0.88111,0.87275,0.87871,0.88334
baseline_agnews_10_adapter_random,2,0.87938,0.87497,0.85761,0.87478,0.86933,0.86377,0.86922,0.8768,0.88113,0.89183
baseline_agnews_10_adapter_random,3,0.88023,0.86923,0.87387,0.87418,0.87638,0.88098,0.88323,0.88189,0.88986,0.88635
baseline_agnews_10_lora_coreset,1,0.86128,0.88287,0.88542,0.88405,0.88778,0.8911,0.90048,0.89722,0.89392,0.90035
baseline_agnews_10_lora_coreset,2,0.86495,0.88563,0.88245,0.88253,0.889,0.88909,0.8939,0.88762,0.89226,0.88884
baseline_agnews_10_lora_coreset,3,0.85672,0.88942,0.88736,0.89085,0.89575,0.89893,0.90425,0.89028,0.8973,0.89725
baseline_agnews_10_lora_entropy,1,0.86582,0.88897,0.88518,0.88691,0.88251,0.88419,0.88916,0.8957,0.91074,0.91201
baseline_agnews_10_lora_entropy,2,0.86495,0.8925,0.89383,0.90538,0.90217,0.90721,0.90399,0.91382,0.91884,0.91368
baseline_agnews_10_lora_entropy,3,0.85672,0.88078,0.88244,0.88565,0.88671,0.8885,0.89529,0.89682,0.89993,0.90681
baseline_agnews_10_lora_random,1,0.86582,0.85726,0.85415,0.85083,0.8511,0.87129,0.87747,0.87942,0.88494,0.88163
baseline_agnews_10_lora_random,2,0.85247,0.86109,0.84924,0.86921,0.85785,0.86283,0.86067,0.8834,0.88667,0.88659
baseline_agnews_10_lora_random,3,0.86085,0.86618,0.85915,0.8757,0.87757,0.87781,0.8657,0.87645,0.8865,0.88801
baseline_agnews_10_prefix_coreset,1,0.89002,0.87892,0.89382,0.88541,0.89189,0.89694,0.89989,0.8887,0.89357,0.88526
baseline_agnews_10_prefix_coreset,2,0.87498,0.89362,0.89864,0.89838,0.89348,0.90839,0.90356,0.9032,0.8949,0.8945
baseline_agnews_10_prefix_coreset,3,0.88164,0.87202,0.87274,0.88558,0.88734,0.8934,0.89207,0.8991,0.89689,0.9087
baseline_agnews_10_prefix_entropy,1,0.88417,0.88065,0.88872,0.89867,0.89717,0.89995,0.90298,0.90312,0.91679,0.91035
baseline_agnews_10_prefix_entropy,2,0.87498,0.87246,0.88535,0.89561,0.90184,0.89534,0.89193,0.90694,0.91498,0.91359
baseline_agnews_10_prefix_entropy,3,0.88164,0.882,0.8825,0.88836,0.8832,0.90173,0.8968,0.89319,0.90662,0.90486
baseline_agnews_10_prefix_random,1,0.88417,0.86773,0.87113,0.87054,0.86654,0.87572,0.88973,0.87858,0.88294,0.87641
baseline_agnews_10_prefix_random,2,0.87546,0.88661,0.87109,0.8671,0.86585,0.86947,0.88405,0.88704,0.8796,0.88683
baseline_agnews_10_prefix_random,3,0.89048,0.86132,0.86074,0.88087,0.87773,0.8843,0.89756,0.89463,0.88015,0.87322
