experiment,run,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9
baseline_agnews_10_adapter_coreset,1,0.88532,0.89504,0.90126,0.88837,0.90132,0.91226,0.90731,0.90783,0.91361,0.90905
baseline_agnews_10_adapter_coreset,2,0.89062,0.89361,0.88405,0.88492,0.9054,0.89551,0.89127,0.89,0.89282,0.88907
baseline_agnews_10_adapter_coreset,3,0.88149,0.88636,0.89609,0.90202,0.89149,0.89871,0.90061,0.89451,0.9048,0.91023
baseline_agnews_10_adapter_entropy,1,0.88009,0.88566,0.89314,0.90293,0.90486,0.91169,0.91039,0.90245,0.90187,0.8959
baseline_agnews_10_adapter_entropy,2,0.89062,0.89756,0.89473,0.90374,0.90045,0.9007,0.88651,0.8978,0.88604,0.89426
baseline_agnews_10_adapter_entropy,3,0.88149,0.87888,0.89614,0.89149,0.9073,0.90268,0.91228,0.90699,0.90189,0.90634
baseline_agnews_10_adapter_random,1,0.88009,0.88281,0.88714,0.88743,0.8816,0.88887,0.88674,0.88145,0.88263,0.88628
baseline_agnews_10_adapter_random,2,0.88446,0.8814,0.86579,0.87737,0.8777,0.87212,0.87652,0.88254,0.88623,0.89552
baseline_agnews_10_adapter_random,3,0.88215,0.87521,0.87962,0.87788,0.88259,0.88456,0.88568,0.88496,0.89197,0.88956
baseline_agnews_10_lora_coreset,1,0.87227,0.88622,0.88624,0.88539,0.89059,0.89338,0.9013,0.89813,0.896,0.90167
baseline_agnews_10_lora_coreset,2,0.87052,0.88789,0.88374,0.88398,0.8904,0.89077,0.89576,0.88932,0.8932,0.89023
baseline_agnews_10_lora_coreset,3,0.86642,0.89215,0.88893,0.89266,0.89785,0.90013,0.90627,0.89276,0.89974,0.89945
baseline_agnews_10_lora_entropy,1,0.87593,0.89272,0.88722,0.88863,0.88618,0.88701,0.89175,0.89879,0.91304,0.9137
baseline_agnews_10_lora_entropy,2,0.87052,0.89471,0.89569,0.90782,0.90368,0.90923,0.90588,0.91554,0.92079,0.91532
baseline_agnews_10_lora_entropy,3,0.86642,0.88669,0.8853,0.88786,0.88935,0.89106,0.89688,0.8988,0.90269,0.90965
baseline_agnews_10_lora_random,1,0.87593,0.86471,0.86262,0.86198,0.85698,0.8769,0.87957,0.88115,0.88593,0.88331
baseline_agnews_10_lora_random,2,0.85758,0.86518,0.85635,0.87521,0.863,0.86707,0.86714,0.88517,0.88765,0.8878
baseline_agnews_10_lora_random,3,0.86783,0.87038,0.86659,0.88338,0.88464,0.88175,0.87043,0.88146,0.88843,0.89091
baseline_agnews_10_prefix_coreset,1,0.89473,0.88144,0.89554,0.89049,0.89614,0.89873,0.90069,0.89194,0.89611,0.88829
baseline_agnews_10_prefix_coreset,2,0.8777,0.89524,0.90038,0.89949,0.89392,0.90871,0.90492,0.90367,0.8956,0.89491
baseline_agnews_10_prefix_coreset,3,0.88593,0.87363,0.87512,0.88666,0.88864,0.89519,0.89354,0.90099,0.89834,0.91087
baseline_agnews_10_prefix_entropy,1,0.88901,0.88178,0.89085,0.90153,0.90027,0.90176,0.90439,0.9039,0.91804,0.91135
baseline_agnews_10_prefix_entropy,2,0.8777,0.87401,0.88587,0.89886,0.90454,0.89723,0.89365,0.90985,0.91606,0.9151
baseline_agnews_10_prefix_entropy,3,0.88593,0.88249,0.88419,0.88955,0.88522,0.90289,0.89777,0.89392,0.90706,0.90544
baseline_agnews_10_prefix_random,1,0.88901,0.87716,0.87797,0.88041,0.87676,0.89079,0.89422,0.88402,0.88493,0.88148
baseline_agnews_10_prefix_random,2,0.87929,0.89381,0.88121,0.87768,0.87336,0.87425,0.88672,0.89001,0.88413,0.88888
baseline_agnews_10_prefix_random,3,0.89774,0.8667,0.86854,0.89015,0.88271,0.88792,0.90123,0.89746,0.88238,0.87771
