experiment,run,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
baseline_sensation_10_adapter_coreset,1,0.41379,0.52881,0.54962,0.58405,0.61197,0.61602,0.60763,0.64012,0.67528,0.6625
baseline_sensation_10_adapter_coreset,2,0.50448,0.57677,0.59453,0.60645,0.63608,0.63648,0.68505,0.68425,0.68974,0.67434
baseline_sensation_10_adapter_coreset,3,0.52513,0.57205,0.58751,0.58515,0.62411,0.62213,0.62744,0.65006,0.64018,0.64213
baseline_sensation_10_adapter_entropy,1,0.43494,0.46963,0.52367,0.5328,0.54734,0.56264,0.55173,0.58408,0.59644,0.59263
baseline_sensation_10_adapter_entropy,2,0.50448,0.58284,0.59331,0.63688,0.61255,0.63406,0.6667,0.64828,0.6608,0.66503
baseline_sensation_10_adapter_entropy,3,0.52513,0.55831,0.57659,0.59234,0.60954,0.62638,0.64543,0.64221,0.66291,0.65875
baseline_sensation_10_adapter_random,1,0.43494,0.53299,0.52258,0.51863,0.57425,0.54788,0.57954,0.61964,0.62198,0.63608
baseline_sensation_10_adapter_random,2,0.534,0.53679,0.534,0.5589,0.53315,0.54947,0.56448,0.59286,0.60839,0.62216
baseline_sensation_10_adapter_random,3,0.51142,0.55691,0.513,0.52542,0.56349,0.52945,0.55582,0.56273,0.56033,0.58913
baseline_sensation_10_lora_coreset,1,0.5167,0.46957,0.5324,0.5643,0.56778,0.563,0.56975,0.59453,0.60198,0.62863
baseline_sensation_10_lora_coreset,2,0.52879,0.44573,0.53762,0.59099,0.61223,0.62736,0.63005,0.62944,0.6629,0.66925
baseline_sensation_10_lora_coreset,3,0.51963,0.44008,0.51395,0.56848,0.58308,0.60566,0.61906,0.64886,0.64801,0.63986
baseline_sensation_10_lora_entropy,1,0.49489,0.55083,0.56245,0.55342,0.57229,0.58722,0.59622,0.59431,0.61557,0.62679
baseline_sensation_10_lora_entropy,2,0.52879,0.54191,0.56077,0.60609,0.64348,0.62215,0.63,0.64365,0.65243,0.64836
baseline_sensation_10_lora_entropy,3,0.51963,0.52078,0.53295,0.5483,0.60668,0.61858,0.61346,0.61769,0.62612,0.61173
baseline_sensation_10_lora_random,1,0.49489,0.49442,0.53867,0.55714,0.53679,0.55038,0.57828,0.57367,0.5872,0.60431
baseline_sensation_10_lora_random,2,0.45255,0.47851,0.54774,0.53497,0.54396,0.58526,0.61223,0.59249,0.59871,0.61034
baseline_sensation_10_lora_random,3,0.45555,0.50391,0.52659,0.55527,0.57772,0.59142,0.60361,0.5937,0.59263,0.62381
baseline_sensation_10_prefix_coreset,1,0.51142,0.56524,0.61035,0.62275,0.60528,0.61136,0.60402,0.63867,0.62679,0.60998
baseline_sensation_10_prefix_coreset,2,0.52288,0.54415,0.56404,0.54972,0.60257,0.62588,0.63209,0.61527,0.62346,0.63011
baseline_sensation_10_prefix_coreset,3,0.52614,0.54294,0.58349,0.59909,0.63846,0.61035,0.63597,0.6774,0.64552,0.67187
baseline_sensation_10_prefix_entropy,1,0.54784,0.59099,0.61385,0.61166,0.62968,0.64337,0.63955,0.65824,0.65613,0.68815
baseline_sensation_10_prefix_entropy,2,0.52288,0.54615,0.60655,0.63076,0.63986,0.64838,0.66686,0.67069,0.68938,0.42582
baseline_sensation_10_prefix_entropy,3,0.52614,0.51689,0.55015,0.56938,0.59228,0.59228,0.5753,0.61223,0.63688,0.62993
baseline_sensation_10_prefix_random,1,0.54784,0.55505,0.54249,0.55599,0.57234,0.60515,0.61787,0.62276,0.63241,0.6258
baseline_sensation_10_prefix_random,2,0.53215,0.51682,0.50016,0.53018,0.55543,0.54583,0.57425,0.57762,0.60637,0.59129
baseline_sensation_10_prefix_random,3,0.53385,0.54615,0.53072,0.56157,0.54706,0.56458,0.60042,0.59104,0.63882,0.64288
