experiment,run,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9
baseline_sensation_10_adapter_coreset,1,0.54752,0.57189,0.58522,0.61565,0.64406,0.64005,0.63501,0.64657,0.68683,0.66711
baseline_sensation_10_adapter_coreset,2,0.58208,0.6078,0.60105,0.61774,0.64334,0.63091,0.68907,0.69188,0.69089,0.681
baseline_sensation_10_adapter_coreset,3,0.56284,0.58731,0.62611,0.6014,0.62945,0.62784,0.62706,0.65744,0.64516,0.64256
baseline_sensation_10_adapter_entropy,1,0.54997,0.50442,0.52873,0.53223,0.54633,0.56063,0.54997,0.58097,0.58987,0.58665
baseline_sensation_10_adapter_entropy,2,0.58208,0.62428,0.59543,0.63232,0.61156,0.64173,0.67034,0.65302,0.65708,0.6603
baseline_sensation_10_adapter_entropy,3,0.56284,0.56619,0.57572,0.59262,0.60454,0.62285,0.64017,0.64397,0.65869,0.65827
baseline_sensation_10_adapter_random,1,0.54997,0.55203,0.54958,0.53351,0.60036,0.56213,0.59516,0.63465,0.63345,0.64334
baseline_sensation_10_adapter_random,2,0.56649,0.55385,0.56649,0.57602,0.54642,0.55152,0.56843,0.59403,0.61935,0.62924
baseline_sensation_10_adapter_random,3,0.51882,0.56738,0.52446,0.53035,0.56962,0.53498,0.56177,0.57643,0.5638,0.60182
baseline_sensation_10_lora_coreset,1,0.53471,0.51909,0.5408,0.57384,0.57566,0.56183,0.56631,0.58826,0.5957,0.61927
baseline_sensation_10_lora_coreset,2,0.53838,0.52204,0.56249,0.60063,0.62398,0.6425,0.6385,0.62867,0.6629,0.66774
baseline_sensation_10_lora_coreset,3,0.52079,0.56526,0.55759,0.60857,0.61123,0.63339,0.64609,0.67168,0.65582,0.64937
baseline_sensation_10_lora_entropy,1,0.53563,0.54955,0.57222,0.56697,0.57628,0.60021,0.60125,0.59964,0.61738,0.62425
baseline_sensation_10_lora_entropy,2,0.53838,0.5629,0.57763,0.62195,0.65541,0.63065,0.63289,0.63996,0.65063,0.64881
baseline_sensation_10_lora_entropy,3,0.52079,0.52261,0.53775,0.548,0.59913,0.6112,0.60777,0.6098,0.61885,0.60376
baseline_sensation_10_lora_random,1,0.53563,0.54588,0.55266,0.57159,0.54964,0.55693,0.58253,0.57389,0.58919,0.61051
baseline_sensation_10_lora_random,2,0.51066,0.52855,0.55932,0.54803,0.56311,0.6,0.62398,0.61066,0.60848,0.61816
baseline_sensation_10_lora_random,3,0.49229,0.52342,0.53056,0.56858,0.59214,0.59382,0.6063,0.59683,0.59943,0.63647
baseline_sensation_10_prefix_coreset,1,0.51882,0.60394,0.62097,0.65654,0.64645,0.64546,0.64343,0.66362,0.65977,0.64244
baseline_sensation_10_prefix_coreset,2,0.52401,0.54668,0.58507,0.56514,0.61171,0.62826,0.6359,0.61598,0.62384,0.6371
baseline_sensation_10_prefix_coreset,3,0.52724,0.56873,0.61705,0.62273,0.65639,0.62097,0.64474,0.68844,0.65702,0.68079
baseline_sensation_10_prefix_entropy,1,0.56072,0.60063,0.61717,0.61416,0.63008,0.63856,0.63674,0.65125,0.64964,0.68647
baseline_sensation_10_prefix_entropy,2,0.52401,0.5471,0.63059,0.64854,0.64937,0.65021,0.68038,0.67497,0.69229,0.5
baseline_sensation_10_prefix_entropy,3,0.52724,0.51714,0.55293,0.56807,0.59002,0.59002,0.57192,0.60756,0.63232,0.62467
baseline_sensation_10_prefix_random,1,0.56072,0.58423,0.57736,0.58865,0.60597,0.6348,0.63163,0.64208,0.65155,0.63808
baseline_sensation_10_prefix_random,2,0.533,0.5319,0.53605,0.56326,0.59005,0.56473,0.60036,0.61222,0.61353,0.61628
baseline_sensation_10_prefix_random,3,0.53551,0.5471,0.55323,0.58626,0.58501,0.57945,0.61571,0.60203,0.65499,0.65821
