experiment,run,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
baseline_trec_10_adapter_coreset,1,0.3902,0.6187,0.68278,0.70024,0.71505,0.78845,0.81281,0.87928,0.90541,0.89797
baseline_trec_10_adapter_coreset,2,0.35687,0.59747,0.66787,0.73358,0.79511,0.82972,0.87264,0.89122,0.88948,0.89979
baseline_trec_10_adapter_coreset,3,0.35645,0.63945,0.67555,0.76273,0.78838,0.78057,0.79711,0.79512,0.81107,0.79929
baseline_trec_10_adapter_entropy,1,0.38783,0.64825,0.68567,0.71971,0.7145,0.78411,0.78514,0.79523,0.80635,0.79776
baseline_trec_10_adapter_entropy,2,0.35687,0.61044,0.67792,0.70218,0.68803,0.72315,0.75491,0.86732,0.88221,0.89794
baseline_trec_10_adapter_entropy,3,0.35645,0.62736,0.67957,0.70752,0.73232,0.87943,0.85785,0.88654,0.89638,0.89119
baseline_trec_10_adapter_random,1,0.38783,0.71151,0.72246,0.76835,0.78954,0.78962,0.76804,0.78204,0.73243,0.74089
baseline_trec_10_adapter_random,2,0.27933,0.70067,0.70963,0.75882,0.72947,0.7398,0.78694,0.76446,0.77746,0.79811
baseline_trec_10_adapter_random,3,0.45781,0.73373,0.78066,0.75913,0.80161,0.82647,0.80262,0.85517,0.80154,0.86472
baseline_trec_10_lora_coreset,1,0.23148,0.63444,0.74125,0.74137,0.77653,0.79711,0.84294,0.83118,0.84649,0.84787
baseline_trec_10_lora_coreset,2,0.16069,0.55607,0.67691,0.70081,0.7042,0.71628,0.71871,0.72823,0.7253,0.73373
baseline_trec_10_lora_coreset,3,0.22097,0.57979,0.71333,0.72014,0.73267,0.73613,0.73873,0.74164,0.73991,0.7512
baseline_trec_10_lora_entropy,1,0.22813,0.56607,0.75417,0.76157,0.77549,0.78904,0.79596,0.84744,0.89331,0.90465
baseline_trec_10_lora_entropy,2,0.16069,0.51858,0.7012,0.75087,0.77013,0.79872,0.81572,0.85332,0.88761,0.88162
baseline_trec_10_lora_entropy,3,0.22097,0.53397,0.68117,0.73067,0.77092,0.84274,0.86,0.89098,0.85148,0.86219
baseline_trec_10_lora_random,1,0.22813,0.61349,0.71585,0.73244,0.74729,0.76458,0.76457,0.74975,0.73807,0.78765
baseline_trec_10_lora_random,2,0.23983,0.61689,0.71551,0.72373,0.76174,0.78171,0.77385,0.75514,0.76822,0.80338
baseline_trec_10_lora_random,3,0.13633,0.61081,0.71237,0.73046,0.75166,0.74646,0.77401,0.75795,0.75274,0.80493
baseline_trec_10_prefix_coreset,1,0.56308,0.66315,0.6795,0.69229,0.69816,0.71859,0.71698,0.84452,0.89897,0.89698
baseline_trec_10_prefix_coreset,2,0.50465,0.66567,0.69474,0.70416,0.70438,0.7119,0.71508,0.72434,0.79679,0.81336
baseline_trec_10_prefix_coreset,3,0.35432,0.69714,0.80247,0.79978,0.81914,0.84796,0.88886,0.88921,0.87546,0.89581
baseline_trec_10_prefix_entropy,1,0.48263,0.62489,0.75133,0.79897,0.86819,0.87849,0.51924,0.88013,0.86608,0.87393
baseline_trec_10_prefix_entropy,2,0.50465,0.6013,0.67776,0.73953,0.76641,0.84044,0.89317,0.8902,0.88149,0.88348
baseline_trec_10_prefix_entropy,3,0.35432,0.64327,0.69871,0.68488,0.7903,0.88057,0.89327,0.89283,0.89291,0.91444
baseline_trec_10_prefix_random,1,0.48263,0.70849,0.73378,0.75872,0.79745,0.76702,0.73834,0.7808,0.78333,0.76897
baseline_trec_10_prefix_random,2,0.43091,0.73691,0.75058,0.76728,0.77993,0.79282,0.79875,0.79848,0.78863,0.86737
baseline_trec_10_prefix_random,3,0.51631,0.73438,0.74727,0.75872,0.75138,0.78876,0.77808,0.83179,0.78542,0.84416
