experiment,run,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9
baseline_sensation_10_adapter_coreset,1,0.41388,0.55742,0.58612,0.62679,0.6555,0.66746,0.6555,0.71292,0.73684,0.73445
baseline_sensation_10_adapter_coreset,2,0.51435,0.61962,0.67225,0.67464,0.70813,0.73445,0.75359,0.7488,0.76077,0.74163
baseline_sensation_10_adapter_coreset,3,0.55742,0.63397,0.6244,0.64593,0.70096,0.69856,0.71531,0.7201,0.71531,0.72488
baseline_sensation_10_adapter_entropy,1,0.43541,0.49761,0.60526,0.65072,0.66268,0.67943,0.67703,0.69617,0.72727,0.72249
baseline_sensation_10_adapter_entropy,2,0.51435,0.61722,0.68182,0.73206,0.70574,0.70574,0.73923,0.72249,0.74641,0.7512
baseline_sensation_10_adapter_entropy,3,0.55742,0.63397,0.67943,0.6866,0.7177,0.72249,0.73923,0.72249,0.7488,0.73923
baseline_sensation_10_adapter_random,1,0.43541,0.58612,0.56459,0.57656,0.62201,0.61005,0.64115,0.68182,0.689,0.70813
baseline_sensation_10_adapter_random,2,0.57177,0.5933,0.57177,0.61722,0.59569,0.64354,0.65072,0.68421,0.67703,0.69617
baseline_sensation_10_adapter_random,3,0.689,0.62679,0.57656,0.60766,0.64354,0.61005,0.63636,0.62679,0.64833,0.6555
baseline_sensation_10_lora_coreset,1,0.56938,0.48804,0.60526,0.63636,0.64354,0.67225,0.70574,0.72488,0.72249,0.74402
baseline_sensation_10_lora_coreset,2,0.72249,0.45215,0.58373,0.66268,0.67943,0.689,0.70096,0.7177,0.74163,0.7488
baseline_sensation_10_lora_coreset,3,0.66507,0.44019,0.54067,0.60287,0.62919,0.65311,0.66746,0.70096,0.7177,0.70813
baseline_sensation_10_lora_entropy,1,0.52153,0.66746,0.63397,0.61722,0.65789,0.65311,0.67703,0.67464,0.70096,0.7201
baseline_sensation_10_lora_entropy,2,0.72249,0.5933,0.61962,0.66746,0.70813,0.69378,0.71053,0.73445,0.73684,0.72967
baseline_sensation_10_lora_entropy,3,0.66507,0.67225,0.70813,0.70096,0.73206,0.73206,0.72249,0.73445,0.73445,0.73445
baseline_sensation_10_lora_random,1,0.52153,0.51435,0.60048,0.61962,0.60048,0.62919,0.66268,0.67225,0.67703,0.68182
baseline_sensation_10_lora_random,2,0.74402,0.49761,0.61483,0.59809,0.59809,0.64833,0.67943,0.65072,0.66986,0.68421
baseline_sensation_10_lora_random,3,0.70335,0.55263,0.61244,0.61962,0.64115,0.67943,0.689,0.67943,0.66986,0.689
baseline_sensation_10_prefix_coreset,1,0.689,0.60048,0.67943,0.66507,0.64115,0.65311,0.64115,0.689,0.66986,0.65311
baseline_sensation_10_prefix_coreset,2,0.66986,0.63636,0.61722,0.61005,0.67464,0.70813,0.71053,0.70335,0.71053,0.70335
baseline_sensation_10_prefix_coreset,3,0.67464,0.58852,0.6244,0.65072,0.69617,0.67943,0.70574,0.73923,0.71053,0.73684
baseline_sensation_10_prefix_entropy,1,0.61244,0.66268,0.69617,0.69617,0.71531,0.73684,0.72967,0.7512,0.7488,0.76316
baseline_sensation_10_prefix_entropy,2,0.66986,0.64593,0.65789,0.689,0.70813,0.72727,0.72727,0.74163,0.75837,0.74163
baseline_sensation_10_prefix_entropy,3,0.67464,0.65072,0.64115,0.67703,0.69617,0.69617,0.69617,0.7177,0.73206,0.72967
baseline_sensation_10_prefix_random,1,0.61244,0.59809,0.57895,0.59569,0.61244,0.65072,0.68182,0.67943,0.689,0.69139
baseline_sensation_10_prefix_random,2,0.63397,0.57416,0.5311,0.56699,0.5933,0.60048,0.62201,0.61722,0.68182,0.64115
baseline_sensation_10_prefix_random,3,0.69139,0.64593,0.57895,0.61005,0.58134,0.62679,0.66268,0.66029,0.69856,0.70335
