experiment,run,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9
baseline_sensation_10_adapter_coreset,1,0.54904,0.55511,0.5658,0.59091,0.6144,0.61443,0.60851,0.63588,0.66851,0.65887
baseline_sensation_10_adapter_coreset,2,0.56556,0.58461,0.59154,0.60278,0.63164,0.64501,0.68166,0.67876,0.68864,0.66946
baseline_sensation_10_adapter_coreset,3,0.54824,0.5725,0.59795,0.58445,0.6206,0.61852,0.62784,0.64527,0.63659,0.64171
baseline_sensation_10_adapter_entropy,1,0.54678,0.50339,0.52499,0.53393,0.54911,0.56665,0.55714,0.58969,0.62079,0.61396
baseline_sensation_10_adapter_entropy,2,0.56556,0.59605,0.59169,0.64331,0.61365,0.62956,0.66367,0.64472,0.66538,0.67114
baseline_sensation_10_adapter_entropy,3,0.54824,0.55756,0.57763,0.59207,0.61856,0.63115,0.65294,0.64064,0.66823,0.65924
baseline_sensation_10_adapter_random,1,0.54678,0.5414,0.53847,0.52688,0.5797,0.55102,0.57925,0.61542,0.61741,0.63164
baseline_sensation_10_adapter_random,2,0.55134,0.54328,0.55134,0.56195,0.53792,0.54848,0.56284,0.59185,0.60459,0.61814
baseline_sensation_10_adapter_random,3,0.53017,0.55718,0.51989,0.52649,0.562,0.53042,0.55478,0.56366,0.55887,0.58698
baseline_sensation_10_lora_coreset,1,0.52746,0.51481,0.53451,0.56351,0.5663,0.56465,0.5863,0.61733,0.61849,0.65207
baseline_sensation_10_lora_coreset,2,0.58137,0.5182,0.54897,0.58818,0.60823,0.62258,0.62547,0.63026,0.6629,0.67088
baseline_sensation_10_lora_coreset,3,0.52574,0.56305,0.54415,0.58377,0.58817,0.60698,0.61821,0.64341,0.6431,0.63473
baseline_sensation_10_lora_entropy,1,0.52733,0.55328,0.56191,0.55545,0.57039,0.58531,0.59343,0.59151,0.61403,0.62993
baseline_sensation_10_lora_entropy,2,0.58137,0.54995,0.56343,0.60315,0.63782,0.61783,0.62768,0.64838,0.65443,0.64792
baseline_sensation_10_lora_entropy,3,0.52574,0.52943,0.56431,0.56833,0.63038,0.63513,0.62424,0.63726,0.64058,0.63504
baseline_sensation_10_lora_random,1,0.52733,0.53543,0.54302,0.55912,0.54077,0.54989,0.57615,0.57345,0.58569,0.60102
baseline_sensation_10_lora_random,2,0.67288,0.52211,0.54955,0.53934,0.55051,0.58404,0.60823,0.59164,0.59544,0.60657
baseline_sensation_10_lora_random,3,0.47637,0.51833,0.5271,0.55695,0.5772,0.58966,0.60159,0.59158,0.58968,0.61913
baseline_sensation_10_prefix_coreset,1,0.53017,0.58026,0.60642,0.62431,0.61387,0.6149,0.6118,0.63474,0.62736,0.61291
baseline_sensation_10_prefix_coreset,2,0.53032,0.54328,0.56837,0.55322,0.59907,0.6239,0.6292,0.61461,0.6231,0.62591
baseline_sensation_10_prefix_coreset,3,0.53509,0.55386,0.59161,0.59954,0.63315,0.60642,0.63113,0.67071,0.63982,0.66604
baseline_sensation_10_prefix_entropy,1,0.55028,0.58818,0.6114,0.60969,0.6293,0.65007,0.64299,0.66885,0.66576,0.68996
baseline_sensation_10_prefix_entropy,2,0.53032,0.5455,0.60617,0.62604,0.63473,0.64674,0.65997,0.66722,0.6868,0.37081
baseline_sensation_10_prefix_entropy,3,0.53509,0.51944,0.54907,0.57118,0.59544,0.59544,0.58362,0.62007,0.64331,0.6381
baseline_sensation_10_prefix_random,1,0.55028,0.56583,0.55969,0.56886,0.5826,0.60745,0.61364,0.61904,0.62777,0.62101
baseline_sensation_10_prefix_random,2,0.53171,0.52553,0.52764,0.54877,0.56973,0.55191,0.5797,0.58747,0.60285,0.59346
baseline_sensation_10_prefix_random,3,0.55056,0.5455,0.54184,0.56838,0.56545,0.56579,0.59787,0.58841,0.63332,0.63709
