experiment,run,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9
baseline_trec_10_adapter_coreset,1,0.43584,0.66372,0.7323,0.75442,0.76991,0.81195,0.82965,0.88274,0.90708,0.90044
baseline_trec_10_adapter_coreset,2,0.40265,0.64381,0.71681,0.76327,0.80531,0.83628,0.87611,0.89159,0.89159,0.90044
baseline_trec_10_adapter_coreset,3,0.40929,0.68363,0.72345,0.78319,0.80531,0.8031,0.81637,0.8208,0.83186,0.82522
baseline_trec_10_adapter_entropy,1,0.43363,0.69248,0.73673,0.77655,0.7677,0.80531,0.80531,0.81416,0.82522,0.82301
baseline_trec_10_adapter_entropy,2,0.40265,0.65487,0.72566,0.75664,0.74336,0.78097,0.78982,0.86947,0.88717,0.90044
baseline_trec_10_adapter_entropy,3,0.40929,0.67257,0.7323,0.75885,0.77212,0.88053,0.86283,0.88717,0.89823,0.89381
baseline_trec_10_adapter_random,1,0.43363,0.74336,0.74779,0.78761,0.80752,0.81416,0.80752,0.80752,0.77876,0.78097
baseline_trec_10_adapter_random,2,0.35398,0.7146,0.74115,0.77876,0.76991,0.77655,0.80973,0.79646,0.80973,0.81416
baseline_trec_10_adapter_random,3,0.50664,0.74558,0.78319,0.77434,0.81195,0.8385,0.81637,0.85841,0.81858,0.86726
baseline_trec_10_lora_coreset,1,0.3208,0.65265,0.75885,0.75664,0.7854,0.80973,0.84735,0.84292,0.84956,0.85398
baseline_trec_10_lora_coreset,2,0.25,0.59735,0.72566,0.75,0.75885,0.76991,0.77212,0.7854,0.78319,0.78982
baseline_trec_10_lora_coreset,3,0.29646,0.60177,0.73894,0.75,0.75885,0.76991,0.77655,0.77876,0.77655,0.78982
baseline_trec_10_lora_entropy,1,0.31195,0.59292,0.75664,0.77212,0.78982,0.80752,0.81416,0.85398,0.89381,0.90487
baseline_trec_10_lora_entropy,2,0.25,0.55973,0.72566,0.76327,0.7854,0.80752,0.8208,0.85841,0.88938,0.88496
baseline_trec_10_lora_entropy,3,0.29646,0.57965,0.71018,0.75442,0.79204,0.84735,0.86504,0.89381,0.85841,0.86726
baseline_trec_10_lora_random,1,0.31195,0.6615,0.73894,0.75442,0.77876,0.79646,0.79204,0.7854,0.77876,0.80973
baseline_trec_10_lora_random,2,0.31858,0.64823,0.73451,0.73894,0.77876,0.80088,0.80088,0.78761,0.79867,0.81858
baseline_trec_10_lora_random,3,0.2323,0.65487,0.73673,0.75442,0.78097,0.7854,0.80088,0.78761,0.7854,0.8208
baseline_trec_10_prefix_coreset,1,0.60841,0.71239,0.73451,0.74558,0.75221,0.77434,0.77434,0.85619,0.90044,0.89823
baseline_trec_10_prefix_coreset,2,0.54646,0.7146,0.73894,0.75442,0.75664,0.7677,0.77212,0.78319,0.8208,0.84071
baseline_trec_10_prefix_coreset,3,0.40708,0.72345,0.81637,0.81416,0.82743,0.85177,0.88938,0.89159,0.88053,0.89823
baseline_trec_10_prefix_entropy,1,0.53319,0.67257,0.76106,0.80973,0.86726,0.87832,0.55752,0.88053,0.86726,0.87611
baseline_trec_10_prefix_entropy,2,0.54646,0.64159,0.72566,0.77655,0.7854,0.84513,0.89381,0.89159,0.88274,0.88496
baseline_trec_10_prefix_entropy,3,0.40708,0.68805,0.75,0.73894,0.80752,0.88053,0.89381,0.89381,0.89381,0.91593
baseline_trec_10_prefix_random,1,0.53319,0.7323,0.75442,0.77655,0.81416,0.79867,0.78319,0.81416,0.80752,0.80088
baseline_trec_10_prefix_random,2,0.47788,0.75885,0.76991,0.7854,0.80088,0.81637,0.81858,0.81858,0.81195,0.87168
baseline_trec_10_prefix_random,3,0.56416,0.75,0.76327,0.77655,0.78982,0.80973,0.80531,0.84292,0.80973,0.85177
