experiment,run,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9
baseline_trec_10_adapter_coreset,1,0.36772,0.58841,0.65883,0.66645,0.68052,0.87301,0.87451,0.90294,0.92056,0.91234
baseline_trec_10_adapter_coreset,2,0.34086,0.5644,0.71093,0.82783,0.85649,0.88228,0.89295,0.90432,0.9049,0.91296
baseline_trec_10_adapter_coreset,3,0.33559,0.61376,0.64355,0.85143,0.87151,0.87039,0.87809,0.8777,0.88664,0.88207
baseline_trec_10_adapter_entropy,1,0.38766,0.62954,0.66006,0.68019,0.68258,0.86005,0.85911,0.8749,0.8757,0.87669
baseline_trec_10_adapter_entropy,2,0.34086,0.58774,0.65218,0.6664,0.64727,0.68478,0.84616,0.89659,0.90922,0.91205
baseline_trec_10_adapter_entropy,3,0.33559,0.59553,0.64185,0.75018,0.84687,0.9,0.89004,0.9085,0.91123,0.90821
baseline_trec_10_adapter_random,1,0.38766,0.8079,0.82285,0.83327,0.84716,0.87564,0.86389,0.86553,0.84339,0.85275
baseline_trec_10_adapter_random,2,0.33833,0.77157,0.80154,0.81801,0.82132,0.82631,0.87047,0.84903,0.8683,0.8621
baseline_trec_10_adapter_random,3,0.44267,0.80061,0.81999,0.81261,0.85187,0.87379,0.87264,0.87871,0.87059,0.89297
baseline_trec_10_lora_coreset,1,0.23823,0.73807,0.81818,0.83081,0.84728,0.85641,0.88857,0.8814,0.88492,0.89234
baseline_trec_10_lora_coreset,2,0.28183,0.53166,0.64669,0.67496,0.66815,0.68345,0.68749,0.69044,0.6867,0.6978
baseline_trec_10_lora_coreset,3,0.23936,0.70818,0.80646,0.83258,0.844,0.85876,0.86048,0.85748,0.85616,0.86535
baseline_trec_10_lora_entropy,1,0.2325,0.68165,0.79435,0.84551,0.86128,0.87107,0.87776,0.89513,0.9103,0.9189
baseline_trec_10_lora_entropy,2,0.28183,0.50729,0.79826,0.83349,0.84136,0.86235,0.86517,0.88438,0.90289,0.90373
baseline_trec_10_lora_entropy,3,0.23936,0.51345,0.78302,0.81336,0.85091,0.88349,0.89551,0.91256,0.89024,0.89644
baseline_trec_10_lora_random,1,0.2325,0.57489,0.80496,0.82058,0.84188,0.85932,0.86046,0.85751,0.85165,0.86128
baseline_trec_10_lora_random,2,0.23605,0.71993,0.79454,0.80026,0.83694,0.86465,0.85854,0.85401,0.85543,0.86797
baseline_trec_10_lora_random,3,0.28893,0.73022,0.7882,0.81683,0.84335,0.83273,0.85302,0.83986,0.83992,0.86687
baseline_trec_10_prefix_coreset,1,0.5412,0.63363,0.63893,0.65716,0.66364,0.68194,0.67836,0.88366,0.91537,0.91357
baseline_trec_10_prefix_coreset,2,0.47332,0.63564,0.77382,0.67695,0.67225,0.67595,0.67727,0.68396,0.86666,0.8795
baseline_trec_10_prefix_coreset,3,0.32518,0.79565,0.86431,0.87151,0.88572,0.89344,0.91055,0.91372,0.90897,0.91629
baseline_trec_10_prefix_entropy,1,0.47668,0.59229,0.81972,0.86035,0.88724,0.89581,0.64027,0.89538,0.88381,0.89085
baseline_trec_10_prefix_entropy,2,0.47332,0.59607,0.65585,0.84609,0.84433,0.87676,0.91038,0.90945,0.8996,0.90234
baseline_trec_10_prefix_entropy,3,0.32518,0.61457,0.67052,0.64899,0.86063,0.90277,0.91209,0.90994,0.9066,0.9271
baseline_trec_10_prefix_random,1,0.47668,0.79343,0.81409,0.83402,0.86501,0.86351,0.85186,0.86746,0.86838,0.866
baseline_trec_10_prefix_random,2,0.40296,0.82787,0.83128,0.8407,0.86066,0.87082,0.87643,0.86962,0.86987,0.89429
baseline_trec_10_prefix_random,3,0.49043,0.79744,0.82237,0.83108,0.8492,0.85101,0.87101,0.87354,0.87167,0.88799
