experiment,run,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9
baseline_trec_10_adapter_coreset,1,0.4364,0.66497,0.73392,0.75605,0.77164,0.8133,0.83091,0.88354,0.90769,0.90108
baseline_trec_10_adapter_coreset,2,0.40307,0.64515,0.71845,0.76459,0.80649,0.83728,0.87681,0.89219,0.89228,0.90099
baseline_trec_10_adapter_coreset,3,0.40974,0.68526,0.72494,0.7845,0.80658,0.80447,0.81769,0.82193,0.83298,0.82637
baseline_trec_10_adapter_entropy,1,0.43398,0.6936,0.73816,0.77813,0.76942,0.80667,0.80667,0.81547,0.82635,0.82427
baseline_trec_10_adapter_entropy,2,0.40307,0.65611,0.72719,0.75819,0.74497,0.7826,0.79129,0.87029,0.88784,0.90099
baseline_trec_10_adapter_entropy,3,0.40974,0.67395,0.73374,0.76047,0.77363,0.88132,0.86374,0.88792,0.89886,0.89444
baseline_trec_10_adapter_random,1,0.43398,0.74447,0.74906,0.7886,0.80851,0.81538,0.80877,0.80865,0.78015,0.78249
baseline_trec_10_adapter_random,2,0.35456,0.71579,0.74249,0.77985,0.77126,0.77795,0.81096,0.79778,0.81099,0.81535
baseline_trec_10_adapter_random,3,0.50734,0.74655,0.78406,0.77532,0.81292,0.8395,0.81754,0.85906,0.81977,0.86792
baseline_trec_10_lora_coreset,1,0.32047,0.65395,0.76012,0.75787,0.78649,0.81082,0.84833,0.84401,0.85038,0.85488
baseline_trec_10_lora_coreset,2,0.24901,0.59877,0.72722,0.75155,0.76038,0.77152,0.77377,0.78702,0.78471,0.79132
baseline_trec_10_lora_coreset,3,0.29579,0.60313,0.74023,0.75158,0.76032,0.77146,0.77804,0.78029,0.77804,0.79126
baseline_trec_10_lora_entropy,1,0.3117,0.5936,0.75722,0.77316,0.79096,0.80877,0.81538,0.85491,0.89442,0.90544
baseline_trec_10_lora_entropy,2,0.24901,0.56056,0.7267,0.76433,0.78655,0.80871,0.82181,0.85924,0.88997,0.8857
baseline_trec_10_lora_entropy,3,0.29579,0.58061,0.71137,0.7555,0.79319,0.84822,0.86591,0.8945,0.8593,0.86813
baseline_trec_10_lora_random,1,0.3117,0.66284,0.74009,0.75561,0.78006,0.79778,0.7933,0.78675,0.78015,0.81094
baseline_trec_10_lora_random,2,0.3181,0.64936,0.73564,0.74012,0.77997,0.80213,0.80205,0.78883,0.79991,0.81959
baseline_trec_10_lora_random,3,0.23117,0.65614,0.73784,0.75547,0.78216,0.78675,0.80211,0.78886,0.78664,0.82181
baseline_trec_10_prefix_coreset,1,0.60942,0.71389,0.73608,0.74716,0.75374,0.77585,0.77585,0.85708,0.90102,0.8988
baseline_trec_10_prefix_coreset,2,0.54749,0.71608,0.74038,0.75605,0.75822,0.76939,0.77357,0.78462,0.82196,0.84181
baseline_trec_10_prefix_coreset,3,0.40766,0.72465,0.81754,0.81541,0.82863,0.85275,0.89006,0.89222,0.88129,0.8988
baseline_trec_10_prefix_entropy,1,0.53389,0.67386,0.76222,0.81088,0.86795,0.87904,0.55868,0.88117,0.86801,0.87681
baseline_trec_10_prefix_entropy,2,0.54749,0.64272,0.72705,0.77798,0.78673,0.84599,0.89447,0.89228,0.88342,0.88558
baseline_trec_10_prefix_entropy,3,0.40766,0.68944,0.75167,0.74058,0.80886,0.88126,0.8945,0.89447,0.89433,0.9164
baseline_trec_10_prefix_random,1,0.53389,0.7333,0.75553,0.77754,0.81523,0.79994,0.78453,0.81541,0.80877,0.80216
baseline_trec_10_prefix_random,2,0.47868,0.76,0.77094,0.7864,0.80211,0.81766,0.81977,0.81968,0.81316,0.87251
baseline_trec_10_prefix_random,3,0.565,0.75094,0.7643,0.77757,0.79108,0.81085,0.80667,0.84386,0.81096,0.85275
