experiment,run,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
training_agnews_10_adapter_der_coreset,1,0.88226,0.88852,0.89547,0.89873,0.9003,0.89861,0.8937,0.89693,0.89682,0.90006
training_agnews_10_adapter_der_coreset,2,0.88022,0.88418,0.8955,0.89038,0.88878,0.89713,0.89225,0.89237,0.89051,0.89201
training_agnews_10_adapter_der_coreset,3,0.88388,0.89401,0.89722,0.89879,0.90217,0.9017,0.90341,0.90877,0.89384,0.89558
training_agnews_10_adapter_der_entropy,1,0.89172,0.89195,0.89037,0.88374,0.88067,0.89386,0.89522,0.89526,0.89867,0.89038
training_agnews_10_adapter_der_entropy,2,0.88022,0.86715,0.89078,0.89379,0.89693,0.89046,0.90701,0.90524,0.90868,0.90041
training_agnews_10_adapter_der_entropy,3,0.88388,0.88694,0.89877,0.89673,0.90688,0.90185,0.90527,0.9137,0.90868,0.90201
training_agnews_10_adapter_der_random,1,0.89172,0.89394,0.87312,0.88116,0.88492,0.88106,0.88761,0.8935,0.89653,0.88465
training_agnews_10_adapter_der_random,2,0.87671,0.88179,0.87113,0.88103,0.88125,0.87789,0.88285,0.8983,0.89513,0.88186
training_agnews_10_adapter_der_random,3,0.8801,0.88155,0.87448,0.87915,0.88479,0.87431,0.88275,0.89332,0.89462,0.88964
training_agnews_10_adapter_sd_coreset,1,0.88477,0.88739,0.90055,0.89872,0.89365,0.90201,0.90885,0.89882,0.90338,0.90478
training_agnews_10_adapter_sd_coreset,2,0.88738,0.88115,0.88853,0.89721,0.88764,0.88283,0.89656,0.89506,0.89,0.89431
training_agnews_10_adapter_sd_coreset,3,0.87912,0.89039,0.89843,0.88157,0.89551,0.89535,0.90033,0.89889,0.90463,0.8982
training_agnews_10_adapter_sd_entropy,1,0.88375,0.88079,0.88386,0.89579,0.90011,0.90173,0.90205,0.89869,0.89684,0.90703
training_agnews_10_adapter_sd_entropy,2,0.88738,0.88716,0.89224,0.88389,0.88572,0.89543,0.90025,0.90819,0.90187,0.90356
training_agnews_10_adapter_sd_entropy,3,0.87912,0.87849,0.87863,0.88513,0.89317,0.89866,0.89374,0.90197,0.91361,0.91039
training_agnews_10_adapter_sd_random,1,0.88375,0.86197,0.876,0.86409,0.86327,0.86059,0.87048,0.88224,0.87174,0.87915
training_agnews_10_adapter_sd_random,2,0.88236,0.86539,0.85899,0.86112,0.86816,0.88305,0.87467,0.87592,0.88014,0.87171
training_agnews_10_adapter_sd_random,3,0.87521,0.88192,0.86768,0.86632,0.86044,0.85031,0.8759,0.87413,0.87456,0.86502
training_agnews_10_adapter_sds2_coreset,1,0.88477,0.88241,0.88547,0.88501,0.88895,0.88703,0.8992,0.8982,0.89557,0.90844
training_agnews_10_adapter_sds2_coreset,2,0.88738,0.88463,0.894,0.88398,0.90675,0.90356,0.90342,0.89088,0.90826,0.89666
training_agnews_10_adapter_sds2_coreset,3,0.87912,0.88877,0.89856,0.89702,0.90502,0.90001,0.89552,0.90167,0.89721,0.89372
training_agnews_10_adapter_sds2_entropy,1,0.88375,0.87911,0.88509,0.88029,0.89808,0.9034,0.89825,0.90524,0.90359,0.90715
training_agnews_10_adapter_sds2_entropy,2,0.88738,0.88671,0.90031,0.88877,0.89393,0.9069,0.90198,0.90017,0.89847,0.9101
training_agnews_10_adapter_sds2_entropy,3,0.87912,0.88156,0.87911,0.88506,0.89518,0.90152,0.90109,0.90657,0.91308,0.90513
training_agnews_10_adapter_sds2_random,1,0.88375,0.86315,0.86868,0.8706,0.87422,0.88294,0.8722,0.88611,0.87684,0.8861
training_agnews_10_adapter_sds2_random,2,0.88236,0.85169,0.85917,0.861,0.87785,0.87438,0.87,0.88222,0.87807,0.86909
training_agnews_10_adapter_sds2_random,3,0.87521,0.87806,0.85472,0.86648,0.86852,0.86031,0.84872,0.87612,0.88353,0.87464
training_agnews_10_lora_der_coreset,1,0.86299,0.88185,0.88874,0.88358,0.90192,0.89372,0.87856,0.88348,0.87039,0.90833
training_agnews_10_lora_der_coreset,2,0.86106,0.88361,0.87847,0.89203,0.88996,0.89313,0.90011,0.902,0.89206,0.87285
training_agnews_10_lora_der_coreset,3,0.86762,0.89538,0.89228,0.89523,0.89052,0.88896,0.89746,0.89731,0.89559,0.88378
training_agnews_10_lora_der_entropy,1,0.8629,0.88883,0.88516,0.88693,0.88537,0.89052,0.89201,0.89853,0.90202,0.89532
training_agnews_10_lora_der_entropy,2,0.86106,0.8834,0.88506,0.89852,0.89672,0.89679,0.90841,0.89186,0.89488,0.89668
training_agnews_10_lora_der_entropy,3,0.86762,0.89355,0.90186,0.89335,0.88717,0.88871,0.89554,0.90371,0.89194,0.9005
training_agnews_10_lora_der_random,1,0.8629,0.86964,0.85418,0.86732,0.87933,0.88411,0.89065,0.89583,0.89298,0.87448
training_agnews_10_lora_der_random,2,0.86459,0.86839,0.86628,0.87968,0.88447,0.88265,0.88592,0.88798,0.89467,0.8862
training_agnews_10_lora_der_random,3,0.8658,0.86259,0.85353,0.86524,0.87911,0.89267,0.89226,0.88954,0.88464,0.88484
training_agnews_10_lora_sd_coreset,1,0.86695,0.88713,0.88726,0.89545,0.89027,0.89366,0.89648,0.89512,0.89663,0.89469
training_agnews_10_lora_sd_coreset,2,0.86836,0.88372,0.88703,0.88519,0.89213,0.88186,0.89566,0.90367,0.89274,0.90021
training_agnews_10_lora_sd_coreset,3,0.88021,0.87891,0.884,0.88706,0.89375,0.89384,0.89397,0.89875,0.89879,0.89377
training_agnews_10_lora_sd_entropy,1,0.86299,0.87337,0.89363,0.89332,0.88641,0.90133,0.90681,0.90171,0.89677,0.89378
training_agnews_10_lora_sd_entropy,2,0.86836,0.88883,0.89511,0.90177,0.89207,0.89014,0.90511,0.90509,0.90685,0.89988
training_agnews_10_lora_sd_entropy,3,0.88021,0.88863,0.89641,0.89988,0.9068,0.90487,0.90504,0.90327,0.89717,0.90528
training_agnews_10_lora_sd_random,1,0.86299,0.86533,0.85139,0.84823,0.85715,0.8662,0.87481,0.87606,0.88771,0.87952
training_agnews_10_lora_sd_random,2,0.87007,0.87493,0.84379,0.86012,0.86891,0.87771,0.87589,0.89007,0.89485,0.88817
