experiment,run,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9
training_agnews_10_adapter_der_coreset,1,0.88575,0.8918,0.89723,0.90044,0.90231,0.90161,0.89583,0.89915,0.89972,0.90315
training_agnews_10_adapter_der_coreset,2,0.8822,0.88866,0.89769,0.89146,0.89043,0.89897,0.89445,0.8945,0.89189,0.89277
training_agnews_10_adapter_der_coreset,3,0.88826,0.89891,0.90156,0.90175,0.90551,0.90453,0.90742,0.91059,0.89476,0.89707
training_agnews_10_adapter_der_entropy,1,0.89351,0.89278,0.89111,0.88505,0.88188,0.89545,0.89731,0.89738,0.90022,0.89167
training_agnews_10_adapter_der_entropy,2,0.8822,0.86958,0.89352,0.89529,0.89829,0.89242,0.9079,0.90698,0.9114,0.90203
training_agnews_10_adapter_der_entropy,3,0.88826,0.88998,0.90197,0.89871,0.90782,0.9029,0.90699,0.91542,0.9118,0.90372
training_agnews_10_adapter_der_random,1,0.89351,0.89861,0.87965,0.88763,0.89074,0.88888,0.89237,0.89817,0.89887,0.88803
training_agnews_10_adapter_der_random,2,0.8782,0.88659,0.87797,0.88861,0.89005,0.88461,0.88638,0.90027,0.8975,0.88388
training_agnews_10_adapter_der_random,3,0.88212,0.8851,0.88085,0.88752,0.89139,0.87927,0.88748,0.89665,0.89746,0.89188
training_agnews_10_adapter_sd_coreset,1,0.88952,0.89006,0.90242,0.90035,0.89748,0.90574,0.91148,0.90369,0.90609,0.90661
training_agnews_10_adapter_sd_coreset,2,0.88963,0.88413,0.88956,0.89948,0.8902,0.88572,0.90058,0.90038,0.89117,0.90034
training_agnews_10_adapter_sd_coreset,3,0.88319,0.89235,0.90529,0.88827,0.89773,0.89797,0.90395,0.90139,0.90707,0.89974
training_agnews_10_adapter_sd_entropy,1,0.88535,0.88423,0.88467,0.8973,0.90122,0.90266,0.90415,0.89986,0.89936,0.90929
training_agnews_10_adapter_sd_entropy,2,0.88963,0.88968,0.89581,0.88623,0.88825,0.89929,0.90323,0.9115,0.90388,0.90537
training_agnews_10_adapter_sd_entropy,3,0.88319,0.88245,0.88329,0.88835,0.89612,0.90011,0.89482,0.90468,0.91516,0.91306
training_agnews_10_adapter_sd_random,1,0.88535,0.86743,0.8803,0.87066,0.86892,0.87225,0.87372,0.88337,0.87379,0.88576
training_agnews_10_adapter_sd_random,2,0.8862,0.87664,0.86936,0.8661,0.87363,0.88864,0.87755,0.88136,0.88247,0.87457
training_agnews_10_adapter_sd_random,3,0.87832,0.88393,0.87413,0.87307,0.87458,0.85975,0.87729,0.88196,0.88144,0.86751
training_agnews_10_adapter_sds2_coreset,1,0.88952,0.88391,0.88621,0.88707,0.89031,0.88778,0.90148,0.90196,0.89651,0.91225
