experiment,run,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9
training_agnews_10_adapter_der_coreset,1,0.88167,0.88833,0.895,0.89833,0.9,0.89833,0.89333,0.89667,0.89667,0.9
training_agnews_10_adapter_der_coreset,2,0.88,0.88333,0.895,0.89,0.88833,0.89667,0.89167,0.89167,0.89,0.89167
training_agnews_10_adapter_der_coreset,3,0.88333,0.89333,0.89667,0.89833,0.90167,0.90167,0.90333,0.90833,0.89333,0.895
training_agnews_10_adapter_der_entropy,1,0.89167,0.89167,0.89,0.88333,0.88,0.89333,0.895,0.895,0.89833,0.89
training_agnews_10_adapter_der_entropy,2,0.88,0.86667,0.89,0.89333,0.89667,0.89,0.90667,0.905,0.90833,0.9
training_agnews_10_adapter_der_entropy,3,0.88333,0.88667,0.89833,0.89667,0.90667,0.90167,0.905,0.91333,0.90833,0.90167
training_agnews_10_adapter_der_random,1,0.89167,0.89333,0.87333,0.88167,0.885,0.88167,0.88833,0.89333,0.89667,0.885
training_agnews_10_adapter_der_random,2,0.87667,0.88167,0.87167,0.88167,0.88167,0.87833,0.88333,0.89833,0.895,0.88167
training_agnews_10_adapter_der_random,3,0.88,0.88167,0.875,0.88,0.885,0.875,0.88333,0.89333,0.895,0.89
training_agnews_10_adapter_sd_coreset,1,0.885,0.88667,0.9,0.89833,0.89333,0.90167,0.90833,0.89833,0.90333,0.905
training_agnews_10_adapter_sd_coreset,2,0.88667,0.88,0.88833,0.89667,0.88667,0.88333,0.89667,0.895,0.89,0.895
training_agnews_10_adapter_sd_coreset,3,0.87833,0.89,0.89833,0.88167,0.895,0.895,0.9,0.89833,0.905,0.89833
training_agnews_10_adapter_sd_entropy,1,0.88333,0.88,0.88333,0.895,0.9,0.90167,0.90167,0.89833,0.89667,0.90667
training_agnews_10_adapter_sd_entropy,2,0.88667,0.88667,0.89167,0.88333,0.885,0.895,0.9,0.90833,0.90167,0.90333
training_agnews_10_adapter_sd_entropy,3,0.87833,0.87833,0.87833,0.885,0.89333,0.89833,0.89333,0.90167,0.91333,0.91
training_agnews_10_adapter_sd_random,1,0.88333,0.86333,0.87667,0.865,0.86333,0.86167,0.87167,0.88333,0.87167,0.88
training_agnews_10_adapter_sd_random,2,0.88167,0.86667,0.86,0.86167,0.86833,0.88333,0.875,0.87667,0.88,0.87167
training_agnews_10_adapter_sd_random,3,0.875,0.88167,0.86833,0.86667,0.86167,0.85333,0.87667,0.87333,0.875,0.865
