experiment,run,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9
training_sensation_10_adapter_der_coreset,1,0.44258,0.5933,0.68182,0.70335,0.67464,0.63397,0.70574,0.72967,0.74641,0.74402
training_sensation_10_adapter_der_coreset,2,0.57895,0.64833,0.689,0.72488,0.67464,0.66986,0.72249,0.73923,0.69856,0.7177
training_sensation_10_adapter_der_coreset,3,0.47129,0.42823,0.57177,0.61005,0.66986,0.69856,0.67703,0.7488,0.7201,0.7512
training_sensation_10_adapter_der_entropy,1,0.56699,0.58373,0.64833,0.63158,0.62919,0.66507,0.70096,0.69378,0.71531,0.7201
training_sensation_10_adapter_der_entropy,2,0.57895,0.62201,0.64593,0.66507,0.67703,0.67943,0.72967,0.69378,0.70574,0.7512
training_sensation_10_adapter_der_entropy,3,0.47129,0.57416,0.61962,0.67943,0.71292,0.7488,0.67464,0.72488,0.7201,0.71292
training_sensation_10_adapter_der_random,1,0.56699,0.56699,0.55024,0.65072,0.65072,0.70096,0.70335,0.70335,0.70335,0.75598
training_sensation_10_adapter_der_random,2,0.5,0.54067,0.56938,0.60287,0.58852,0.64833,0.67464,0.689,0.71292,0.76794
training_sensation_10_adapter_der_random,3,0.65072,0.64354,0.66029,0.64833,0.66986,0.64833,0.67464,0.69378,0.71292,0.66746
training_sensation_10_adapter_sd_coreset,1,0.44258,0.58852,0.69617,0.73923,0.75598,0.76077,0.7512,0.73684,0.73923,0.76316
training_sensation_10_adapter_sd_coreset,2,0.57895,0.66029,0.70574,0.67225,0.69378,0.6555,0.72488,0.7201,0.71292,0.72249
training_sensation_10_adapter_sd_coreset,3,0.47129,0.45933,0.51914,0.55981,0.72727,0.70335,0.60526,0.72488,0.69378,0.74163
training_sensation_10_adapter_sd_entropy,1,0.56699,0.61962,0.55024,0.54785,0.56459,0.64115,0.6555,0.69856,0.64833,0.65789
training_sensation_10_adapter_sd_entropy,2,0.57895,0.63158,0.65072,0.70096,0.71292,0.70813,0.7177,0.70335,0.72249,0.75359
training_sensation_10_adapter_sd_entropy,3,0.47129,0.56459,0.64115,0.689,0.7201,0.75598,0.71531,0.7201,0.75837,0.7488
training_sensation_10_adapter_sd_random,1,0.56699,0.54785,0.53589,0.61722,0.60526,0.6555,0.72488,0.68182,0.72727,0.69617
training_sensation_10_adapter_sd_random,2,0.5,0.54785,0.59809,0.63397,0.61244,0.66507,0.6555,0.70574,0.7512,0.73445
training_sensation_10_adapter_sd_random,3,0.65072,0.61244,0.61962,0.65072,0.65789,0.67225,0.69856,0.68421,0.69856,0.66746
training_sensation_10_adapter_sds2_coreset,1,0.44258,0.58373,0.61483,0.66268,0.6555,0.65311,0.67464,0.73206,0.6866,0.689
training_sensation_10_adapter_sds2_coreset,2,0.57895,0.66507,0.66507,0.72249,0.66268,0.689,0.7201,0.73684,0.73923,0.72967
training_sensation_10_adapter_sds2_coreset,3,0.47129,0.42344,0.52153,0.58134,0.64115,0.6555,0.70335,0.70813,0.70335,0.70574
training_sensation_10_adapter_sds2_entropy,1,0.56699,0.60766,0.63397,0.61483,0.63397,0.66507,0.68421,0.68182,0.73684,0.72727
training_sensation_10_adapter_sds2_entropy,2,0.57895,0.63158,0.67225,0.66986,0.66986,0.70335,0.7177,0.71292,0.66746,0.69617
training_sensation_10_adapter_sds2_entropy,3,0.47129,0.51914,0.61244,0.64354,0.64354,0.69378,0.72249,0.72967,0.7177,0.7488
training_sensation_10_adapter_sds2_random,1,0.56699,0.5311,0.55024,0.5933,0.61005,0.59569,0.66029,0.63876,0.71053,0.66507
training_sensation_10_adapter_sds2_random,2,0.5,0.55263,0.55502,0.63158,0.57895,0.61962,0.66986,0.67464,0.73206,0.73206
training_sensation_10_adapter_sds2_random,3,0.65072,0.61962,0.58134,0.60287,0.61722,0.64354,0.6866,0.66507,0.66986,0.71292
training_sensation_10_lora_der_coreset,1,0.71531,0.57895,0.59569,0.61962,0.58134,0.62679,0.689,0.58134,0.67703,0.65789
training_sensation_10_lora_der_coreset,2,0.70813,0.62201,0.66986,0.58612,0.65072,0.58612,0.64115,0.69617,0.64115,0.7488
training_sensation_10_lora_der_coreset,3,0.66507,0.57416,0.58612,0.61244,0.6244,0.64354,0.67943,0.6866,0.70813,0.7488
training_sensation_10_lora_der_entropy,1,0.69617,0.70335,0.73684,0.72967,0.7177,0.72249,0.73206,0.71053,0.70813,0.71292
training_sensation_10_lora_der_entropy,2,0.70813,0.72488,0.73923,0.72967,0.74402,0.7201,0.70335,0.71292,0.75837,0.73923
