experiment,run,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
training_sensation_10_adapter_der_coreset,1,0.44143,0.55543,0.59561,0.59252,0.61544,0.59274,0.62389,0.64836,0.63067,0.65194
training_sensation_10_adapter_der_coreset,2,0.50453,0.4937,0.58129,0.58789,0.57292,0.5947,0.60198,0.63016,0.63712,0.63814
training_sensation_10_adapter_der_coreset,3,0.46873,0.42796,0.54947,0.58785,0.62947,0.63538,0.63557,0.66925,0.65006,0.6914
training_sensation_10_adapter_der_entropy,1,0.51982,0.54634,0.57961,0.57372,0.56459,0.56302,0.59063,0.62779,0.64596,0.60591
training_sensation_10_adapter_der_entropy,2,0.50453,0.48775,0.51028,0.53675,0.5666,0.59594,0.61938,0.61818,0.60512,0.65096
training_sensation_10_adapter_der_entropy,3,0.46873,0.55441,0.58607,0.61408,0.60833,0.61404,0.57551,0.59125,0.60006,0.60293
training_sensation_10_adapter_der_random,1,0.51982,0.52446,0.50529,0.55976,0.57545,0.5483,0.5868,0.58081,0.58081,0.60199
training_sensation_10_adapter_der_random,2,0.49053,0.51937,0.52783,0.54939,0.55289,0.56935,0.58532,0.57852,0.59133,0.61965
training_sensation_10_adapter_der_random,3,0.5328,0.56128,0.55131,0.55552,0.57922,0.54255,0.58532,0.58773,0.60566,0.58201
training_sensation_10_adapter_sd_coreset,1,0.44143,0.55669,0.58122,0.58075,0.65263,0.67579,0.63184,0.64337,0.64303,0.67127
training_sensation_10_adapter_sd_coreset,2,0.50453,0.50523,0.53562,0.51697,0.57041,0.59976,0.63317,0.62192,0.56818,0.6288
training_sensation_10_adapter_sd_coreset,3,0.46873,0.45913,0.51298,0.54711,0.65625,0.6462,0.58562,0.65228,0.64423,0.67434
training_sensation_10_adapter_sd_entropy,1,0.51982,0.56253,0.52628,0.53021,0.53092,0.57586,0.59282,0.62612,0.61131,0.62188
training_sensation_10_adapter_sd_entropy,2,0.50453,0.48316,0.54152,0.54052,0.6135,0.61451,0.60679,0.6032,0.62638,0.6278
training_sensation_10_adapter_sd_entropy,3,0.46873,0.55203,0.60272,0.62381,0.62915,0.62008,0.62968,0.63145,0.6598,0.65844
training_sensation_10_adapter_sd_random,1,0.51982,0.51486,0.49716,0.52523,0.55294,0.56579,0.54,0.58612,0.60885,0.6024
training_sensation_10_adapter_sd_random,2,0.49053,0.52211,0.5505,0.53215,0.56347,0.57068,0.56092,0.59441,0.60186,0.62612
training_sensation_10_adapter_sd_random,3,0.5328,0.55338,0.56077,0.5443,0.55763,0.57367,0.57405,0.56917,0.58594,0.59481
training_sensation_10_adapter_sds2_coreset,1,0.44143,0.55154,0.56214,0.57599,0.60458,0.61783,0.6398,0.61858,0.62876,0.62011
training_sensation_10_adapter_sds2_coreset,2,0.50453,0.48313,0.5122,0.57544,0.56636,0.57569,0.60006,0.6137,0.61872,0.62738
training_sensation_10_adapter_sds2_coreset,3,0.46873,0.42249,0.51617,0.56416,0.60402,0.60911,0.64288,0.63986,0.64117,0.64985
training_sensation_10_adapter_sds2_entropy,1,0.51982,0.55647,0.58231,0.57288,0.59927,0.63275,0.64431,0.62639,0.66268,0.66347
training_sensation_10_adapter_sds2_entropy,2,0.50453,0.49736,0.50494,0.53685,0.55552,0.56454,0.58228,0.59726,0.60783,0.59228
training_sensation_10_adapter_sds2_entropy,3,0.46873,0.5135,0.57504,0.60602,0.60339,0.63807,0.66269,0.66381,0.66485,0.68761
training_sensation_10_adapter_sds2_random,1,0.51982,0.49342,0.50529,0.55265,0.546,0.53315,0.57182,0.57942,0.61404,0.61247
training_sensation_10_adapter_sds2_random,2,0.49053,0.52605,0.52444,0.57017,0.54511,0.5692,0.60443,0.59431,0.62411,0.66766
training_sensation_10_adapter_sds2_random,3,0.5328,0.54941,0.51657,0.52851,0.52768,0.54176,0.56192,0.57785,0.57184,0.59433
training_sensation_10_lora_der_coreset,1,0.48057,0.50667,0.53501,0.56758,0.56741,0.6001,0.63241,0.56961,0.63002,0.62188
training_sensation_10_lora_der_coreset,2,0.47664,0.51266,0.53003,0.54105,0.53867,0.53793,0.57586,0.60942,0.59725,0.61735
training_sensation_10_lora_der_coreset,3,0.4876,0.51861,0.54403,0.58246,0.57139,0.57962,0.63058,0.6304,0.63799,0.65134
training_sensation_10_lora_der_entropy,1,0.46431,0.50146,0.52812,0.56942,0.61994,0.62139,0.59357,0.62569,0.63009,0.65106
training_sensation_10_lora_der_entropy,2,0.47664,0.47293,0.494,0.57722,0.60668,0.6337,0.62402,0.60566,0.64945,0.65231
training_sensation_10_lora_der_entropy,3,0.4876,0.44758,0.42582,0.56847,0.64015,0.65902,0.6544,0.68815,0.6691,0.68233
training_sensation_10_lora_der_random,1,0.46431,0.46832,0.51557,0.55678,0.56828,0.56917,0.61858,0.62148,0.64131,0.63389
training_sensation_10_lora_der_random,2,0.47046,0.5371,0.52311,0.58757,0.57521,0.58639,0.59234,0.57775,0.64224,0.61844
training_sensation_10_lora_der_random,3,0.44232,0.48286,0.52017,0.556,0.59745,0.58266,0.57828,0.62276,0.64593,0.6374
training_sensation_10_lora_sd_coreset,1,0.48057,0.47698,0.52614,0.52817,0.57677,0.58324,0.55024,0.57521,0.55259,0.58341
training_sensation_10_lora_sd_coreset,2,0.47664,0.51611,0.511,0.52193,0.55527,0.5909,0.5874,0.59296,0.62856,0.66426
training_sensation_10_lora_sd_coreset,3,0.4876,0.45907,0.50169,0.58484,0.59882,0.57504,0.5642,0.57859,0.63852,0.60486
training_sensation_10_lora_sd_entropy,1,0.46431,0.51927,0.55904,0.56556,0.58708,0.58315,0.5517,0.591,0.62163,0.60566
training_sensation_10_lora_sd_entropy,2,0.47664,0.47184,0.58262,0.62169,0.60939,0.62439,0.58757,0.59894,0.60547,0.62476
training_sensation_10_lora_sd_entropy,3,0.4876,0.4546,0.52825,0.57174,0.62979,0.6268,0.63806,0.62372,0.6447,0.65035
training_sensation_10_lora_sd_random,1,0.46431,0.48644,0.52909,0.52834,0.55101,0.58238,0.58857,0.6024,0.61026,0.64733
training_sensation_10_lora_sd_random,2,0.47046,0.53117,0.52061,0.56397,0.56973,0.57251,0.57619,0.57584,0.58526,0.59804
