experiment,run,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9
training_sensation_10_adapter_der_coreset,1,0.54419,0.56973,0.59359,0.59916,0.61198,0.5993,0.62168,0.64792,0.6557,0.65975
training_sensation_10_adapter_der_coreset,2,0.50921,0.49679,0.5845,0.61432,0.57339,0.59161,0.61849,0.64699,0.63168,0.63596
training_sensation_10_adapter_der_coreset,3,0.56187,0.57663,0.58114,0.61471,0.63119,0.63003,0.63576,0.67088,0.64527,0.68431
training_sensation_10_adapter_der_entropy,1,0.53298,0.56228,0.57796,0.57514,0.56519,0.56302,0.59661,0.6229,0.64097,0.61842
training_sensation_10_adapter_der_entropy,2,0.50921,0.4878,0.51236,0.54068,0.56897,0.59348,0.63319,0.61444,0.60867,0.66675
training_sensation_10_adapter_der_entropy,3,0.56187,0.58954,0.59955,0.61004,0.61469,0.65627,0.57551,0.61584,0.6154,0.61148
training_sensation_10_adapter_der_random,1,0.53298,0.53976,0.52165,0.55842,0.57347,0.56833,0.59545,0.5916,0.5916,0.6713
training_sensation_10_adapter_der_random,2,0.55323,0.55592,0.54331,0.55551,0.56932,0.56756,0.58369,0.58246,0.60478,0.70043
training_sensation_10_adapter_der_random,3,0.53393,0.55982,0.55203,0.55435,0.57773,0.54243,0.58369,0.59117,0.6131,0.57989
training_sensation_10_adapter_sd_coreset,1,0.54419,0.57601,0.58771,0.63295,0.67305,0.68388,0.66273,0.65007,0.65193,0.68562
training_sensation_10_adapter_sd_coreset,2,0.50921,0.51096,0.56371,0.52605,0.57891,0.59876,0.63646,0.62712,0.5916,0.63252
training_sensation_10_adapter_sd_coreset,3,0.56187,0.58335,0.5874,0.5978,0.65193,0.64031,0.61709,0.64834,0.63988,0.66946
training_sensation_10_adapter_sd_entropy,1,0.53298,0.56556,0.5584,0.57162,0.55202,0.57514,0.59093,0.62182,0.61807,0.62782
training_sensation_10_adapter_sd_entropy,2,0.50921,0.48375,0.54179,0.56282,0.61783,0.61603,0.61705,0.60623,0.63115,0.66609
training_sensation_10_adapter_sd_entropy,3,0.56187,0.60269,0.60973,0.61913,0.63133,0.67025,0.6293,0.63272,0.6775,0.66656
training_sensation_10_adapter_sd_random,1,0.53298,0.53865,0.51864,0.52525,0.55909,0.56426,0.59181,0.58586,0.62622,0.60271
training_sensation_10_adapter_sd_random,2,0.55323,0.55249,0.55928,0.53171,0.56978,0.56963,0.55983,0.60176,0.66,0.64058
training_sensation_10_adapter_sd_random,3,0.53393,0.55686,0.56343,0.5443,0.55716,0.57345,0.58415,0.57352,0.59219,0.59173
training_sensation_10_adapter_sds2_coreset,1,0.54419,0.57121,0.56693,0.57407,0.6046,0.62499,0.64388,0.63513,0.62426,0.61568
training_sensation_10_adapter_sds2_coreset,2,0.50921,0.49035,0.51901,0.60576,0.56552,0.58038,0.6154,0.63859,0.64317,0.63688
training_sensation_10_adapter_sds2_coreset,3,0.56187,0.58788,0.59445,0.60291,0.6118,0.61047,0.63709,0.63473,0.63548,0.64378
training_sensation_10_adapter_sds2_entropy,1,0.53298,0.56267,0.5849,0.58184,0.60975,0.64018,0.64414,0.62255,0.66009,0.65725
training_sensation_10_adapter_sds2_entropy,2,0.50921,0.49803,0.51501,0.54231,0.55784,0.58112,0.60401,0.60819,0.60503,0.59544
training_sensation_10_adapter_sds2_entropy,3,0.56187,0.59037,0.5869,0.6132,0.6091,0.63303,0.65585,0.65809,0.65782,0.68091
training_sensation_10_adapter_sds2_random,1,0.53298,0.51613,0.52165,0.56533,0.54881,0.53792,0.57011,0.57974,0.61688,0.61093
training_sensation_10_adapter_sds2_random,2,0.55323,0.55495,0.54927,0.57096,0.56417,0.57405,0.6011,0.59151,0.63747,0.66158
training_sensation_10_adapter_sds2_random,3,0.53393,0.55035,0.52262,0.53069,0.52775,0.54126,0.5691,0.57595,0.57143,0.6065
training_sensation_10_lora_der_coreset,1,0.52792,0.51167,0.54019,0.57194,0.61315,0.61883,0.62777,0.62118,0.62831,0.62782
training_sensation_10_lora_der_coreset,2,0.51239,0.51258,0.53651,0.55252,0.53923,0.54809,0.57514,0.60796,0.60156,0.65672
training_sensation_10_lora_der_coreset,3,0.49506,0.52783,0.55695,0.6,0.57485,0.5788,0.62809,0.62601,0.63318,0.6642
training_sensation_10_lora_der_entropy,1,0.48374,0.53342,0.61391,0.61295,0.62449,0.62841,0.62547,0.62463,0.62701,0.64487
training_sensation_10_lora_der_entropy,2,0.51239,0.53946,0.61278,0.616,0.64693,0.63412,0.6211,0.6131,0.67595,0.65604
training_sensation_10_lora_der_entropy,3,0.49506,0.47494,0.37081,0.66184,0.67941,0.68409,0.65881,0.68996,0.68228,0.69342
training_sensation_10_lora_der_random,1,0.48374,0.4888,0.51707,0.55678,0.56777,0.57352,0.63513,0.62078,0.64725,0.63312
training_sensation_10_lora_der_random,2,0.52433,0.53661,0.52404,0.59905,0.57312,0.60008,0.59207,0.57675,0.63968,0.6209
training_sensation_10_lora_der_random,3,0.44471,0.51652,0.53101,0.61671,0.59912,0.59437,0.57615,0.61904,0.64951,0.63195
training_sensation_10_lora_sd_coreset,1,0.52792,0.49722,0.53509,0.57044,0.58461,0.58287,0.5516,0.57312,0.55542,0.58203
training_sensation_10_lora_sd_coreset,2,0.51239,0.52066,0.51094,0.52679,0.55695,0.58929,0.59048,0.59014,0.62647,0.65749
training_sensation_10_lora_sd_coreset,3,0.49506,0.52838,0.56174,0.60775,0.61351,0.5869,0.57343,0.59754,0.64794,0.61424
training_sensation_10_lora_sd_entropy,1,0.48374,0.55411,0.56946,0.56894,0.58445,0.5807,0.59405,0.58896,0.61721,0.60698
training_sensation_10_lora_sd_entropy,2,0.51239,0.5094,0.63798,0.64411,0.64036,0.62853,0.59905,0.61701,0.63281,0.65434
training_sensation_10_lora_sd_entropy,3,0.49506,0.48932,0.54451,0.59364,0.65882,0.65826,0.64993,0.65772,0.65706,0.6518
training_sensation_10_lora_sd_random,1,0.48374,0.53056,0.53246,0.52865,0.55121,0.58004,0.58783,0.60271,0.60673,0.64175
training_sensation_10_lora_sd_random,2,0.52433,0.53087,0.54242,0.56244,0.57275,0.57158,0.57556,0.57469,0.58404,0.59866
training_sensation_10_lora_sd_random,3,0.44471,0.52567,0.52913,0.54309,0.56671,0.55573,0.54696,0.58586,0.63688,0.60969
training_sensation_10_lora_sds2_coreset,1,0.52643,0.54661,0.53234,0.55134,0.5712,0.57904,0.61401,0.6084,0.60193,0.57987
training_sensation_10_lora_sds2_coreset,2,0.51027,0.52139,0.54513,0.53013,0.58172,0.64175,0.60278,0.59005,0.61981,0.6401
training_sensation_10_lora_sds2_coreset,3,0.52755,0.53845,0.54388,0.57164,0.55909,0.578,0.61552,0.61027,0.60466,0.60729
training_sensation_10_lora_sds2_entropy,1,0.50717,0.54675,0.59627,0.53581,0.59364,0.61396,0.6019,0.59965,0.62023,0.65714
training_sensation_10_lora_sds2_entropy,2,0.51027,0.48359,0.57167,0.53803,0.56063,0.62056,0.64737,0.63573,0.64185,0.68032
training_sensation_10_lora_sds2_entropy,3,0.52755,0.4596,0.52132,0.61133,0.62692,0.62283,0.64693,0.60746,0.63565,0.65781
training_sensation_10_lora_sds2_random,1,0.50717,0.52832,0.53053,0.53825,0.56982,0.57128,0.58536,0.59724,0.5804,0.58331
training_sensation_10_lora_sds2_random,2,0.4978,0.5191,0.52684,0.55756,0.57261,0.59381,0.58977,0.59734,0.63375,0.60904
training_sensation_10_lora_sds2_random,3,0.50277,0.52088,0.52893,0.56299,0.55105,0.60405,0.57551,0.60695,0.62979,0.6503
training_sensation_10_prefix_der_coreset,1,0.46426,0.49488,0.55512,0.53013,0.54967,0.62086,0.61588,0.61212,0.60657,0.60159
training_sensation_10_prefix_der_coreset,2,0.52364,0.56277,0.53348,0.58203,0.58195,0.65115,0.64993,0.63076,0.63291,0.65443
training_sensation_10_prefix_der_coreset,3,0.3705,0.54918,0.57969,0.63777,0.62326,0.66188,0.65666,0.62121,0.63951,0.65162
training_sensation_10_prefix_der_entropy,1,0.53901,0.5428,0.54526,0.58577,0.61368,0.60146,0.60783,0.58882,0.61227,0.61385
training_sensation_10_prefix_der_entropy,2,0.52364,0.57994,0.57579,0.6108,0.63929,0.58766,0.60985,0.6128,0.64613,0.71053
training_sensation_10_prefix_der_entropy,3,0.3705,0.55741,0.61236,0.62853,0.64299,0.63251,0.69471,0.64511,0.67232,0.68073
training_sensation_10_prefix_der_random,1,0.53901,0.53599,0.562,0.55112,0.57554,0.58099,0.58651,0.59537,0.61365,0.63514
training_sensation_10_prefix_der_random,2,0.37081,0.49577,0.37081,0.37081,0.55959,0.62342,0.60093,0.58571,0.61937,0.62993
training_sensation_10_prefix_der_random,3,0.55616,0.53451,0.54328,0.57759,0.59024,0.57989,0.58785,0.63471,0.64803,0.65065
training_sensation_10_prefix_sd_coreset,1,0.46426,0.51067,0.49975,0.52138,0.58489,0.58236,0.56641,0.6003,0.59236,0.59097
training_sensation_10_prefix_sd_coreset,2,0.52364,0.57639,0.54806,0.60109,0.61143,0.6349,0.57473,0.61229,0.59715,0.60491
training_sensation_10_prefix_sd_coreset,3,0.3705,0.56352,0.59672,0.65725,0.63269,0.63228,0.6118,0.6122,0.64794,0.64249
training_sensation_10_prefix_sd_entropy,1,0.53901,0.54363,0.58271,0.58224,0.59343,0.57529,0.59827,0.66538,0.69603,0.67274
training_sensation_10_prefix_sd_entropy,2,0.52364,0.57994,0.6019,0.61116,0.60159,0.61792,0.58644,0.63968,0.66354,0.649
training_sensation_10_prefix_sd_entropy,3,0.3705,0.56871,0.59022,0.59346,0.62831,0.6296,0.64036,0.65728,0.67808,0.66481
training_sensation_10_prefix_sd_random,1,0.53901,0.54358,0.52187,0.54881,0.55436,0.57197,0.6095,0.59127,0.62985,0.62712
training_sensation_10_prefix_sd_random,2,0.37081,0.37081,0.57995,0.55781,0.59236,0.5817,0.54464,0.58175,0.6234,0.60382
training_sensation_10_prefix_sd_random,3,0.55616,0.53372,0.56769,0.56769,0.59207,0.58764,0.58979,0.62783,0.65041,0.63678
training_sensation_10_prefix_sds2_coreset,1,0.46426,0.50028,0.4926,0.56676,0.54971,0.55436,0.58399,0.58158,0.58134,0.56769
training_sensation_10_prefix_sds2_coreset,2,0.52364,0.55595,0.54302,0.59717,0.5784,0.58841,0.56463,0.60783,0.61553,0.64609
training_sensation_10_prefix_sds2_coreset,3,0.3705,0.49265,0.55602,0.56482,0.59161,0.57261,0.59922,0.59573,0.60997,0.63329
training_sensation_10_prefix_sds2_entropy,1,0.53901,0.5663,0.56665,0.55922,0.51421,0.5863,0.6204,0.61995,0.66712,0.6293
training_sensation_10_prefix_sds2_entropy,2,0.52364,0.52492,0.63238,0.59905,0.6045,0.64725,0.61076,0.68409,0.70716,0.70032
training_sensation_10_prefix_sds2_entropy,3,0.3705,0.55833,0.59169,0.57868,0.6046,0.61102,0.63523,0.62168,0.66576,0.66818
training_sensation_10_prefix_sds2_random,1,0.53901,0.5342,0.51305,0.5419,0.55998,0.54064,0.5804,0.59547,0.59747,0.63659
training_sensation_10_prefix_sds2_random,2,0.37081,0.37081,0.47234,0.53171,0.55343,0.5342,0.56022,0.55468,0.58977,0.59343
training_sensation_10_prefix_sds2_random,3,0.55616,0.54781,0.54366,0.57758,0.58965,0.57692,0.62148,0.61046,0.62709,0.61014
