experiment,run,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9
training_sensation_10_adapter_der_coreset,1,0.54878,0.59005,0.59845,0.58883,0.63283,0.62652,0.62664,0.64881,0.62088,0.64642
training_sensation_10_adapter_der_coreset,2,0.51099,0.49743,0.57915,0.58223,0.57249,0.60245,0.5957,0.62207,0.65197,0.64074
training_sensation_10_adapter_der_coreset,3,0.57115,0.57228,0.6057,0.64961,0.6658,0.64895,0.67064,0.66774,0.65744,0.70254
training_sensation_10_adapter_der_entropy,1,0.54214,0.58059,0.59095,0.59173,0.57805,0.56302,0.58722,0.6397,0.65421,0.60012
training_sensation_10_adapter_der_entropy,2,0.51099,0.48874,0.5109,0.53587,0.56505,0.59985,0.6126,0.62461,0.60251,0.6422
training_sensation_10_adapter_der_entropy,3,0.57115,0.61637,0.62891,0.627,0.60433,0.60439,0.57551,0.58524,0.59409,0.5983
training_sensation_10_adapter_der_random,1,0.54214,0.55119,0.52784,0.5624,0.58351,0.548,0.5828,0.57676,0.57676,0.59415
training_sensation_10_adapter_der_random,2,0.56637,0.57267,0.55582,0.56935,0.58984,0.57587,0.58757,0.57614,0.58623,0.60824
training_sensation_10_adapter_der_random,3,0.53223,0.56661,0.55075,0.55777,0.58133,0.54268,0.58757,0.58539,0.60131,0.58575
training_sensation_10_adapter_sd_coreset,1,0.54878,0.59889,0.57796,0.57682,0.64241,0.66977,0.62109,0.63856,0.63716,0.66234
training_sensation_10_adapter_sd_coreset,2,0.51099,0.50851,0.53916,0.51959,0.56729,0.61992,0.6305,0.61822,0.56511,0.62587
training_sensation_10_adapter_sd_coreset,3,0.57115,0.58722,0.60642,0.62479,0.66228,0.66425,0.65242,0.65765,0.66986,0.681
training_sensation_10_adapter_sd_entropy,1,0.54214,0.58065,0.57611,0.59259,0.56768,0.58913,0.60786,0.63387,0.65128,0.66377
training_sensation_10_adapter_sd_entropy,2,0.51099,0.48614,0.54128,0.54197,0.61036,0.61317,0.60152,0.6009,0.62285,0.61667
training_sensation_10_adapter_sd_entropy,3,0.57115,0.63103,0.64041,0.63647,0.62727,0.60923,0.63008,0.63029,0.65006,0.65266
training_sensation_10_adapter_sd_random,1,0.54214,0.55036,0.52419,0.52775,0.57398,0.56864,0.54603,0.58638,0.60194,0.60209
training_sensation_10_adapter_sd_random,2,0.56637,0.56846,0.57518,0.533,0.58787,0.57207,0.5626,0.59044,0.59394,0.61885
training_sensation_10_adapter_sd_random,3,0.53223,0.56977,0.57763,0.5443,0.55818,0.57389,0.57052,0.56688,0.58259,0.60385
training_sensation_10_adapter_sds2_coreset,1,0.54878,0.59265,0.58345,0.57951,0.62897,0.66054,0.68411,0.6112,0.64692,0.63044
training_sensation_10_adapter_sds2_coreset,2,0.51099,0.49364,0.51476,0.57157,0.56744,0.57312,0.59409,0.60538,0.61001,0.62165
training_sensation_10_adapter_sds2_coreset,3,0.57115,0.57811,0.61407,0.63327,0.64343,0.63802,0.65821,0.64937,0.6552,0.66888
training_sensation_10_adapter_sds2_entropy,1,0.54214,0.57861,0.60541,0.60457,0.64161,0.68068,0.68151,0.64671,0.66571,0.67434
training_sensation_10_adapter_sds2_entropy,2,0.51099,0.49821,0.51054,0.53608,0.55418,0.56168,0.57739,0.59226,0.62497,0.59002
training_sensation_10_adapter_sds2_entropy,3,0.57115,0.60944,0.61201,0.64504,0.63901,0.6578,0.67715,0.67294,0.68599,0.69791
training_sensation_10_adapter_sds2_random,1,0.54214,0.52097,0.52784,0.58402,0.55911,0.54642,0.57488,0.59657,0.61177,0.63542
training_sensation_10_adapter_sds2_random,2,0.56637,0.57168,0.56425,0.58569,0.58339,0.59271,0.61753,0.59964,0.61723,0.67757
training_sensation_10_adapter_sds2_random,3,0.53223,0.55953,0.52769,0.53617,0.53076,0.54247,0.55944,0.58112,0.57228,0.58925
training_sensation_10_lora_der_coreset,1,0.50941,0.51401,0.54943,0.5897,0.64534,0.65487,0.65155,0.65439,0.65857,0.66377
training_sensation_10_lora_der_coreset,2,0.50457,0.51287,0.53005,0.56711,0.53826,0.56108,0.58913,0.61114,0.62835,0.60741
training_sensation_10_lora_der_coreset,3,0.49665,0.53492,0.57315,0.63011,0.59292,0.59376,0.65717,0.64994,0.64636,0.64361
training_sensation_10_lora_der_entropy,1,0.49349,0.51643,0.54203,0.56735,0.61661,0.61682,0.58707,0.62685,0.63429,0.66467
training_sensation_10_lora_der_entropy,2,0.50457,0.50983,0.52554,0.57339,0.59815,0.6333,0.62805,0.60131,0.63799,0.64922
training_sensation_10_lora_der_entropy,3,0.49665,0.49432,0.5,0.5698,0.62754,0.64725,0.65084,0.68647,0.66072,0.67461
training_sensation_10_lora_der_random,1,0.49349,0.48554,0.51947,0.55678,0.57987,0.56688,0.6112,0.62222,0.63695,0.63471
training_sensation_10_lora_der_random,2,0.5066,0.54023,0.52733,0.583,0.58211,0.5816,0.59262,0.59074,0.64537,0.6164
training_sensation_10_lora_der_random,3,0.4796,0.52154,0.52282,0.55851,0.59606,0.57838,0.58253,0.64208,0.64298,0.65057
training_sensation_10_lora_sd_coreset,1,0.50941,0.49642,0.52724,0.59098,0.6078,0.59979,0.54934,0.58211,0.55116,0.59698
