experiment,run,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9
training_trec_10_adapter_der_coreset,1,0.46018,0.62389,0.69912,0.74336,0.75664,0.7677,0.76549,0.76549,0.8031,0.89381
training_trec_10_adapter_der_coreset,2,0.4646,0.63717,0.6969,0.75442,0.84735,0.84292,0.85841,0.82743,0.87168,0.88496
training_trec_10_adapter_der_coreset,3,0.54867,0.69469,0.74558,0.74558,0.75664,0.7677,0.75885,0.77212,0.7854,0.77655
training_trec_10_adapter_der_entropy,1,0.40708,0.65929,0.71903,0.75442,0.74558,0.84956,0.82743,0.81858,0.89159,0.88938
training_trec_10_adapter_der_entropy,2,0.4646,0.60841,0.69248,0.73673,0.74779,0.76106,0.7677,0.87832,0.86283,0.85398
training_trec_10_adapter_der_entropy,3,0.54867,0.65265,0.72124,0.77655,0.86504,0.84956,0.8385,0.89159,0.87611,0.82965
training_trec_10_adapter_der_random,1,0.40708,0.64823,0.72124,0.73009,0.76327,0.78982,0.78761,0.8031,0.78982,0.83407
training_trec_10_adapter_der_random,2,0.50664,0.64823,0.6792,0.71903,0.75221,0.76991,0.7677,0.76549,0.77655,0.84292
training_trec_10_adapter_der_random,3,0.5,0.68142,0.7323,0.74115,0.76991,0.77655,0.77876,0.77876,0.78319,0.80973
training_trec_10_adapter_sd_coreset,1,0.46018,0.63938,0.73451,0.75664,0.75664,0.75885,0.77212,0.81195,0.86062,0.86947
training_trec_10_adapter_sd_coreset,2,0.4646,0.65265,0.7146,0.72345,0.75,0.86726,0.86726,0.80973,0.88938,0.88053
training_trec_10_adapter_sd_coreset,3,0.54867,0.72124,0.73673,0.74558,0.76327,0.75885,0.82965,0.8208,0.84292,0.82965
training_trec_10_adapter_sd_entropy,1,0.40708,0.65929,0.71018,0.73894,0.78319,0.86283,0.88274,0.88938,0.89381,0.90265
training_trec_10_adapter_sd_entropy,2,0.4646,0.6615,0.72566,0.74779,0.75664,0.76549,0.86504,0.81858,0.88717,0.88496
training_trec_10_adapter_sd_entropy,3,0.54867,0.69027,0.69469,0.76549,0.77655,0.78761,0.78097,0.88053,0.86947,0.84071
training_trec_10_adapter_sd_random,1,0.40708,0.71239,0.76106,0.76327,0.75221,0.80752,0.80088,0.8031,0.79425,0.85177
training_trec_10_adapter_sd_random,2,0.50664,0.68805,0.72788,0.74779,0.79646,0.80973,0.78319,0.79204,0.79867,0.85619
training_trec_10_adapter_sd_random,3,0.5,0.76106,0.76549,0.76106,0.76327,0.81416,0.81637,0.78097,0.81195,0.82965
training_trec_10_adapter_sds2_coreset,1,0.46018,0.67257,0.73451,0.75,0.76549,0.75221,0.77212,0.77655,0.78097,0.78982
training_trec_10_adapter_sds2_coreset,2,0.4646,0.65265,0.71681,0.8208,0.78319,0.81858,0.88717,0.88496,0.88938,0.88053
training_trec_10_adapter_sds2_coreset,3,0.54867,0.72788,0.75221,0.75442,0.75885,0.7854,0.79867,0.79204,0.80531,0.83186
training_trec_10_adapter_sds2_entropy,1,0.40708,0.67035,0.72345,0.76327,0.79204,0.78982,0.81858,0.81858,0.81858,0.80973
training_trec_10_adapter_sds2_entropy,2,0.4646,0.63496,0.69912,0.72124,0.77212,0.80088,0.87611,0.88938,0.88938,0.88496
training_trec_10_adapter_sds2_entropy,3,0.54867,0.69912,0.74336,0.7677,0.79425,0.86504,0.83186,0.88717,0.83628,0.88496
training_trec_10_adapter_sds2_random,1,0.40708,0.72124,0.7677,0.76106,0.80973,0.8031,0.79867,0.80752,0.79646,0.84292
training_trec_10_adapter_sds2_random,2,0.50664,0.71903,0.74336,0.78097,0.7677,0.79425,0.76106,0.77212,0.77655,0.81416
training_trec_10_adapter_sds2_random,3,0.5,0.75442,0.76991,0.78319,0.77876,0.80088,0.78761,0.77434,0.77655,0.82301
training_trec_10_lora_der_coreset,1,0.32743,0.5531,0.65929,0.71903,0.71018,0.72788,0.74336,0.73673,0.72566,0.76106
training_trec_10_lora_der_coreset,2,0.27434,0.52876,0.60841,0.67257,0.70575,0.71903,0.75221,0.74558,0.72788,0.71018
training_trec_10_lora_der_coreset,3,0.27876,0.53319,0.61947,0.69469,0.72345,0.73894,0.72345,0.75885,0.75442,0.73894
training_trec_10_lora_der_entropy,1,0.33407,0.56195,0.6969,0.72566,0.74779,0.72566,0.76549,0.79204,0.77434,0.76991
training_trec_10_lora_der_entropy,2,0.27434,0.53097,0.69912,0.71681,0.72124,0.79867,0.79425,0.83628,0.79204,0.85841
training_trec_10_lora_der_entropy,3,0.27876,0.48009,0.69027,0.72566,0.73451,0.81416,0.79646,0.88274,0.86504,0.86726
training_trec_10_lora_der_random,1,0.33407,0.54646,0.6792,0.6969,0.74115,0.75885,0.77434,0.76327,0.76549,0.77655
training_trec_10_lora_der_random,2,0.32965,0.55531,0.70575,0.71681,0.74558,0.76327,0.76549,0.76991,0.77212,0.7854
training_trec_10_lora_der_random,3,0.26549,0.49779,0.6792,0.71239,0.75664,0.76991,0.76991,0.75221,0.77876,0.77655
training_trec_10_lora_sd_coreset,1,0.35177,0.60619,0.67035,0.68363,0.69248,0.73451,0.72345,0.73673,0.72566,0.72124
training_trec_10_lora_sd_coreset,2,0.32522,0.55531,0.62611,0.68142,0.71903,0.74558,0.73451,0.72124,0.71018,0.75
training_trec_10_lora_sd_coreset,3,0.30531,0.51991,0.60619,0.63717,0.69912,0.6969,0.66814,0.75442,0.69912,0.70354
training_trec_10_lora_sd_entropy,1,0.36504,0.60177,0.68363,0.6969,0.73451,0.75885,0.76549,0.78982,0.85398,0.83186
training_trec_10_lora_sd_entropy,2,0.32522,0.5708,0.69469,0.77655,0.80973,0.84292,0.86062,0.83628,0.85398,0.88274
training_trec_10_lora_sd_entropy,3,0.30531,0.54867,0.68363,0.70133,0.72566,0.74558,0.74779,0.76106,0.76549,0.76106
training_trec_10_lora_sd_random,1,0.36504,0.60619,0.70575,0.71239,0.73894,0.75,0.76106,0.76327,0.7677,0.78097
training_trec_10_lora_sd_random,2,0.36283,0.64381,0.71239,0.71018,0.75221,0.75221,0.76549,0.76106,0.77212,0.81858
training_trec_10_lora_sd_random,3,0.28319,0.56637,0.68805,0.70575,0.74779,0.74779,0.77655,0.75885,0.7677,0.8031
training_trec_10_lora_sds2_coreset,1,0.32743,0.57301,0.66372,0.72566,0.74558,0.7677,0.74779,0.76549,0.76106,0.78761
training_trec_10_lora_sds2_coreset,2,0.27434,0.56195,0.66372,0.71018,0.74558,0.70133,0.73894,0.73894,0.75885,0.74336
training_trec_10_lora_sds2_coreset,3,0.27876,0.5531,0.67478,0.70796,0.74336,0.7323,0.76106,0.75664,0.75,0.76991
training_trec_10_lora_sds2_entropy,1,0.33407,0.55973,0.68142,0.70796,0.77655,0.8208,0.84292,0.81637,0.85841,0.86283
training_trec_10_lora_sds2_entropy,2,0.27434,0.53319,0.69248,0.71239,0.73009,0.77655,0.79204,0.79867,0.8385,0.84513
training_trec_10_lora_sds2_entropy,3,0.27876,0.50221,0.71681,0.73894,0.72124,0.74558,0.75885,0.79425,0.81858,0.87611
training_trec_10_lora_sds2_random,1,0.33407,0.57301,0.68584,0.69248,0.74115,0.75664,0.7677,0.75221,0.76327,0.80088
training_trec_10_lora_sds2_random,2,0.32965,0.58407,0.71018,0.7146,0.74336,0.75664,0.7677,0.75664,0.75885,0.79646
training_trec_10_lora_sds2_random,3,0.26549,0.5531,0.6969,0.7146,0.74558,0.77434,0.76991,0.75664,0.76549,0.77434
training_trec_10_prefix_der_coreset,1,0.41814,0.57965,0.70133,0.71903,0.73673,0.75885,0.7677,0.77876,0.86504,0.87389
training_trec_10_prefix_der_coreset,2,0.5531,0.65929,0.70354,0.7323,0.75221,0.77876,0.76549,0.7677,0.77655,0.77655
training_trec_10_prefix_der_coreset,3,0.52434,0.68142,0.73451,0.76106,0.75664,0.75,0.77212,0.76327,0.77876,0.78982
training_trec_10_prefix_der_entropy,1,0.52876,0.64159,0.72566,0.79646,0.81858,0.87168,0.85398,0.87389,0.88496,0.87832
training_trec_10_prefix_der_entropy,2,0.5531,0.63274,0.6969,0.8208,0.84735,0.84735,0.84071,0.8385,0.83407,0.88717
training_trec_10_prefix_der_entropy,3,0.52434,0.65708,0.69469,0.73009,0.75221,0.74558,0.75885,0.76991,0.77212,0.76991
training_trec_10_prefix_der_random,1,0.52876,0.68363,0.70133,0.70133,0.76327,0.75664,0.7677,0.76549,0.78097,0.78319
training_trec_10_prefix_der_random,2,0.34292,0.63496,0.71681,0.72566,0.76327,0.77434,0.77876,0.77212,0.77655,0.81637
training_trec_10_prefix_der_random,3,0.46239,0.66372,0.6969,0.70354,0.75664,0.7677,0.76549,0.7677,0.77655,0.78761
training_trec_10_prefix_sd_coreset,1,0.46018,0.6792,0.77434,0.81637,0.80752,0.84071,0.84071,0.84513,0.82743,0.80973
training_trec_10_prefix_sd_coreset,2,0.51991,0.73009,0.72566,0.75442,0.75664,0.75,0.7677,0.75442,0.76991,0.78097
training_trec_10_prefix_sd_coreset,3,0.61504,0.70133,0.72566,0.73894,0.75664,0.75885,0.78319,0.82965,0.7854,0.77434
training_trec_10_prefix_sd_entropy,1,0.51327,0.65708,0.73451,0.73009,0.74558,0.75664,0.76549,0.75664,0.76991,0.7677
training_trec_10_prefix_sd_entropy,2,0.51991,0.68363,0.71018,0.72566,0.75442,0.75221,0.7677,0.75885,0.77212,0.88274
training_trec_10_prefix_sd_entropy,3,0.61504,0.69469,0.70575,0.74558,0.76106,0.76549,0.76991,0.76991,0.76991,0.78319
training_trec_10_prefix_sd_random,1,0.51327,0.72566,0.72124,0.71903,0.75442,0.78761,0.77876,0.79204,0.78319,0.83186
training_trec_10_prefix_sd_random,2,0.53982,0.74558,0.75664,0.75664,0.80531,0.79204,0.79204,0.80531,0.82522,0.84071
training_trec_10_prefix_sd_random,3,0.56858,0.7323,0.75442,0.76549,0.76991,0.80088,0.82965,0.79425,0.80752,0.84735
training_trec_10_prefix_sds2_coreset,1,0.46018,0.69027,0.75885,0.84292,0.83186,0.7677,0.8385,0.80088,0.85841,0.8208
training_trec_10_prefix_sds2_coreset,2,0.51991,0.72124,0.7323,0.74779,0.76327,0.76991,0.77212,0.7677,0.77434,0.78097
training_trec_10_prefix_sds2_coreset,3,0.61504,0.69248,0.75221,0.74779,0.7323,0.75442,0.80088,0.79867,0.88496,0.90044
training_trec_10_prefix_sds2_entropy,1,0.51327,0.69912,0.72345,0.76549,0.76991,0.78097,0.78319,0.77655,0.76991,0.7854
training_trec_10_prefix_sds2_entropy,2,0.51991,0.68142,0.71239,0.7323,0.75221,0.79867,0.88717,0.86726,0.88717,0.88938
training_trec_10_prefix_sds2_entropy,3,0.61504,0.69248,0.73894,0.75664,0.74336,0.75442,0.74779,0.77434,0.78097,0.77655
training_trec_10_prefix_sds2_random,1,0.51327,0.71018,0.72788,0.75221,0.7854,0.77655,0.75885,0.76991,0.77876,0.83186
training_trec_10_prefix_sds2_random,2,0.53982,0.75442,0.75885,0.7854,0.78319,0.82965,0.82522,0.81195,0.79425,0.8208
training_trec_10_prefix_sds2_random,3,0.56858,0.72788,0.73894,0.76106,0.77434,0.80531,0.80752,0.78097,0.79646,0.87832
