experiment,run,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
training_trec_10_adapter_der_coreset,1,0.41297,0.58162,0.65211,0.69623,0.7022,0.71501,0.70827,0.70913,0.7705,0.89135
training_trec_10_adapter_der_coreset,2,0.42549,0.59211,0.64646,0.72298,0.84744,0.84019,0.85893,0.81498,0.87235,0.88506
training_trec_10_adapter_der_coreset,3,0.50364,0.64531,0.69088,0.69371,0.69956,0.71208,0.70394,0.71435,0.72627,0.71803
training_trec_10_adapter_der_entropy,1,0.34814,0.60863,0.662,0.69497,0.69245,0.84776,0.82023,0.80757,0.89101,0.88772
training_trec_10_adapter_der_entropy,2,0.42549,0.56752,0.64406,0.6871,0.69859,0.71182,0.71567,0.87789,0.86179,0.84628
training_trec_10_adapter_der_entropy,3,0.50364,0.60712,0.66832,0.76018,0.86546,0.84683,0.83311,0.89093,0.87469,0.81148
training_trec_10_adapter_der_random,1,0.34814,0.5996,0.67306,0.68075,0.70931,0.74917,0.75516,0.77424,0.74532,0.8253
training_trec_10_adapter_der_random,2,0.45499,0.5973,0.63073,0.6665,0.69715,0.71567,0.70992,0.70835,0.72517,0.83861
training_trec_10_adapter_der_random,3,0.45063,0.62909,0.6778,0.68453,0.71385,0.71845,0.72307,0.72428,0.72648,0.78858
training_trec_10_adapter_sd_coreset,1,0.41297,0.59968,0.68757,0.70605,0.70482,0.70532,0.71789,0.79327,0.85473,0.86288
training_trec_10_adapter_sd_coreset,2,0.42549,0.60805,0.66489,0.66938,0.69265,0.8686,0.8684,0.79207,0.89003,0.88039
training_trec_10_adapter_sd_coreset,3,0.50364,0.67258,0.68466,0.69115,0.70633,0.70177,0.81415,0.79963,0.83053,0.80787
training_trec_10_adapter_sd_entropy,1,0.34814,0.61161,0.65565,0.68168,0.76444,0.86265,0.88199,0.88867,0.89289,0.90261
training_trec_10_adapter_sd_entropy,2,0.42549,0.6163,0.67874,0.7058,0.69844,0.70954,0.86421,0.80344,0.88592,0.88407
training_trec_10_adapter_sd_entropy,3,0.50364,0.66337,0.66898,0.74741,0.75264,0.76346,0.74609,0.87932,0.86875,0.83404
training_trec_10_adapter_sd_random,1,0.34814,0.69376,0.7453,0.74655,0.70246,0.7859,0.77952,0.77881,0.76874,0.85076
training_trec_10_adapter_sd_random,2,0.45499,0.66475,0.71251,0.72197,0.77939,0.79085,0.74886,0.76691,0.7789,0.85277
training_trec_10_adapter_sd_random,3,0.45063,0.74825,0.73973,0.71669,0.70592,0.79255,0.80055,0.73756,0.78477,0.81693
training_trec_10_adapter_sds2_coreset,1,0.41297,0.63107,0.69133,0.69695,0.71301,0.70472,0.71864,0.7236,0.72813,0.73439
training_trec_10_adapter_sds2_coreset,2,0.42549,0.60994,0.66369,0.81704,0.76264,0.81031,0.88711,0.88499,0.88824,0.87909
training_trec_10_adapter_sds2_coreset,3,0.50364,0.68063,0.6989,0.70057,0.70731,0.75916,0.77628,0.76962,0.77621,0.81076
training_trec_10_adapter_sds2_entropy,1,0.34814,0.62172,0.66553,0.73361,0.772,0.76651,0.80187,0.79875,0.7923,0.77801
training_trec_10_adapter_sds2_entropy,2,0.42549,0.59472,0.6511,0.67252,0.73563,0.78486,0.87858,0.88925,0.89031,0.88637
training_trec_10_adapter_sds2_entropy,3,0.50364,0.67041,0.70909,0.75086,0.76971,0.8635,0.82882,0.88725,0.82956,0.88476
training_trec_10_adapter_sds2_random,1,0.34814,0.70862,0.7545,0.73793,0.78675,0.77762,0.77798,0.78824,0.77063,0.83616
training_trec_10_adapter_sds2_random,2,0.45499,0.71097,0.73284,0.76776,0.72949,0.76016,0.72144,0.7295,0.72782,0.79623
training_trec_10_adapter_sds2_random,3,0.45063,0.74397,0.75267,0.763,0.73598,0.76862,0.7573,0.73443,0.72251,0.81105
training_trec_10_lora_der_coreset,1,0.22935,0.5108,0.61571,0.67037,0.65584,0.67466,0.69044,0.68173,0.67555,0.705
training_trec_10_lora_der_coreset,2,0.19907,0.48746,0.57585,0.62936,0.65879,0.66767,0.69881,0.69209,0.67873,0.6626
training_trec_10_lora_der_coreset,3,0.20148,0.48896,0.57978,0.6505,0.67318,0.68835,0.67122,0.70127,0.69888,0.68725
training_trec_10_lora_der_entropy,1,0.24313,0.5253,0.64966,0.66571,0.69508,0.67011,0.70971,0.75215,0.71703,0.71598
training_trec_10_lora_der_entropy,2,0.19907,0.47947,0.65184,0.66278,0.6641,0.77874,0.76635,0.82727,0.7496,0.84856
training_trec_10_lora_der_entropy,3,0.20148,0.43608,0.63855,0.67491,0.6778,0.81103,0.78925,0.88158,0.86039,0.865
training_trec_10_lora_der_random,1,0.24313,0.48931,0.6284,0.64586,0.68548,0.70417,0.71965,0.70803,0.71049,0.72221
training_trec_10_lora_der_random,2,0.24641,0.50186,0.65567,0.66394,0.69257,0.71071,0.70867,0.71384,0.71671,0.7344
training_trec_10_lora_der_random,3,0.18499,0.44066,0.62963,0.65871,0.6989,0.71298,0.71407,0.69754,0.72207,0.73081
