experiment,run,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9
training_trec_10_adapter_der_coreset,1,0.41086,0.56217,0.63067,0.67342,0.66789,0.68465,0.66849,0.66923,0.86825,0.9065
training_trec_10_adapter_der_coreset,2,0.42103,0.56376,0.61413,0.81865,0.87945,0.889,0.88558,0.87918,0.89012,0.90144
training_trec_10_adapter_der_coreset,3,0.48194,0.61184,0.65552,0.6721,0.65836,0.67668,0.6678,0.67681,0.68528,0.67705
training_trec_10_adapter_der_entropy,1,0.35963,0.57051,0.62142,0.65117,0.65891,0.87446,0.8686,0.87324,0.90804,0.90639
training_trec_10_adapter_der_entropy,2,0.42103,0.55545,0.6167,0.65817,0.67514,0.69004,0.84226,0.89702,0.88757,0.89016
training_trec_10_adapter_der_entropy,3,0.48194,0.59072,0.63461,0.83866,0.88687,0.88388,0.8857,0.91156,0.90366,0.89209
training_trec_10_adapter_der_random,1,0.35963,0.56652,0.64283,0.64935,0.67886,0.85598,0.85779,0.86905,0.86339,0.87346
training_trec_10_adapter_der_random,2,0.45325,0.56028,0.59524,0.62997,0.65951,0.82971,0.66835,0.66721,0.84568,0.87749
training_trec_10_adapter_der_random,3,0.4286,0.58845,0.63738,0.6419,0.67578,0.67771,0.68657,0.68926,0.68898,0.85931
training_trec_10_adapter_sd_coreset,1,0.41086,0.58832,0.66733,0.67837,0.67524,0.67192,0.68606,0.86604,0.88652,0.88779
training_trec_10_adapter_sd_coreset,2,0.42103,0.5791,0.63409,0.63052,0.64858,0.89558,0.88812,0.88074,0.91106,0.9043
training_trec_10_adapter_sd_coreset,3,0.48194,0.64757,0.65051,0.65136,0.66523,0.66276,0.88077,0.87085,0.89697,0.88497
training_trec_10_adapter_sd_entropy,1,0.35963,0.57569,0.61896,0.63676,0.83916,0.87914,0.89986,0.90407,0.90555,0.91779
training_trec_10_adapter_sd_entropy,2,0.42103,0.59276,0.66002,0.82244,0.65663,0.67378,0.88409,0.88391,0.90231,0.90119
training_trec_10_adapter_sd_entropy,3,0.48194,0.78357,0.79188,0.82715,0.83851,0.86393,0.847,0.89673,0.89088,0.87334
training_trec_10_adapter_sd_random,1,0.35963,0.77373,0.82147,0.82009,0.82567,0.85551,0.86456,0.86354,0.85862,0.87151
training_trec_10_adapter_sd_random,2,0.45325,0.73944,0.78971,0.80514,0.84104,0.8545,0.84022,0.83768,0.85133,0.87676
training_trec_10_adapter_sd_random,3,0.4286,0.79582,0.82351,0.81571,0.66608,0.84758,0.87007,0.83337,0.87732,0.85858
training_trec_10_adapter_sds2_coreset,1,0.41086,0.61252,0.6807,0.66101,0.68196,0.68816,0.68647,0.69326,0.7018,0.70222
training_trec_10_adapter_sds2_coreset,2,0.42103,0.5831,0.631,0.84866,0.84916,0.87465,0.90958,0.9033,0.90401,0.89766
