experiment,run,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9
training_trec_10_adapter_der_coreset,1,0.46105,0.6255,0.70073,0.74494,0.75819,0.76924,0.76708,0.76713,0.80456,0.89447
training_trec_10_adapter_der_coreset,2,0.46538,0.63877,0.69871,0.75602,0.84827,0.84398,0.85924,0.8286,0.87237,0.88564
training_trec_10_adapter_der_coreset,3,0.54965,0.6964,0.74731,0.7474,0.75827,0.76944,0.76053,0.77386,0.78702,0.77813
training_trec_10_adapter_der_entropy,1,0.40734,0.66079,0.72047,0.75596,0.74711,0.85035,0.82842,0.81971,0.89231,0.89009
training_trec_10_adapter_der_entropy,2,0.46538,0.61,0.69427,0.73836,0.74953,0.76281,0.76936,0.87904,0.8636,0.85491
training_trec_10_adapter_der_entropy,3,0.54965,0.65447,0.72281,0.77784,0.86573,0.85047,0.83944,0.89228,0.87687,0.83094
training_trec_10_adapter_der_random,1,0.40734,0.64944,0.72272,0.7314,0.76468,0.79117,0.78883,0.8043,0.79129,0.83503
training_trec_10_adapter_der_random,2,0.50743,0.64944,0.6805,0.72044,0.75377,0.77152,0.76918,0.76702,0.77807,0.84383
training_trec_10_adapter_der_random,3,0.50085,0.68281,0.73377,0.74251,0.77143,0.7781,0.78032,0.78023,0.78474,0.81099
training_trec_10_adapter_sd_coreset,1,0.46105,0.64102,0.73608,0.75822,0.75833,0.76053,0.77386,0.81313,0.86143,0.87026
training_trec_10_adapter_sd_coreset,2,0.46538,0.6543,0.71617,0.72491,0.75161,0.86801,0.86795,0.81114,0.89009,0.88129
training_trec_10_adapter_sd_coreset,3,0.54965,0.72313,0.73839,0.74716,0.765,0.76056,0.83094,0.82193,0.84406,0.83088
training_trec_10_adapter_sd_entropy,1,0.40734,0.66079,0.71152,0.74053,0.78456,0.86351,0.88336,0.88997,0.89439,0.90322
training_trec_10_adapter_sd_entropy,2,0.46538,0.66327,0.72734,0.74942,0.75833,0.76719,0.86582,0.81988,0.88784,0.88558
training_trec_10_adapter_sd_entropy,3,0.54965,0.69193,0.69599,0.76681,0.77795,0.78909,0.78254,0.88123,0.8702,0.84167
training_trec_10_adapter_sd_random,1,0.40734,0.71342,0.76205,0.76421,0.75354,0.80868,0.80208,0.80427,0.79561,0.85251
training_trec_10_adapter_sd_random,2,0.50743,0.68901,0.72892,0.74898,0.79751,0.81088,0.78436,0.79319,0.79985,0.85696
training_trec_10_adapter_sd_random,3,0.50085,0.76202,0.7667,0.76231,0.76471,0.81529,0.8176,0.78216,0.81325,0.83058
training_trec_10_adapter_sds2_coreset,1,0.46105,0.67406,0.73623,0.75164,0.76716,0.75404,0.77377,0.77816,0.78272,0.7914
training_trec_10_adapter_sds2_coreset,2,0.46538,0.65424,0.7186,0.82175,0.78465,0.81974,0.88795,0.88567,0.89009,0.88135
