experiment,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9
tuning_agnews_der_a0.1_b0.75_r0.01,0.865,0.885,0.89,0.88333,0.86167,0.88333,0.89167,0.885,0.89667,0.89667
tuning_agnews_der_a0.1_b0.75_r0.02,0.86,0.88167,0.895,0.89,0.89,0.89167,0.89833,0.90167,0.89833,0.905
tuning_agnews_der_a0.1_b1_r0.01,0.86,0.88333,0.88833,0.89333,0.9,0.88833,0.89167,0.89,0.88167,0.89167
tuning_agnews_der_a0.1_b1_r0.02,0.86,0.88333,0.89667,0.89667,0.88833,0.89333,0.89333,0.89167,0.88833,0.90167
tuning_agnews_der_a0.25_b0.75_r0.01,0.86,0.87833,0.89,0.89333,0.88833,0.88167,0.89667,0.89667,0.89333,0.9
tuning_agnews_der_a0.25_b0.75_r0.02,0.86,0.87833,0.89,0.89667,0.88667,0.89,0.905,0.89167,0.89,0.89167
tuning_agnews_der_a0.25_b1_r0.01,0.86,0.87667,0.9,0.89833,0.88667,0.88833,0.89333,0.905,0.89667,0.895
tuning_agnews_der_a0.25_b1_r0.02,0.86,0.87667,0.895,0.9,0.89667,0.89667,0.89333,0.89667,0.89667,0.89333
tuning_agnews_der_a0.5_b0.75_r0.01,0.86,0.87167,0.87833,0.885,0.89333,0.88167,0.87833,0.89667,0.89333,0.895
tuning_agnews_der_a0.5_b0.75_r0.02,0.86,0.87167,0.885,0.885,0.89167,0.88333,0.895,0.89667,0.895,0.89167
tuning_agnews_der_a0.5_b1_r0.01,0.86,0.88,0.88833,0.89333,0.895,0.89833,0.88333,0.89833,0.90333,0.9
tuning_agnews_der_a0.5_b1_r0.02,0.86,0.88,0.895,0.88833,0.9,0.89833,0.89167,0.89833,0.89833,0.89667
tuning_agnews_der_a0.75_b0.75_r0.01,0.86,0.875,0.885,0.89333,0.895,0.89833,0.89167,0.88167,0.88167,0.895
tuning_agnews_der_a0.75_b0.75_r0.02,0.86,0.875,0.88833,0.88667,0.88667,0.89167,0.89,0.89667,0.89833,0.9
tuning_agnews_der_a0.75_b1_r0.01,0.86,0.87833,0.88333,0.89167,0.89,0.89833,0.89167,0.89833,0.89833,0.90167
tuning_agnews_der_a0.75_b1_r0.02,0.86,0.87833,0.88667,0.88833,0.89833,0.89833,0.89667,0.90167,0.89667,0.89
tuning_agnews_sd_a0.1_r0.01,0.86,0.88667,0.90333,0.885,0.88833,0.88167,0.885,0.895,0.89333,0.89667
tuning_agnews_sd_a0.1_r0.02,0.87333,0.88667,0.88167,0.885,0.87167,0.865,0.89,0.89667,0.90333,0.90167
tuning_agnews_sd_a0.25_r0.01,0.86,0.885,0.89833,0.88667,0.89333,0.88833,0.89833,0.88667,0.88667,0.87833
tuning_agnews_sd_a0.25_r0.02,0.86,0.885,0.89,0.9,0.90333,0.895,0.905,0.905,0.89667,0.89167
tuning_agnews_sd_a0.5_r0.01,0.86,0.885,0.89167,0.88667,0.88167,0.885,0.89833,0.88333,0.89833,0.89833
tuning_agnews_sd_a0.5_r0.02,0.86,0.885,0.89167,0.88333,0.89167,0.88833,0.89833,0.89,0.885,0.90833
tuning_agnews_sd_a0.75_r0.01,0.86,0.875,0.89,0.87,0.86833,0.885,0.88667,0.88833,0.88333,0.89333
tuning_agnews_sd_a0.75_r0.02,0.86,0.875,0.88833,0.875,0.885,0.87833,0.86833,0.88333,0.89333,0.895
tuning_agnews_sds2_a0.1_l0.1_k0.1_r0.01,0.86,0.885,0.89333,0.88667,0.895,0.88833,0.89833,0.90333,0.90833,0.90667
tuning_agnews_sds2_a0.1_l0.1_k0.1_r0.02,0.86,0.885,0.89167,0.88833,0.9,0.89667,0.89833,0.9,0.89833,0.89833
tuning_agnews_sds2_a0.1_l0.1_k1_r0.01,0.86,0.885,0.89,0.89,0.90167,0.895,0.89667,0.895,0.89167,0.905
tuning_agnews_sds2_a0.1_l0.1_k1_r0.02,0.86,0.885,0.88667,0.89833,0.895,0.89333,0.89,0.88833,0.89667,0.9
tuning_agnews_sds2_a0.1_l10_k0.1_r0.01,0.86,0.88333,0.89167,0.88833,0.885,0.895,0.895,0.895,0.89667,0.90333
tuning_agnews_sds2_a0.1_l10_k0.1_r0.02,0.86,0.88333,0.89,0.88833,0.88333,0.88667,0.88833,0.89333,0.89167,0.89833
tuning_agnews_sds2_a0.1_l10_k1_r0.01,0.86,0.88667,0.89167,0.89333,0.89333,0.89833,0.905,0.9,0.905,0.91
tuning_agnews_sds2_a0.1_l10_k1_r0.02,0.86,0.88667,0.89333,0.89167,0.89667,0.9,0.90167,0.88333,0.89833,0.89667
tuning_agnews_sds2_a0.1_l1_k0.1_r0.01,0.86,0.885,0.88667,0.89833,0.89167,0.88833,0.89333,0.9,0.9,0.89667
tuning_agnews_sds2_a0.1_l1_k0.1_r0.02,0.86,0.885,0.89167,0.88833,0.89167,0.885,0.88667,0.89,0.885,0.89667
tuning_agnews_sds2_a0.1_l1_k1_r0.01,0.86,0.885,0.88333,0.89667,0.90333,0.89667,0.89667,0.90333,0.89167,0.90167
tuning_agnews_sds2_a0.1_l1_k1_r0.02,0.86,0.885,0.89167,0.90167,0.895,0.895,0.90667,0.90167,0.90167,0.90333
tuning_agnews_sds2_a0.25_l0.1_k0.1_r0.01,0.86,0.88833,0.88833,0.89,0.885,0.895,0.9,0.90333,0.89667,0.88833
tuning_agnews_sds2_a0.25_l0.1_k0.1_r0.02,0.86,0.88833,0.88333,0.89,0.89667,0.88333,0.88833,0.9,0.89,0.89833
tuning_agnews_sds2_a0.25_l0.1_k1_r0.01,0.86,0.885,0.895,0.895,0.89667,0.89333,0.9,0.89667,0.91167,0.90333
tuning_agnews_sds2_a0.25_l0.1_k1_r0.02,0.86,0.885,0.88833,0.89333,0.88333,0.89,0.89,0.89333,0.89167,0.89333
tuning_agnews_sds2_a0.25_l10_k0.1_r0.01,0.86,0.88333,0.89,0.89167,0.88333,0.905,0.90333,0.90167,0.90333,0.89667
tuning_agnews_sds2_a0.25_l10_k0.1_r0.02,0.86,0.88333,0.89,0.89833,0.89167,0.9,0.89667,0.89,0.89667,0.90167
tuning_agnews_sds2_a0.25_l10_k1_r0.01,0.86,0.885,0.88667,0.89,0.895,0.89,0.89667,0.90167,0.90667,0.90333
tuning_agnews_sds2_a0.25_l10_k1_r0.02,0.86,0.885,0.89167,0.89667,0.89167,0.895,0.88,0.89667,0.88833,0.88833
tuning_agnews_sds2_a0.25_l1_k0.1_r0.01,0.86,0.89,0.895,0.895,0.88667,0.89333,0.90167,0.90333,0.90167,0.89667
tuning_agnews_sds2_a0.25_l1_k0.1_r0.02,0.86,0.89,0.88833,0.88667,0.89333,0.88167,0.89167,0.895,0.9,0.89833
tuning_agnews_sds2_a0.25_l1_k1_r0.01,0.86,0.885,0.89,0.89667,0.89333,0.88667,0.89667,0.89667,0.89167,0.89
tuning_agnews_sds2_a0.25_l1_k1_r0.02,0.86,0.885,0.88333,0.89833,0.89333,0.885,0.89333,0.885,0.895,0.89167
tuning_agnews_sds2_a0.5_l0.1_k0.1_r0.01,0.86,0.88,0.89333,0.895,0.88333,0.89833,0.88167,0.89167,0.89667,0.89167
tuning_agnews_sds2_a0.5_l0.1_k0.1_r0.02,0.86,0.88,0.89167,0.895,0.89333,0.87167,0.89333,0.89667,0.895,0.90667
tuning_agnews_sds2_a0.5_l0.1_k1_r0.01,0.86,0.87667,0.88833,0.89333,0.89833,0.89333,0.885,0.89167,0.88333,0.885
tuning_agnews_sds2_a0.5_l0.1_k1_r0.02,0.86,0.87667,0.88667,0.885,0.89,0.89333,0.895,0.88667,0.875,0.88333
tuning_agnews_sds2_a0.5_l10_k0.1_r0.01,0.86,0.88,0.885,0.89167,0.89,0.89667,0.89333,0.89667,0.89167,0.895
tuning_agnews_sds2_a0.5_l10_k0.1_r0.02,0.86,0.88,0.88833,0.88167,0.885,0.89167,0.89667,0.88667,0.89167,0.89333
tuning_agnews_sds2_a0.5_l10_k1_r0.01,0.86,0.88,0.88667,0.89167,0.885,0.88167,0.895,0.9,0.90167,0.89833
tuning_agnews_sds2_a0.5_l10_k1_r0.02,0.86,0.88,0.88333,0.88667,0.88833,0.895,0.89167,0.895,0.89167,0.89667
tuning_agnews_sds2_a0.5_l1_k0.1_r0.01,0.86,0.87667,0.89,0.885,0.89667,0.88667,0.89667,0.88667,0.88333,0.90333
tuning_agnews_sds2_a0.5_l1_k0.1_r0.02,0.86,0.87667,0.89167,0.9,0.87833,0.89,0.88333,0.89333,0.89167,0.89667
tuning_agnews_sds2_a0.5_l1_k1_r0.01,0.86,0.88,0.88833,0.87833,0.89,0.89333,0.89667,0.9,0.90833,0.90167
tuning_agnews_sds2_a0.5_l1_k1_r0.02,0.86,0.88,0.88667,0.885,0.895,0.89333,0.88667,0.88833,0.88833,0.90667
tuning_agnews_sds2_a0.75_l0.1_k0.1_r0.01,0.86,0.87333,0.89,0.88667,0.88167,0.89167,0.88833,0.88667,0.885,0.87667
tuning_agnews_sds2_a0.75_l0.1_k0.1_r0.02,0.86,0.87333,0.885,0.88833,0.885,0.87333,0.88667,0.88167,0.87667,0.89167
tuning_agnews_sds2_a0.75_l0.1_k1_r0.01,0.86,0.875,0.88833,0.88833,0.88,0.88833,0.89,0.88833,0.88667,0.88667
tuning_agnews_sds2_a0.75_l0.1_k1_r0.02,0.86,0.875,0.88333,0.86667,0.88167,0.88833,0.88,0.88833,0.89833,0.89667
tuning_agnews_sds2_a0.75_l10_k0.1_r0.01,0.86,0.87167,0.88667,0.88333,0.885,0.88667,0.88167,0.88667,0.885,0.89833
tuning_agnews_sds2_a0.75_l10_k0.1_r0.02,0.86,0.87167,0.885,0.86833,0.87833,0.89,0.86833,0.89333,0.89,0.895
