experiment,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
tuning_agnews_der_a0.1_b0.75_r0.01,0.86421,0.88569,0.8904,0.88407,0.86247,0.88388,0.89169,0.88524,0.89698,0.89692
tuning_agnews_der_a0.1_b0.75_r0.02,0.85845,0.88241,0.89514,0.89024,0.89042,0.89175,0.89875,0.90146,0.89799,0.90511
tuning_agnews_der_a0.1_b1_r0.01,0.85845,0.88402,0.88846,0.89349,0.90054,0.88811,0.89156,0.89009,0.88175,0.89222
tuning_agnews_der_a0.1_b1_r0.02,0.85845,0.88402,0.89684,0.89694,0.88855,0.89368,0.89357,0.89209,0.88833,0.90134
tuning_agnews_der_a0.25_b0.75_r0.01,0.85845,0.8789,0.89019,0.89346,0.88857,0.88186,0.89699,0.89706,0.89356,0.90028
tuning_agnews_der_a0.25_b0.75_r0.02,0.85845,0.8789,0.89019,0.89688,0.88668,0.88996,0.90543,0.89201,0.89004,0.89173
tuning_agnews_der_a0.25_b1_r0.01,0.85845,0.87727,0.90003,0.89836,0.88729,0.88827,0.89363,0.90535,0.89682,0.89519
tuning_agnews_der_a0.25_b1_r0.02,0.85845,0.87727,0.89513,0.90007,0.89708,0.89656,0.89336,0.89681,0.89702,0.89312
tuning_agnews_der_a0.5_b0.75_r0.01,0.85845,0.8715,0.87764,0.88509,0.89374,0.88198,0.87896,0.89666,0.89376,0.89538
tuning_agnews_der_a0.5_b0.75_r0.02,0.85845,0.8715,0.88489,0.88507,0.89189,0.88361,0.89538,0.89684,0.89511,0.89199
tuning_agnews_der_a0.5_b1_r0.01,0.85845,0.8801,0.88781,0.89308,0.89524,0.89865,0.88348,0.89862,0.90362,0.90006
tuning_agnews_der_a0.5_b1_r0.02,0.85845,0.8801,0.89495,0.88795,0.90026,0.89847,0.89195,0.89857,0.89872,0.89709
tuning_agnews_der_a0.75_b0.75_r0.01,0.85845,0.87458,0.88459,0.8931,0.89506,0.89851,0.8917,0.88116,0.88241,0.89521
tuning_agnews_der_a0.75_b0.75_r0.02,0.85845,0.87458,0.8882,0.88592,0.88702,0.89206,0.89014,0.89679,0.89846,0.90026
tuning_agnews_der_a0.75_b1_r0.01,0.85845,0.87816,0.88322,0.89124,0.8903,0.89854,0.89204,0.89838,0.89847,0.90205
tuning_agnews_der_a0.75_b1_r0.02,0.85845,0.87816,0.88667,0.88814,0.89854,0.89844,0.89659,0.90174,0.89705,0.89029
tuning_agnews_sd_a0.1_r0.01,0.85845,0.8869,0.90355,0.88536,0.88879,0.88212,0.88471,0.89481,0.89314,0.89691
tuning_agnews_sd_a0.1_r0.02,0.87288,0.88699,0.88238,0.8855,0.87253,0.86594,0.89046,0.89721,0.90396,0.90209
tuning_agnews_sd_a0.25_r0.01,0.85845,0.88517,0.89834,0.88737,0.89348,0.88809,0.89836,0.88656,0.88687,0.87917
tuning_agnews_sd_a0.25_r0.02,0.85845,0.88517,0.89024,0.90068,0.90382,0.89432,0.90421,0.90471,0.89611,0.89131
tuning_agnews_sd_a0.5_r0.01,0.85845,0.88528,0.8915,0.88716,0.88217,0.88477,0.89855,0.88261,0.89809,0.89813
tuning_agnews_sd_a0.5_r0.02,0.85845,0.88528,0.89167,0.88376,0.89202,0.88853,0.89844,0.88957,0.88452,0.90832
tuning_agnews_sd_a0.75_r0.01,0.85845,0.87499,0.88963,0.87084,0.86923,0.88501,0.88643,0.88763,0.88355,0.89358
tuning_agnews_sd_a0.75_r0.02,0.85845,0.87499,0.88824,0.87543,0.88531,0.87885,0.86919,0.88339,0.89365,0.89528
tuning_agnews_sds2_a0.1_l0.1_k0.1_r0.01,0.85845,0.88511,0.89366,0.887,0.8952,0.88881,0.89858,0.90344,0.90838,0.90656
tuning_agnews_sds2_a0.1_l0.1_k0.1_r0.02,0.85845,0.88511,0.89215,0.88875,0.90038,0.89716,0.89872,0.90009,0.89851,0.89869
tuning_agnews_sds2_a0.1_l0.1_k1_r0.01,0.85845,0.88511,0.8904,0.88994,0.90188,0.8952,0.89717,0.89503,0.89215,0.90548
tuning_agnews_sds2_a0.1_l0.1_k1_r0.02,0.85845,0.88511,0.88692,0.89861,0.89517,0.89352,0.89038,0.88876,0.89634,0.90035
tuning_agnews_sds2_a0.1_l10_k0.1_r0.01,0.85845,0.88347,0.89197,0.88852,0.88563,0.89533,0.8948,0.89535,0.89702,0.90356
tuning_agnews_sds2_a0.1_l10_k0.1_r0.02,0.85845,0.88347,0.89011,0.88861,0.88344,0.88722,0.88879,0.89392,0.89188,0.89848
tuning_agnews_sds2_a0.1_l10_k1_r0.01,0.85845,0.88672,0.89171,0.89381,0.89368,0.89864,0.90541,0.90023,0.9051,0.91022
tuning_agnews_sds2_a0.1_l10_k1_r0.02,0.85845,0.88672,0.89347,0.89184,0.89702,0.90023,0.90181,0.88363,0.89834,0.89656
tuning_agnews_sds2_a0.1_l1_k0.1_r0.01,0.85845,0.88502,0.88677,0.89831,0.8919,0.88881,0.89372,0.90017,0.90033,0.89693
