experiment,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9
tuning_agnews_der_a0.1_b0.75_r0.01,0.87418,0.88902,0.89401,0.8864,0.86751,0.88551,0.89475,0.8856,0.89865,0.90131
tuning_agnews_der_a0.1_b0.75_r0.02,0.86818,0.89017,0.89792,0.89246,0.89255,0.89309,0.89982,0.90517,0.90252,0.90798
tuning_agnews_der_a0.1_b1_r0.01,0.86818,0.89039,0.8935,0.89442,0.90228,0.89182,0.89441,0.89399,0.88698,0.8956
tuning_agnews_der_a0.1_b1_r0.02,0.86818,0.89039,0.89978,0.89887,0.8897,0.89498,0.89556,0.8943,0.89018,0.9049
tuning_agnews_der_a0.25_b0.75_r0.01,0.86818,0.88947,0.89379,0.8954,0.88955,0.88339,0.89764,0.89905,0.89401,0.90304
tuning_agnews_der_a0.25_b0.75_r0.02,0.86818,0.88947,0.89379,0.90004,0.88898,0.89001,0.90733,0.89269,0.89227,0.89393
tuning_agnews_der_a0.25_b1_r0.01,0.86818,0.88748,0.90414,0.90025,0.88859,0.88888,0.8947,0.90757,0.90025,0.89738
tuning_agnews_der_a0.25_b1_r0.02,0.86818,0.88748,0.89845,0.90253,0.89835,0.89724,0.89585,0.89792,0.89837,0.89588
tuning_agnews_der_a0.5_b0.75_r0.01,0.86818,0.88258,0.88892,0.88881,0.89698,0.8831,0.88033,0.89833,0.89499,0.89732
tuning_agnews_der_a0.5_b0.75_r0.02,0.86818,0.88258,0.89162,0.88919,0.89355,0.88483,0.89692,0.8995,0.89883,0.89342
tuning_agnews_der_a0.5_b1_r0.01,0.86818,0.88946,0.89798,0.89707,0.89743,0.89946,0.88435,0.90196,0.90582,0.90412
tuning_agnews_der_a0.5_b1_r0.02,0.86818,0.88946,0.90094,0.89243,0.90243,0.90025,0.89278,0.90051,0.89966,0.89864
tuning_agnews_der_a0.75_b0.75_r0.01,0.86818,0.88455,0.89513,0.89614,0.89927,0.8999,0.89246,0.88692,0.88388,0.89867
tuning_agnews_der_a0.75_b0.75_r0.02,0.86818,0.88455,0.89614,0.89286,0.88846,0.89441,0.89204,0.89878,0.90202,0.90247
tuning_agnews_der_a0.75_b1_r0.01,0.86818,0.88783,0.89309,0.89552,0.89299,0.90027,0.89368,0.90216,0.89964,0.90554
tuning_agnews_der_a0.75_b1_r0.02,0.86818,0.88783,0.89155,0.89262,0.89987,0.90089,0.89918,0.90319,0.89973,0.89331
tuning_agnews_sd_a0.1_r0.01,0.86818,0.89186,0.90592,0.88664,0.88955,0.88347,0.88898,0.89939,0.89617,0.90051
tuning_agnews_sd_a0.1_r0.02,0.87926,0.88889,0.88489,0.88654,0.87439,0.86931,0.89128,0.89916,0.90532,0.90436
tuning_agnews_sd_a0.25_r0.01,0.86818,0.89148,0.90094,0.88886,0.89412,0.89276,0.90364,0.8938,0.89264,0.88083
tuning_agnews_sd_a0.25_r0.02,0.86818,0.89148,0.89408,0.90261,0.90629,0.89991,0.909,0.90702,0.90055,0.89544
tuning_agnews_sd_a0.5_r0.01,0.86818,0.89197,0.89484,0.88838,0.88312,0.88724,0.90113,0.88723,0.90146,0.90224
tuning_agnews_sd_a0.5_r0.02,0.86818,0.89197,0.89539,0.88466,0.89362,0.88981,0.90121,0.89209,0.88987,0.90991
tuning_agnews_sd_a0.75_r0.01,0.86818,0.88276,0.89236,0.87276,0.87373,0.88896,0.8912,0.89181,0.88869,0.89675
tuning_agnews_sd_a0.75_r0.02,0.86818,0.88276,0.89149,0.8785,0.88682,0.87966,0.87076,0.88492,0.89452,0.89741
tuning_agnews_sds2_a0.1_l0.1_k0.1_r0.01,0.86818,0.89021,0.89467,0.88954,0.89595,0.8895,0.90001,0.90416,0.91018,0.90754
tuning_agnews_sds2_a0.1_l0.1_k0.1_r0.02,0.86818,0.89021,0.89395,0.88991,0.90168,0.89807,0.89984,0.90083,0.89945,0.89969
tuning_agnews_sds2_a0.1_l0.1_k1_r0.01,0.86818,0.89021,0.89161,0.89239,0.90291,0.89604,0.89915,0.89663,0.8941,0.90737
tuning_agnews_sds2_a0.1_l0.1_k1_r0.02,0.86818,0.89021,0.8878,0.89978,0.89567,0.89498,0.89165,0.89068,0.89811,0.90426
tuning_agnews_sds2_a0.1_l10_k0.1_r0.01,0.86818,0.88859,0.89444,0.89102,0.88672,0.89659,0.89554,0.89663,0.8999,0.90442
tuning_agnews_sds2_a0.1_l10_k0.1_r0.02,0.86818,0.88859,0.89219,0.89035,0.88478,0.88805,0.89092,0.89504,0.89501,0.90059
tuning_agnews_sds2_a0.1_l10_k1_r0.01,0.86818,0.89221,0.89379,0.89519,0.89493,0.89951,0.90676,0.90184,0.90668,0.91339
tuning_agnews_sds2_a0.1_l10_k1_r0.02,0.86818,0.89221,0.89478,0.89293,0.89811,0.9011,0.90407,0.88459,0.9,0.8986
tuning_agnews_sds2_a0.1_l1_k0.1_r0.01,0.86818,0.89091,0.88798,0.89982,0.89354,0.88993,0.89556,0.90221,0.90237,0.89854
tuning_agnews_sds2_a0.1_l1_k0.1_r0.02,0.86818,0.89091,0.89367,0.89001,0.89312,0.88762,0.88882,0.8921,0.88938,0.89982
tuning_agnews_sds2_a0.1_l1_k1_r0.01,0.86818,0.89091,0.88484,0.89919,0.90567,0.89837,0.89727,0.90375,0.89275,0.90543
tuning_agnews_sds2_a0.1_l1_k1_r0.02,0.86818,0.89091,0.89421,0.90366,0.89673,0.89798,0.90845,0.90323,0.90297,0.90465
tuning_agnews_sds2_a0.25_l0.1_k0.1_r0.01,0.86818,0.89424,0.88922,0.891,0.88635,0.89577,0.90378,0.90648,0.89891,0.89058
tuning_agnews_sds2_a0.25_l0.1_k0.1_r0.02,0.86818,0.89424,0.88569,0.89198,0.89792,0.88941,0.89157,0.904,0.89182,0.90043
tuning_agnews_sds2_a0.25_l0.1_k1_r0.01,0.86818,0.89133,0.89774,0.89858,0.89834,0.89465,0.9005,0.89787,0.91222,0.90383
tuning_agnews_sds2_a0.25_l0.1_k1_r0.02,0.86818,0.89133,0.89215,0.89453,0.88483,0.89054,0.89148,0.89698,0.89605,0.89752
tuning_agnews_sds2_a0.25_l10_k0.1_r0.01,0.86818,0.89005,0.89152,0.89481,0.88629,0.90748,0.90711,0.90461,0.90464,0.89869
tuning_agnews_sds2_a0.25_l10_k0.1_r0.02,0.86818,0.89005,0.89171,0.89989,0.89279,0.90201,0.8987,0.89697,0.90004,0.90646
tuning_agnews_sds2_a0.25_l10_k1_r0.01,0.86818,0.89148,0.88767,0.89092,0.89711,0.89235,0.89841,0.90413,0.90921,0.90483
tuning_agnews_sds2_a0.25_l10_k1_r0.02,0.86818,0.89148,0.89292,0.8979,0.89251,0.89642,0.88276,0.89741,0.88964,0.88948
tuning_agnews_sds2_a0.25_l1_k0.1_r0.01,0.86818,0.89554,0.89637,0.89644,0.88797,0.89641,0.90499,0.90706,0.90573,0.89936
tuning_agnews_sds2_a0.25_l1_k0.1_r0.02,0.86818,0.89554,0.89088,0.88789,0.89505,0.88366,0.89272,0.89743,0.9024,0.90127
tuning_agnews_sds2_a0.25_l1_k1_r0.01,0.86818,0.89148,0.89168,0.89719,0.8947,0.88883,0.89725,0.89933,0.89258,0.89241
