experiment,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
tuning_sensation_der_a0.1_b0.75_r0.01,0.4028,0.48658,0.43471,0.44336,0.51423,0.59804,0.60785,0.65044,0.61743,0.68899
tuning_sensation_der_a0.1_b0.75_r0.02,0.4028,0.48658,0.43558,0.43296,0.50813,0.60997,0.62463,0.62943,0.66615,0.65854
tuning_sensation_der_a0.1_b1_r0.01,0.4028,0.46431,0.44327,0.54527,0.5612,0.54708,0.56455,0.63997,0.63817,0.64222
tuning_sensation_der_a0.1_b1_r0.02,0.4028,0.46431,0.51572,0.5404,0.56338,0.5949,0.61486,0.64388,0.6135,0.61724
tuning_sensation_der_a0.25_b0.75_r0.01,0.4028,0.48139,0.52851,0.59167,0.61742,0.60591,0.60874,0.6349,0.63192,0.67572
tuning_sensation_der_a0.25_b0.75_r0.02,0.4028,0.48139,0.57538,0.60777,0.57361,0.61515,0.62979,0.5842,0.62139,0.63142
tuning_sensation_der_a0.25_b1_r0.01,0.4028,0.47404,0.43558,0.4637,0.60446,0.57852,0.58875,0.65215,0.63361,0.65874
tuning_sensation_der_a0.25_b1_r0.02,0.4028,0.47404,0.42582,0.45255,0.44327,0.53295,0.62986,0.60397,0.64344,0.64132
tuning_sensation_der_a0.5_b0.75_r0.01,0.4028,0.49418,0.4508,0.46716,0.52024,0.54528,0.59263,0.60555,0.62333,0.61938
tuning_sensation_der_a0.5_b0.75_r0.02,0.4028,0.49418,0.45358,0.47826,0.48075,0.44518,0.60715,0.62943,0.6463,0.64582
tuning_sensation_der_a0.5_b1_r0.01,0.4028,0.49467,0.55522,0.56226,0.61155,0.61028,0.62391,0.63289,0.63549,0.63708
tuning_sensation_der_a0.5_b1_r0.02,0.4028,0.49467,0.46485,0.44327,0.63754,0.60952,0.63801,0.64251,0.63498,0.6537
tuning_sensation_der_a0.75_b0.75_r0.01,0.4028,0.47599,0.42582,0.48867,0.58908,0.53833,0.54867,0.59644,0.62547,0.6311
tuning_sensation_der_a0.75_b0.75_r0.02,0.4028,0.47599,0.43558,0.42582,0.59028,0.53133,0.59419,0.61717,0.64311,0.6098
tuning_sensation_der_a0.75_b1_r0.01,0.4028,0.51373,0.505,0.49954,0.58839,0.5794,0.59315,0.60808,0.6176,0.65296
tuning_sensation_der_a0.75_b1_r0.02,0.4028,0.51373,0.48412,0.5483,0.58463,0.58013,0.57492,0.60205,0.63921,0.65824
tuning_sensation_sd_a0.1_r0.01,0.4028,0.46258,0.51846,0.5904,0.60495,0.5709,0.61232,0.63775,0.6525,0.63775
tuning_sensation_sd_a0.1_r0.02,0.4028,0.46258,0.52969,0.58238,0.6381,0.64218,0.63549,0.63016,0.63901,0.62411
tuning_sensation_sd_a0.25_r0.01,0.4028,0.46495,0.48321,0.56614,0.56276,0.61872,0.64097,0.63295,0.64633,0.61936
tuning_sensation_sd_a0.25_r0.02,0.4028,0.46495,0.48856,0.57405,0.58477,0.57337,0.55576,0.54437,0.57588,0.59157
tuning_sensation_sd_a0.5_r0.01,0.4028,0.46258,0.48303,0.54,0.57209,0.53855,0.58861,0.57732,0.63389,0.62414
tuning_sensation_sd_a0.5_r0.02,0.4028,0.46258,0.43558,0.61688,0.55484,0.57905,0.58384,0.60293,0.59433,0.62257
tuning_sensation_sd_a0.75_r0.01,0.4028,0.46485,0.42582,0.42582,0.56841,0.5322,0.57753,0.61969,0.5794,0.63289
tuning_sensation_sd_a0.75_r0.02,0.4028,0.46485,0.42582,0.48175,0.46058,0.58507,0.60796,0.60801,0.60397,0.62899
tuning_sensation_sds2_a0.1_l0.1_k0.1_r0.01,0.4028,0.44539,0.49806,0.53884,0.51043,0.56803,0.56566,0.57372,0.58991,0.5968
tuning_sensation_sds2_a0.1_l0.1_k0.1_r0.02,0.4028,0.44539,0.50649,0.52332,0.55728,0.59909,0.6129,0.61656,0.60976,0.62391
tuning_sensation_sds2_a0.1_l0.1_k1_r0.01,0.4028,0.492,0.51894,0.5269,0.52451,0.51771,0.54317,0.53668,0.5842,0.56244
tuning_sensation_sds2_a0.1_l0.1_k1_r0.02,0.4028,0.492,0.47046,0.54177,0.56998,0.56582,0.58043,0.57361,0.56947,0.55728
tuning_sensation_sds2_a0.1_l10_k0.1_r0.01,0.4028,0.52775,0.54734,0.56201,0.58923,0.57771,0.55401,0.54319,0.59644,0.60781
tuning_sensation_sds2_a0.1_l10_k0.1_r0.02,0.4028,0.52775,0.55662,0.58857,0.60607,0.59228,0.61724,0.63142,0.62741,0.62715
tuning_sensation_sds2_a0.1_l10_k1_r0.01,0.4028,0.49491,0.55401,0.54264,0.56901,0.5815,0.56615,0.58883,0.60238,0.59528
tuning_sensation_sds2_a0.1_l10_k1_r0.02,0.4028,0.49491,0.55611,0.57586,0.56266,0.58051,0.60519,0.584,0.57551,0.60777
tuning_sensation_sds2_a0.1_l1_k0.1_r0.01,0.4028,0.50089,0.51217,0.55408,0.53844,0.53516,0.53551,0.5566,0.57367,0.57569
tuning_sensation_sds2_a0.1_l1_k0.1_r0.02,0.4028,0.50089,0.54488,0.54881,0.54958,0.56282,0.60279,0.60162,0.60939,0.61136
tuning_sensation_sds2_a0.1_l1_k1_r0.01,0.4028,0.45788,0.48321,0.50693,0.52052,0.59055,0.59614,0.62338,0.63295,0.6418
tuning_sensation_sds2_a0.1_l1_k1_r0.02,0.4028,0.45788,0.47058,0.50683,0.50998,0.55002,0.55049,0.55571,0.58511,0.62057
tuning_sensation_sds2_a0.25_l0.1_k0.1_r0.01,0.4028,0.43946,0.45512,0.46058,0.58037,0.53339,0.54389,0.60625,0.59989,0.59315
tuning_sensation_sds2_a0.25_l0.1_k0.1_r0.02,0.4028,0.43946,0.42582,0.43296,0.5218,0.53233,0.57337,0.58977,0.58601,0.58561
tuning_sensation_sds2_a0.25_l0.1_k1_r0.01,0.4028,0.48686,0.45913,0.48824,0.56003,0.54167,0.53295,0.49237,0.516,0.52395
tuning_sensation_sds2_a0.25_l0.1_k1_r0.02,0.4028,0.48686,0.45573,0.54167,0.52972,0.572,0.57753,0.6268,0.63549,0.62012
tuning_sensation_sds2_a0.25_l10_k0.1_r0.01,0.4028,0.5224,0.50681,0.52288,0.50693,0.59995,0.5398,0.58222,0.56803,0.59528
tuning_sensation_sds2_a0.25_l10_k0.1_r0.02,0.4028,0.5224,0.51292,0.51917,0.54149,0.6096,0.58867,0.60572,0.6096,0.61277
tuning_sensation_sds2_a0.25_l10_k1_r0.01,0.4028,0.50956,0.5059,0.5557,0.54195,0.54478,0.54177,0.53477,0.55054,0.57223
tuning_sensation_sds2_a0.25_l10_k1_r0.02,0.4028,0.50956,0.49806,0.54149,0.56947,0.5618,0.54737,0.58444,0.60086,0.59338
tuning_sensation_sds2_a0.25_l1_k0.1_r0.01,0.4028,0.49613,0.50286,0.53,0.50123,0.51963,0.54347,0.51531,0.5237,0.53727
tuning_sensation_sds2_a0.25_l1_k0.1_r0.02,0.4028,0.49613,0.48522,0.53107,0.57174,0.58414,0.59244,0.62079,0.59903,0.59631
tuning_sensation_sds2_a0.25_l1_k1_r0.01,0.4028,0.46377,0.50739,0.48057,0.55072,0.53856,0.58631,0.5718,0.58466,0.60547
tuning_sensation_sds2_a0.25_l1_k1_r0.02,0.4028,0.46377,0.43558,0.48588,0.58945,0.5422,0.5709,0.59548,0.57155,0.60205
tuning_sensation_sds2_a0.5_l0.1_k0.1_r0.01,0.4028,0.46023,0.42424,0.53506,0.59419,0.59167,0.62274,0.63684,0.62476,0.634
tuning_sensation_sds2_a0.5_l0.1_k0.1_r0.02,0.4028,0.46023,0.45295,0.54123,0.60591,0.64426,0.63211,0.64985,0.62987,0.62
tuning_sensation_sds2_a0.5_l0.1_k1_r0.01,0.4028,0.48057,0.48412,0.5191,0.54389,0.59774,0.60939,0.63039,0.62417,0.63723
tuning_sensation_sds2_a0.5_l0.1_k1_r0.02,0.4028,0.48057,0.53317,0.60062,0.60645,0.60637,0.59282,0.62811,0.62707,0.61426
tuning_sensation_sds2_a0.5_l10_k0.1_r0.01,0.4028,0.505,0.48119,0.51292,0.52288,0.54291,0.56836,0.58414,0.55767,0.55951
tuning_sensation_sds2_a0.5_l10_k0.1_r0.02,0.4028,0.505,0.46799,0.53526,0.56297,0.60205,0.59008,0.58511,0.56896,0.59315
tuning_sensation_sds2_a0.5_l10_k1_r0.01,0.4028,0.51641,0.49945,0.59909,0.60198,0.5612,0.61313,0.55867,0.61604,0.61181
tuning_sensation_sds2_a0.5_l10_k1_r0.02,0.4028,0.51641,0.4792,0.55522,0.57078,0.60392,0.61181,0.61464,0.6278,0.62612
tuning_sensation_sds2_a0.5_l1_k0.1_r0.01,0.4028,0.50986,0.49853,0.54193,0.54177,0.53624,0.54446,0.58561,0.57338,0.58375
