experiment,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9
tuning_sensation_der_a0.1_b0.75_r0.01,0.49582,0.51243,0.50302,0.49615,0.52022,0.59746,0.60173,0.65182,0.61359,0.6937
tuning_sensation_der_a0.1_b0.75_r0.02,0.49582,0.51243,0.50463,0.49979,0.53318,0.6006,0.61365,0.62067,0.64949,0.64585
tuning_sensation_der_a0.1_b1_r0.01,0.49582,0.49349,0.50603,0.55269,0.56022,0.54576,0.56583,0.63955,0.64214,0.64677
tuning_sensation_der_a0.1_b1_r0.02,0.49582,0.49349,0.53781,0.53987,0.56562,0.59304,0.61057,0.64137,0.61036,0.61759
tuning_sensation_der_a0.25_b0.75_r0.01,0.49582,0.50254,0.53474,0.58545,0.63444,0.60012,0.60314,0.6267,0.61989,0.66697
tuning_sensation_der_a0.25_b0.75_r0.02,0.49582,0.50254,0.57136,0.61093,0.56995,0.60481,0.61947,0.58026,0.61063,0.62488
tuning_sensation_der_a0.25_b1_r0.01,0.49582,0.50134,0.50463,0.51024,0.60111,0.57614,0.5856,0.64782,0.64594,0.65687
tuning_sensation_der_a0.25_b1_r0.02,0.49582,0.50134,0.5,0.51066,0.50603,0.54686,0.61828,0.59576,0.62936,0.62775
tuning_sensation_der_a0.5_b0.75_r0.01,0.49582,0.50836,0.49916,0.51508,0.53396,0.55451,0.58665,0.59695,0.61126,0.6126
tuning_sensation_der_a0.5_b0.75_r0.02,0.49582,0.50836,0.51228,0.52294,0.52616,0.50926,0.59836,0.62067,0.65,0.63617
tuning_sensation_der_a0.5_b1_r0.01,0.49582,0.50654,0.55445,0.5609,0.60875,0.60594,0.61983,0.6201,0.63351,0.62333
tuning_sensation_der_a0.5_b1_r0.02,0.49582,0.50654,0.51186,0.50603,0.62972,0.60018,0.62354,0.63175,0.62171,0.64122
tuning_sensation_der_a0.75_b0.75_r0.01,0.49582,0.49609,0.5,0.52413,0.5908,0.54441,0.55591,0.58987,0.61386,0.6175
tuning_sensation_der_a0.75_b0.75_r0.02,0.49582,0.49609,0.50463,0.5,0.58426,0.54525,0.5879,0.60642,0.63056,0.60039
tuning_sensation_der_a0.75_b1_r0.01,0.49582,0.5184,0.51783,0.53199,0.58265,0.57745,0.58686,0.59955,0.60663,0.63722
tuning_sensation_der_a0.75_b1_r0.02,0.49582,0.5184,0.50576,0.548,0.57942,0.57655,0.57094,0.59689,0.62614,0.65125
tuning_sensation_sd_a0.1_r0.01,0.49582,0.50197,0.52324,0.58841,0.59872,0.5675,0.62118,0.63653,0.65343,0.63653
tuning_sensation_sd_a0.1_r0.02,0.49582,0.50197,0.53453,0.58716,0.64495,0.63435,0.63351,0.62207,0.62993,0.61723
tuning_sensation_sd_a0.25_r0.01,0.49582,0.5052,0.51263,0.56392,0.56048,0.61001,0.63554,0.6213,0.63757,0.60902
tuning_sensation_sd_a0.25_r0.02,0.49582,0.5052,0.51909,0.57052,0.58357,0.57037,0.55382,0.54331,0.57213,0.58743
tuning_sensation_sd_a0.5_r0.01,0.49582,0.50197,0.52273,0.54603,0.57109,0.53769,0.5948,0.58513,0.63471,0.63085
tuning_sensation_sd_a0.5_r0.02,0.49582,0.50197,0.50463,0.61619,0.55299,0.57458,0.57978,0.5983,0.58925,0.61443
tuning_sensation_sd_a0.75_r0.01,0.49582,0.51186,0.5,0.5,0.56667,0.54869,0.57584,0.61022,0.57745,0.6201
tuning_sensation_sd_a0.75_r0.02,0.49582,0.51186,0.5,0.52112,0.51368,0.58229,0.59898,0.59919,0.59576,0.61589
