experiment,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9
tuning_trec_der_a0.1_b0.75_r0.01,0.22168,0.44293,0.6095,0.60372,0.64237,0.61927,0.63332,0.64177,0.82928,0.86177
tuning_trec_der_a0.1_b0.75_r0.02,0.22168,0.44293,0.60853,0.62855,0.63802,0.64862,0.66753,0.66498,0.82979,0.88053
tuning_trec_der_a0.1_b1_r0.01,0.22168,0.44604,0.60613,0.62523,0.64109,0.82838,0.82257,0.8247,0.8653,0.86927
tuning_trec_der_a0.1_b1_r0.02,0.22168,0.44604,0.61744,0.63005,0.65469,0.67488,0.84143,0.87374,0.89723,0.89675
tuning_trec_der_a0.25_b0.75_r0.01,0.22168,0.37579,0.6047,0.62386,0.65341,0.65651,0.65102,0.6731,0.66781,0.67598
tuning_trec_der_a0.25_b0.75_r0.02,0.22168,0.37579,0.59658,0.64922,0.64162,0.677,0.68207,0.67965,0.89422,0.89597
tuning_trec_der_a0.25_b1_r0.01,0.22168,0.38625,0.60134,0.64536,0.62156,0.63715,0.81935,0.68638,0.84785,0.67063
tuning_trec_der_a0.25_b1_r0.02,0.22168,0.38625,0.60624,0.66549,0.64119,0.66048,0.65691,0.68613,0.88019,0.87316
tuning_trec_der_a0.5_b0.75_r0.01,0.22168,0.336,0.51717,0.58291,0.59556,0.65757,0.65788,0.65253,0.66676,0.67578
tuning_trec_der_a0.5_b0.75_r0.02,0.22168,0.336,0.55138,0.63423,0.61908,0.65494,0.651,0.66949,0.66997,0.67583
tuning_trec_der_a0.5_b1_r0.01,0.22168,0.30069,0.54727,0.62783,0.6165,0.6418,0.64537,0.64168,0.6619,0.67246
tuning_trec_der_a0.5_b1_r0.02,0.22168,0.30069,0.57611,0.61745,0.61331,0.64777,0.81901,0.82202,0.65421,0.84012
tuning_trec_der_a0.75_b0.75_r0.01,0.22168,0.27052,0.50524,0.58231,0.62097,0.63588,0.63561,0.6406,0.67836,0.65522
tuning_trec_der_a0.75_b0.75_r0.02,0.22168,0.27052,0.53225,0.60239,0.63133,0.6453,0.66899,0.66012,0.66894,0.65958
tuning_trec_der_a0.75_b1_r0.01,0.22168,0.31224,0.4878,0.6009,0.59224,0.64702,0.66466,0.64186,0.67547,0.66499
tuning_trec_der_a0.75_b1_r0.02,0.22168,0.31224,0.54304,0.60873,0.61366,0.62642,0.63236,0.66506,0.68039,0.65511
tuning_trec_sd_a0.1_r0.01,0.22168,0.46907,0.59462,0.62081,0.6605,0.67142,0.6829,0.8416,0.85415,0.85479
tuning_trec_sd_a0.1_r0.02,0.22168,0.46907,0.60933,0.61432,0.7905,0.84116,0.8495,0.8576,0.87435,0.86555
tuning_trec_sd_a0.25_r0.01,0.22168,0.47526,0.58255,0.62773,0.65747,0.63997,0.83861,0.84607,0.84935,0.85944
tuning_trec_sd_a0.25_r0.02,0.22168,0.47526,0.59942,0.6218,0.64971,0.65305,0.85574,0.85407,0.85758,0.87362
tuning_trec_sd_a0.5_r0.01,0.22168,0.44947,0.59055,0.61563,0.60933,0.64708,0.83221,0.83663,0.85742,0.83788
tuning_trec_sd_a0.5_r0.02,0.22168,0.44947,0.5911,0.61521,0.62362,0.82741,0.86532,0.86576,0.89606,0.89384
tuning_trec_sd_a0.75_r0.01,0.22168,0.38064,0.52009,0.59609,0.59539,0.63189,0.63182,0.81905,0.8287,0.63366
tuning_trec_sd_a0.75_r0.02,0.22168,0.38064,0.54854,0.59519,0.61224,0.63869,0.65677,0.66575,0.6632,0.83921
tuning_trec_sds2_a0.1_l0.1_k0.1_r0.01,0.22168,0.4679,0.6107,0.80406,0.85905,0.65985,0.86432,0.8882,0.86648,0.85629
tuning_trec_sds2_a0.1_l0.1_k0.1_r0.02,0.22168,0.4679,0.62441,0.7891,0.83215,0.84379,0.87788,0.88611,0.87539,0.90203
tuning_trec_sds2_a0.1_l0.1_k1_r0.01,0.22168,0.46665,0.6173,0.6195,0.66408,0.68108,0.6788,0.85888,0.86773,0.86576
tuning_trec_sds2_a0.1_l0.1_k1_r0.02,0.22168,0.46665,0.61694,0.63098,0.83525,0.84567,0.8378,0.86313,0.84655,0.87444
tuning_trec_sds2_a0.1_l10_k0.1_r0.01,0.22168,0.42472,0.60908,0.78657,0.6413,0.80981,0.83789,0.88356,0.8801,0.90109
tuning_trec_sds2_a0.1_l10_k0.1_r0.02,0.22168,0.42472,0.62175,0.80452,0.84092,0.86646,0.8764,0.85738,0.88414,0.90898
tuning_trec_sds2_a0.1_l10_k1_r0.01,0.22168,0.40936,0.59197,0.63062,0.82096,0.84913,0.84698,0.88129,0.86676,0.89677
tuning_trec_sds2_a0.1_l10_k1_r0.02,0.22168,0.40936,0.61303,0.61792,0.628,0.81694,0.8484,0.8551,0.86562,0.87609
tuning_trec_sds2_a0.1_l1_k0.1_r0.01,0.22168,0.45547,0.60378,0.63707,0.65292,0.68455,0.66526,0.86288,0.84414,0.67666
tuning_trec_sds2_a0.1_l1_k0.1_r0.02,0.22168,0.45547,0.61417,0.63104,0.83896,0.85353,0.87626,0.86716,0.89356,0.89716
tuning_trec_sds2_a0.1_l1_k1_r0.01,0.22168,0.43696,0.59793,0.64841,0.65991,0.65855,0.68437,0.67411,0.85703,0.86083
tuning_trec_sds2_a0.1_l1_k1_r0.02,0.22168,0.43696,0.60972,0.64322,0.81398,0.86739,0.87282,0.8672,0.8649,0.88373
tuning_trec_sds2_a0.25_l0.1_k0.1_r0.01,0.22168,0.46259,0.5843,0.6387,0.66323,0.66126,0.653,0.676,0.67547,0.67778
