experiment,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9
tuning_sensation_der_adapter_c16,0.46651,0.64593,0.69856,0.72249,0.72727,0.73445,0.75837,0.76555,0.76316,0.75598
tuning_sensation_der_adapter_c8,0.51196,0.5311,0.55263,0.65311,0.66746,0.69139,0.69856,0.69856,0.7201,0.69139
tuning_sensation_der_lora_r4_a16,0.58373,0.53349,0.61722,0.65072,0.66746,0.69139,0.72488,0.71053,0.73445,0.72249
tuning_sensation_der_lora_r4_a8,0.64354,0.72488,0.73206,0.69617,0.70096,0.73684,0.7512,0.75359,0.76794,0.77751
tuning_sensation_der_lora_r8_a16,0.39952,0.56699,0.66507,0.73684,0.69139,0.689,0.74163,0.7201,0.73445,0.72967
tuning_sensation_der_lora_r8_a8,0.40431,0.71531,0.74163,0.72249,0.6866,0.69378,0.72249,0.72967,0.7177,0.75598
tuning_sensation_der_prefix_p10,0.61722,0.66507,0.73923,0.74163,0.74163,0.72488,0.74641,0.73923,0.76077,0.77033
tuning_sensation_der_prefix_p20,0.36603,0.57656,0.61244,0.70335,0.69856,0.70335,0.6555,0.74402,0.74402,0.75837
tuning_sensation_sd_adapter_c16,0.46651,0.61483,0.66746,0.70335,0.73684,0.72967,0.73684,0.75359,0.76794,0.74163
tuning_sensation_sd_adapter_c8,0.51196,0.57416,0.60048,0.65072,0.69378,0.70335,0.75837,0.72488,0.75837,0.7488
tuning_sensation_sd_lora_r4_a16,0.58373,0.55263,0.59809,0.64115,0.64593,0.63876,0.7201,0.68182,0.70813,0.71531
tuning_sensation_sd_lora_r4_a8,0.64354,0.72967,0.70096,0.7177,0.689,0.70335,0.74641,0.71531,0.7488,0.74402
tuning_sensation_sd_lora_r8_a16,0.39952,0.57656,0.60526,0.64593,0.65311,0.66507,0.67464,0.69378,0.68421,0.72249
tuning_sensation_sd_lora_r8_a8,0.40431,0.7177,0.6866,0.69378,0.72249,0.69856,0.68421,0.72488,0.73206,0.72488
tuning_sensation_sd_prefix_p10,0.61722,0.64354,0.72249,0.72488,0.75598,0.7512,0.75359,0.77273,0.77033,0.79904
tuning_sensation_sd_prefix_p20,0.36603,0.52153,0.69139,0.70335,0.6866,0.7201,0.70813,0.73445,0.76077,0.76555
tuning_sensation_sds2_adapter_c16,0.46651,0.61005,0.66268,0.69378,0.67225,0.67703,0.7177,0.73445,0.71053,0.72488
tuning_sensation_sds2_adapter_c8,0.51196,0.51914,0.59091,0.61722,0.61244,0.67703,0.63397,0.69139,0.69856,0.7177
tuning_sensation_sds2_lora_r4_a16,0.58373,0.55263,0.6244,0.64115,0.6555,0.66268,0.66986,0.67943,0.689,0.6866
tuning_sensation_sds2_lora_r4_a8,0.64354,0.71531,0.73923,0.73923,0.74163,0.7488,0.76077,0.75598,0.73923,0.76316
tuning_sensation_sds2_lora_r8_a16,0.39952,0.53828,0.58852,0.66507,0.69378,0.70813,0.73206,0.73684,0.73206,0.76555
tuning_sensation_sds2_lora_r8_a8,0.40431,0.71292,0.72727,0.7201,0.7201,0.7201,0.70574,0.70574,0.71292,0.67225
tuning_sensation_sds2_prefix_p10,0.61722,0.67943,0.71053,0.70335,0.70574,0.73923,0.73206,0.72727,0.71292,0.76077
tuning_sensation_sds2_prefix_p20,0.36603,0.54545,0.60287,0.62201,0.70574,0.71292,0.73206,0.75598,0.75359,0.74641
