experiment,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9
tuning_sensation_der_adapter_c16,0.49418,0.53283,0.49542,0.53157,0.57629,0.60436,0.73324,0.70819,0.68405,0.67063
tuning_sensation_der_adapter_c8,0.51775,0.54869,0.57894,0.60698,0.59937,0.63126,0.63168,0.63168,0.64527,0.62612
tuning_sensation_der_lora_r4_a16,0.50699,0.53118,0.5598,0.56928,0.58588,0.61244,0.6404,0.64443,0.6518,0.63658
tuning_sensation_der_lora_r4_a8,0.51363,0.54733,0.49573,0.60093,0.61733,0.63859,0.66052,0.66552,0.69275,0.71607
tuning_sensation_der_lora_r8_a16,0.49873,0.53976,0.57387,0.64479,0.6019,0.60339,0.64941,0.62993,0.64613,0.64176
tuning_sensation_der_lora_r8_a8,0.49624,0.53468,0.62139,0.47719,0.53109,0.59866,0.6214,0.64916,0.62303,0.68512
tuning_sensation_der_prefix_p10,0.5121,0.54865,0.64993,0.6395,0.64266,0.60248,0.65132,0.66033,0.68509,0.69589
tuning_sensation_der_prefix_p20,0.58135,0.58593,0.60672,0.59545,0.58623,0.60794,0.61637,0.6562,0.66653,0.67959
tuning_sensation_sd_adapter_c16,0.49418,0.51855,0.528,0.55013,0.61035,0.59004,0.62919,0.66609,0.70043,0.65211
tuning_sensation_sd_adapter_c8,0.51775,0.54368,0.53158,0.59559,0.60756,0.62271,0.67731,0.63514,0.67595,0.66273
tuning_sensation_sd_lora_r4_a16,0.50699,0.53889,0.55491,0.58739,0.59248,0.5879,0.63551,0.61542,0.60265,0.62637
tuning_sensation_sd_lora_r4_a8,0.51363,0.56453,0.55355,0.58795,0.58651,0.57648,0.64859,0.62784,0.66345,0.65287
tuning_sensation_sd_lora_r8_a16,0.49873,0.54499,0.55909,0.58445,0.58929,0.63413,0.62485,0.63473,0.61721,0.63658
tuning_sensation_sd_lora_r8_a8,0.49624,0.50758,0.53479,0.59308,0.61995,0.58203,0.60836,0.63908,0.65162,0.63908
tuning_sensation_sd_prefix_p10,0.5121,0.54611,0.60398,0.62581,0.67085,0.66227,0.6664,0.70067,0.69581,0.75142
tuning_sensation_sd_prefix_p20,0.58135,0.58273,0.63471,0.62909,0.62426,0.65823,0.63782,0.6638,0.68714,0.69346
tuning_sensation_sds2_adapter_c16,0.49418,0.51543,0.56552,0.58106,0.57345,0.58371,0.61705,0.63837,0.60366,0.62985
tuning_sensation_sds2_adapter_c8,0.51775,0.55495,0.57729,0.5641,0.5612,0.59532,0.59312,0.61416,0.60672,0.63454
tuning_sensation_sds2_lora_r4_a16,0.50699,0.54345,0.56427,0.57925,0.583,0.59787,0.59734,0.60823,0.59424,0.59207
tuning_sensation_sds2_lora_r4_a8,0.51363,0.56338,0.53775,0.62178,0.6322,0.65672,0.68005,0.67217,0.65816,0.68457
tuning_sensation_sds2_lora_r8_a16,0.49873,0.52448,0.58278,0.60714,0.63473,0.63473,0.6603,0.66851,0.66818,0.69627
tuning_sensation_sds2_lora_r8_a8,0.49624,0.49556,0.51414,0.58484,0.61842,0.64107,0.62799,0.64378,0.62844,0.61767
tuning_sensation_sds2_prefix_p10,0.5121,0.58772,0.6071,0.60963,0.62168,0.65294,0.64684,0.65325,0.63142,0.68228
tuning_sensation_sds2_prefix_p20,0.58135,0.61103,0.58597,0.55628,0.5863,0.62545,0.64922,0.67581,0.67267,0.65714
