experiment,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9
tuning_trec_der_adapter_c16,0.35841,0.61283,0.71239,0.76327,0.83628,0.8385,0.8208,0.87611,0.83186,0.85841
tuning_trec_der_adapter_c8,0.5,0.62611,0.69912,0.82301,0.87168,0.87611,0.88053,0.88717,0.89823,0.89602
tuning_trec_der_lora_r4_a16,0.31858,0.59956,0.74558,0.75,0.7677,0.74558,0.77212,0.80752,0.83628,0.84513
tuning_trec_der_lora_r4_a8,0.29867,0.46681,0.69027,0.74779,0.80088,0.78761,0.83628,0.83186,0.82743,0.86283
tuning_trec_der_lora_r8_a16,0.34071,0.57743,0.70575,0.71903,0.76991,0.77655,0.78319,0.81195,0.83186,0.84513
tuning_trec_der_lora_r8_a8,0.30973,0.49115,0.70133,0.71681,0.74779,0.76991,0.77876,0.82522,0.88496,0.88053
tuning_trec_der_prefix_p10,0.55973,0.65929,0.70796,0.73451,0.74779,0.76106,0.75,0.77876,0.79425,0.81195
tuning_trec_der_prefix_p20,0.55088,0.62611,0.6969,0.72566,0.74779,0.82301,0.85841,0.80752,0.89381,0.90044
tuning_trec_sd_adapter_c16,0.35841,0.63717,0.71239,0.76549,0.86062,0.84735,0.87611,0.88274,0.84735,0.87611
tuning_trec_sd_adapter_c8,0.5,0.65265,0.80752,0.83186,0.87389,0.86062,0.88496,0.89602,0.89381,0.88717
tuning_trec_sd_lora_r4_a16,0.31858,0.60177,0.73451,0.74558,0.74558,0.74779,0.82965,0.80531,0.79867,0.82301
tuning_trec_sd_lora_r4_a8,0.29867,0.48451,0.68142,0.79204,0.76991,0.80088,0.78319,0.79867,0.79646,0.80752
tuning_trec_sd_lora_r8_a16,0.34071,0.57743,0.67478,0.74336,0.74558,0.83628,0.86726,0.88053,0.87168,0.88938
tuning_trec_sd_lora_r8_a8,0.30973,0.48451,0.67478,0.70575,0.72566,0.79867,0.83186,0.83628,0.88274,0.87168
tuning_trec_sd_prefix_p10,0.55973,0.6792,0.73009,0.72788,0.76106,0.75442,0.76106,0.76549,0.77655,0.86062
tuning_trec_sd_prefix_p20,0.55088,0.66593,0.72788,0.76327,0.73673,0.75664,0.76549,0.76991,0.78097,0.8031
tuning_trec_sds2_adapter_c16,0.35841,0.64381,0.72124,0.82301,0.83628,0.87832,0.82965,0.85841,0.88274,0.87168
tuning_trec_sds2_adapter_c8,0.5,0.68584,0.73451,0.83628,0.84735,0.80531,0.87832,0.88496,0.89381,0.90265
tuning_trec_sds2_lora_r4_a16,0.31858,0.61504,0.71018,0.75,0.75221,0.75221,0.78319,0.77876,0.78319,0.83628
tuning_trec_sds2_lora_r4_a8,0.29867,0.51327,0.68805,0.8031,0.80531,0.82522,0.83186,0.80752,0.83628,0.87168
tuning_trec_sds2_lora_r8_a16,0.34071,0.57965,0.67478,0.74558,0.77434,0.78982,0.81858,0.79646,0.85398,0.85619
tuning_trec_sds2_lora_r8_a8,0.30973,0.50442,0.6792,0.71018,0.72566,0.75,0.75,0.8031,0.81637,0.89159
tuning_trec_sds2_prefix_p10,0.55973,0.67478,0.72788,0.73673,0.75664,0.76106,0.7677,0.8208,0.77655,0.87832
tuning_trec_sds2_prefix_p20,0.55088,0.66593,0.72124,0.74558,0.74779,0.76327,0.84513,0.88053,0.86726,0.85619
