experiment,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
tuning_trec_der_adapter_c16,0.2937,0.56508,0.65719,0.72965,0.83262,0.83025,0.80993,0.874,0.82616,0.85166
tuning_trec_der_adapter_c8,0.44769,0.57585,0.64436,0.82233,0.87131,0.87604,0.87988,0.88754,0.89731,0.89532
tuning_trec_der_lora_r4_a16,0.23478,0.55317,0.69235,0.69079,0.71149,0.69235,0.72068,0.78145,0.82471,0.83721
tuning_trec_der_lora_r4_a8,0.21749,0.4035,0.64349,0.73189,0.79413,0.78453,0.83216,0.82816,0.81723,0.86123
tuning_trec_der_lora_r8_a16,0.25046,0.52726,0.65677,0.66669,0.74088,0.74781,0.75026,0.79031,0.81864,0.84097
tuning_trec_der_lora_r8_a8,0.22743,0.41998,0.6515,0.66494,0.69319,0.71354,0.73734,0.80335,0.88277,0.8792
tuning_trec_der_prefix_p10,0.51312,0.61377,0.6586,0.68465,0.69575,0.71238,0.69868,0.72363,0.76269,0.79528
tuning_trec_der_prefix_p20,0.50665,0.58447,0.64991,0.67281,0.69393,0.81203,0.85929,0.78602,0.89385,0.90029
tuning_trec_sd_adapter_c16,0.2937,0.5916,0.65909,0.72361,0.86,0.84641,0.87539,0.88209,0.84703,0.87504
tuning_trec_sd_adapter_c8,0.44769,0.59825,0.80771,0.8288,0.87497,0.86053,0.88516,0.89595,0.89337,0.88657
tuning_trec_sd_lora_r4_a16,0.23478,0.55883,0.68752,0.68771,0.69151,0.71466,0.82322,0.79021,0.78372,0.81403
tuning_trec_sd_lora_r4_a8,0.21749,0.43433,0.65242,0.78302,0.75354,0.78196,0.76146,0.77325,0.77692,0.79434
tuning_trec_sd_lora_r8_a16,0.25046,0.52848,0.62703,0.71673,0.72552,0.83903,0.86756,0.88019,0.87157,0.8897
tuning_trec_sd_lora_r8_a8,0.22743,0.41456,0.62658,0.65369,0.66848,0.79238,0.82803,0.8314,0.88188,0.86951
tuning_trec_sd_prefix_p10,0.51312,0.63343,0.6811,0.6758,0.70868,0.70207,0.70713,0.71249,0.72721,0.85372
tuning_trec_sd_prefix_p20,0.50665,0.62183,0.67859,0.70879,0.68299,0.70183,0.70916,0.71212,0.72145,0.77864
tuning_trec_sds2_adapter_c16,0.2937,0.59966,0.66618,0.81864,0.83094,0.87663,0.82088,0.85736,0.88298,0.86933
tuning_trec_sds2_adapter_c8,0.44769,0.63307,0.70952,0.83667,0.84523,0.79566,0.87768,0.88518,0.89389,0.90194
tuning_trec_sds2_lora_r4_a16,0.23478,0.57313,0.66,0.6942,0.70033,0.7052,0.74477,0.73924,0.74125,0.82395
tuning_trec_sds2_lora_r4_a8,0.21749,0.4663,0.67115,0.79817,0.80217,0.8213,0.82903,0.79551,0.82996,0.87044
tuning_trec_sds2_lora_r8_a16,0.25046,0.53171,0.62604,0.71501,0.76592,0.77727,0.80989,0.76799,0.85237,0.84896
tuning_trec_sds2_lora_r8_a8,0.22743,0.44195,0.6318,0.65374,0.6697,0.69721,0.69931,0.77267,0.79749,0.8918
tuning_trec_sds2_prefix_p10,0.51312,0.63055,0.68208,0.68583,0.70318,0.70644,0.70965,0.81149,0.73863,0.87703
tuning_trec_sds2_prefix_p20,0.50665,0.62518,0.67285,0.69229,0.69704,0.70654,0.839,0.8729,0.86119,0.84938
