experiment,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9
tuning_trec_der_adapter_c16,0.35854,0.61386,0.71365,0.76442,0.83696,0.83947,0.82184,0.87684,0.83278,0.8593
tuning_trec_der_adapter_c8,0.50094,0.62731,0.70058,0.82386,0.87237,0.87681,0.88123,0.88784,0.8988,0.89658
tuning_trec_der_lora_r4_a16,0.31865,0.60085,0.74705,0.75149,0.76918,0.74702,0.77363,0.80886,0.83731,0.84602
tuning_trec_der_lora_r4_a8,0.29851,0.46716,0.69178,0.74883,0.80184,0.78839,0.83705,0.83284,0.82854,0.86345
tuning_trec_der_lora_r8_a16,0.34067,0.57842,0.70705,0.72035,0.77129,0.77789,0.78459,0.81322,0.83304,0.84594
tuning_trec_der_lora_r8_a8,0.30953,0.49181,0.70254,0.71819,0.7493,0.7714,0.78009,0.82643,0.88556,0.88114
tuning_trec_der_prefix_p10,0.56067,0.66067,0.70936,0.73591,0.7493,0.76275,0.75149,0.78044,0.79567,0.81327
tuning_trec_der_prefix_p20,0.55178,0.62731,0.69816,0.72708,0.74933,0.82406,0.85909,0.80877,0.89439,0.90088
tuning_trec_sd_adapter_c16,0.35854,0.63827,0.71354,0.76678,0.86117,0.84789,0.87661,0.8833,0.84804,0.87681
tuning_trec_sd_adapter_c8,0.50094,0.65392,0.80819,0.83266,0.87453,0.86137,0.88558,0.89655,0.89442,0.88775
tuning_trec_sd_lora_r4_a16,0.31865,0.60298,0.73599,0.74699,0.74705,0.74906,0.83061,0.80649,0.79974,0.82409
tuning_trec_sd_lora_r4_a8,0.29851,0.48491,0.68249,0.79295,0.77088,0.80208,0.78436,0.79997,0.79781,0.80857
tuning_trec_sd_lora_r8_a16,0.34067,0.57845,0.6762,0.7445,0.74664,0.83675,0.86781,0.8812,0.87228,0.88991
tuning_trec_sd_lora_r8_a8,0.30953,0.4852,0.67602,0.70708,0.72702,0.79947,0.83266,0.83711,0.88325,0.87234
tuning_trec_sd_prefix_p10,0.56067,0.6805,0.73167,0.72944,0.76269,0.75611,0.76263,0.76713,0.7781,0.86132
tuning_trec_sd_prefix_p20,0.55178,0.66731,0.72942,0.76488,0.73827,0.75842,0.76713,0.77161,0.78263,0.80436
tuning_trec_sds2_adapter_c16,0.35854,0.64488,0.72257,0.82368,0.83716,0.87898,0.83073,0.8593,0.88342,0.87254
tuning_trec_sds2_adapter_c8,0.50094,0.68719,0.73588,0.83699,0.84816,0.80655,0.87901,0.88561,0.89453,0.90327
tuning_trec_sds2_lora_r4_a16,0.31865,0.61623,0.71149,0.75143,0.75371,0.7536,0.78468,0.78026,0.78465,0.83725
tuning_trec_sds2_lora_r4_a8,0.29851,0.51374,0.68892,0.80389,0.80605,0.82594,0.83263,0.80863,0.83708,0.87231
tuning_trec_sds2_lora_r8_a16,0.34067,0.58056,0.67623,0.74678,0.77523,0.79079,0.8195,0.79784,0.85477,0.85716
tuning_trec_sds2_lora_r8_a8,0.30953,0.50509,0.68044,0.71155,0.72702,0.75143,0.75146,0.80453,0.81757,0.89222
tuning_trec_sds2_prefix_p10,0.56067,0.67599,0.7293,0.73848,0.75822,0.76269,0.76942,0.82181,0.77816,0.87906
tuning_trec_sds2_prefix_p20,0.55178,0.66711,0.72257,0.74731,0.74942,0.765,0.84614,0.88135,0.8681,0.85713
