experiment,run,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
baseline_agnews_10_adapter_coreset,1,7,29065,28902,28975,28846,28856,28841,28868,28858,28835
baseline_agnews_10_adapter_coreset,2,6,28822,28898,28935,28948,28938,28883,28974,29024,29043
baseline_agnews_10_adapter_coreset,3,6,28914,28988,29176,29015,28979,28985,29116,28943,28958
baseline_agnews_10_adapter_entropy,1,6,28254,27923,27614,27551,27511,27011,26565,26308,25945
baseline_agnews_10_adapter_entropy,2,5,28056,27852,27583,27304,27177,26745,26459,26207,25883
baseline_agnews_10_adapter_entropy,3,6,27924,27688,27672,27162,26891,26583,26315,25987,25674
baseline_agnews_10_adapter_random,1,6,12,12,14,13,13,12,13,13,13
baseline_agnews_10_adapter_random,2,5,11,12,12,13,13,12,12,13,12
baseline_agnews_10_adapter_random,3,6,12,12,12,12,13,13,12,13,14
baseline_agnews_10_lora_coreset,1,6,28201,28228,28284,28420,28235,28227,28381,28275,28229
baseline_agnews_10_lora_coreset,2,6,28457,28524,28534,28566,28583,28537,28625,28600,28570
baseline_agnews_10_lora_coreset,3,6,28293,28352,28355,28385,28382,28485,28496,28437,28682
baseline_agnews_10_lora_entropy,1,6,27513,27343,27040,26764,26472,26186,25910,25613,25382
baseline_agnews_10_lora_entropy,2,6,27499,27259,26997,26729,26512,26235,25979,25719,25347
baseline_agnews_10_lora_entropy,3,6,27460,27231,26938,26675,26404,26118,25932,25589,25339
baseline_agnews_10_lora_random,1,6,5,5,5,5,5,5,5,6,5
baseline_agnews_10_lora_random,2,6,12,5,6,5,5,5,5,5,6
baseline_agnews_10_lora_random,3,6,5,5,5,5,5,6,5,5,6
baseline_agnews_10_prefix_coreset,1,6,32302,32312,32282,32346,32407,32370,32392,32433,32439
baseline_agnews_10_prefix_coreset,2,6,32407,32415,32408,32420,32428,32424,32451,32441,32473
baseline_agnews_10_prefix_coreset,3,8,32169,32185,32192,32216,32239,32241,32223,32223,32246
baseline_agnews_10_prefix_entropy,1,6,31517,31137,30883,30592,30306,29997,29698,29381,29040
baseline_agnews_10_prefix_entropy,2,6,31479,31156,30845,30605,30236,29932,29601,29261,28996
baseline_agnews_10_prefix_entropy,3,6,31659,31335,31009,30718,30420,30078,29785,29443,29192
baseline_agnews_10_prefix_random,1,6,12,12,13,13,13,12,13,12,14
baseline_agnews_10_prefix_random,2,6,12,12,12,12,11,13,13,12,12
baseline_agnews_10_prefix_random,3,6,11,12,11,13,12,12,12,15,13
