experiment,run,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
baseline_agnews_10_adapter_coreset,1,16424,32952,49392,65876,82440,98895,115349,131576,148081,164454
baseline_agnews_10_adapter_coreset,2,16513,32911,49350,65779,82248,98654,115175,131623,148090,164332
baseline_agnews_10_adapter_coreset,3,16437,32916,49396,65808,82228,98693,115101,131556,148041,164311
baseline_agnews_10_adapter_entropy,1,16336,32907,49359,65793,82220,98687,115097,131550,147991,164273
baseline_agnews_10_adapter_entropy,2,16593,33372,49945,66565,82862,100042,116615,133388,150568,166432
baseline_agnews_10_adapter_entropy,3,16454,32979,49514,65991,82550,99024,115434,131748,148228,164555
baseline_agnews_10_adapter_random,1,16296,32541,48899,65237,81698,98075,114388,130975,147563,163651
baseline_agnews_10_adapter_random,2,16467,32836,49314,65752,82180,98618,115048,131511,147913,164221
baseline_agnews_10_adapter_random,3,16390,32841,49310,65757,82264,98633,115106,131559,148120,164430
baseline_agnews_10_lora_coreset,1,16370,33256,49869,66422,83076,99539,116247,132659,148927,165918
baseline_agnews_10_lora_coreset,2,16574,33271,49767,66560,83370,99984,116872,133417,149581,166334
baseline_agnews_10_lora_coreset,3,16617,33367,50009,66709,83325,99997,116562,133321,149793,165406
baseline_agnews_10_lora_entropy,1,16364,33209,49680,66431,83051,99496,115983,132823,149232,165823
baseline_agnews_10_lora_entropy,2,16552,33244,49898,66515,83300,100042,116537,132708,149985,166449
baseline_agnews_10_lora_entropy,3,16636,33414,50149,66778,83556,100275,116842,133672,150217,167049
baseline_agnews_10_lora_random,1,16459,33044,49637,66192,82834,99360,115458,131480,147678,164255
baseline_agnews_10_lora_random,2,16408,32747,49164,65632,81974,98285,114800,131236,147635,164216
baseline_agnews_10_lora_random,3,16482,32924,49467,66041,82622,99186,115664,132202,148255,164826
baseline_agnews_10_prefix_coreset,1,16790,33905,50829,67712,84688,101682,118791,135895,152866,169794
baseline_agnews_10_prefix_coreset,2,16953,33880,50750,67574,84630,101471,118199,135256,152100,169270
baseline_agnews_10_prefix_coreset,3,17069,33969,50823,67809,84857,101728,118586,135528,152311,169359
baseline_agnews_10_prefix_entropy,1,16817,33893,50797,67764,84758,101591,118668,135808,152631,169794
baseline_agnews_10_prefix_entropy,2,16905,33852,50695,67571,84581,101452,118253,135236,152056,168780
baseline_agnews_10_prefix_entropy,3,16962,34058,50987,68019,85099,102067,119040,136048,153061,170142
baseline_agnews_10_prefix_random,1,16852,33719,50595,67506,84488,101387,118300,135144,151985,168855
baseline_agnews_10_prefix_random,2,16852,33504,50217,67098,83996,100746,117524,134327,151074,167664
baseline_agnews_10_prefix_random,3,16888,33603,50424,67244,84180,101026,117812,134794,151708,168801
