experiment,run,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
baseline_sensation_10_adapter_coreset,1,4,19144,19192,19204,19178,19208,19172,19185,19181,19265
baseline_sensation_10_adapter_coreset,2,5,19167,19212,19346,19220,19246,19350,19330,19263,19302
baseline_sensation_10_adapter_coreset,3,4,19200,19201,19195,19226,19227,19196,19242,19338,19220
baseline_sensation_10_adapter_entropy,1,5,18626,18470,18276,18126,17946,17724,17593,17356,17229
baseline_sensation_10_adapter_entropy,2,4,18965,18810,18646,18462,18288,18118,17936,17759,17560
baseline_sensation_10_adapter_entropy,3,4,18905,18725,18588,18392,18199,17979,17778,17625,17432
baseline_sensation_10_adapter_random,1,4,9,9,17,9,11,9,10,10,10
baseline_sensation_10_adapter_random,2,4,9,9,9,9,9,9,10,9,10
baseline_sensation_10_adapter_random,3,5,9,9,9,9,10,10,10,9,10
baseline_sensation_10_lora_coreset,1,4,18665,18694,18821,18848,18805,18794,18793,18861,18794
baseline_sensation_10_lora_coreset,2,5,18960,19029,19100,19040,19076,19086,19064,19131,19060
baseline_sensation_10_lora_coreset,3,4,18912,18952,18936,19043,19106,19046,18999,18973,19014
baseline_sensation_10_lora_entropy,1,4,18558,18371,18195,17997,17787,17640,17415,17326,17115
baseline_sensation_10_lora_entropy,2,4,18506,18365,18199,17958,17817,17656,17403,17254,17092
baseline_sensation_10_lora_entropy,3,4,18623,18456,18366,18111,17914,17755,17629,17336,17170
baseline_sensation_10_lora_random,1,8,6,9,7,4,10,7,10,7,7
baseline_sensation_10_lora_random,2,4,6,9,4,9,4,7,4,7,8
baseline_sensation_10_lora_random,3,4,11,4,9,9,9,9,9,7,7
baseline_sensation_10_prefix_coreset,1,4,20218,20233,20229,20350,20286,20287,20326,20314,20333
baseline_sensation_10_prefix_coreset,2,4,20153,20200,20205,20238,20236,20248,20250,20223,20244
baseline_sensation_10_prefix_coreset,3,4,20229,20248,20301,20220,20239,20296,20288,20268,20250
baseline_sensation_10_prefix_entropy,1,5,19809,19684,19571,19229,19102,18917,18665,18516,18321
baseline_sensation_10_prefix_entropy,2,5,19949,19824,19622,19425,19215,19026,18847,18628,18416
baseline_sensation_10_prefix_entropy,3,5,20024,19841,19649,19516,19214,19053,18835,18667,18471
baseline_sensation_10_prefix_random,1,5,9,9,9,9,9,10,10,10,10
baseline_sensation_10_prefix_random,2,5,8,9,9,4,9,9,9,10,10
baseline_sensation_10_prefix_random,3,4,9,9,9,9,9,9,10,10,10
