experiment,run,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
baseline_trec_10_adapter_coreset,1,5,23876,23911,23967,23953,23916,23976,24056,23937,23937
baseline_trec_10_adapter_coreset,2,5,23797,23882,23878,23954,23900,23927,24016,23969,23945
baseline_trec_10_adapter_coreset,3,5,23744,24041,23799,23891,23800,23837,23790,23815,23774
baseline_trec_10_adapter_entropy,1,5,23164,23127,22770,22509,22417,22056,21993,21781,21526
baseline_trec_10_adapter_entropy,2,5,23393,23179,22952,22890,22548,22247,22037,21775,21614
baseline_trec_10_adapter_entropy,3,5,23707,23409,23149,22912,22696,22565,22267,22197,21806
baseline_trec_10_adapter_random,1,5,10,11,11,11,11,11,11,12,11
baseline_trec_10_adapter_random,2,5,10,10,10,11,11,11,11,11,11
baseline_trec_10_adapter_random,3,5,10,10,11,11,11,11,11,11,11
baseline_trec_10_lora_coreset,1,5,23989,24021,24089,24060,24041,24117,24085,24080,24116
baseline_trec_10_lora_coreset,2,5,24000,24140,24096,24107,24078,24031,24046,24059,24065
baseline_trec_10_lora_coreset,3,5,23647,23693,23804,23716,23736,23755,23718,23746,23735
baseline_trec_10_lora_entropy,1,5,22841,22720,22593,22310,22020,21762,21511,21307,21080
baseline_trec_10_lora_entropy,2,6,23180,22998,22741,22488,22290,22129,21879,21617,21385
baseline_trec_10_lora_entropy,3,5,23186,22996,22740,22558,22351,22052,21806,21579,21411
baseline_trec_10_lora_random,1,5,4,4,4,5,5,5,4,5,5
baseline_trec_10_lora_random,2,5,4,4,4,5,4,5,4,5,5
baseline_trec_10_lora_random,3,5,4,4,4,4,5,4,5,5,5
baseline_trec_10_prefix_coreset,1,5,25456,25517,25513,25510,25525,25548,25504,25547,25556
baseline_trec_10_prefix_coreset,2,5,25325,25385,25430,25400,25433,25467,25456,25471,25482
baseline_trec_10_prefix_coreset,3,5,25439,25429,25488,25462,25426,25514,25497,25514,25479
baseline_trec_10_prefix_entropy,1,5,24659,24422,24198,24014,23697,23449,23215,22993,22736
baseline_trec_10_prefix_entropy,2,5,24784,24547,24307,24129,23814,23567,23325,23047,22821
baseline_trec_10_prefix_entropy,3,5,24825,24570,24342,24145,23847,23620,23376,23118,22892
baseline_trec_10_prefix_random,1,7,10,10,11,11,11,11,8,11,11
baseline_trec_10_prefix_random,2,5,10,10,11,11,10,11,11,11,12
baseline_trec_10_prefix_random,3,5,10,10,8,11,11,11,11,11,12
