experiment,run,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
baseline_sensation_10_adapter_coreset,1,10902,22020,32941,43958,54897,65830,76739,87747,98663,109585
baseline_sensation_10_adapter_coreset,2,11170,22272,33366,44545,55674,66747,77903,89013,100247,111370
baseline_sensation_10_adapter_coreset,3,11080,21997,32916,44019,54910,65806,76789,87765,98644,109595
baseline_sensation_10_adapter_entropy,1,10953,21997,32908,43949,54878,65782,76703,87740,98658,109555
baseline_sensation_10_adapter_entropy,2,11190,22140,33209,44331,55352,66471,77528,88726,99735,110872
baseline_sensation_10_adapter_entropy,3,11073,22005,32921,43953,54857,65786,76685,87776,98652,109563
baseline_sensation_10_adapter_random,1,11021,21825,32742,43863,54763,65717,76622,87592,98544,109483
baseline_sensation_10_adapter_random,2,11151,21978,32966,44111,55147,66127,77155,88242,99297,110169
baseline_sensation_10_adapter_random,3,11118,21988,32911,43960,54874,65810,76737,87714,98590,109543
baseline_sensation_10_lora_coreset,1,10975,22139,33096,44104,55358,66384,77275,88514,99584,110549
baseline_sensation_10_lora_coreset,2,11154,22258,33430,44504,55647,66776,77725,88890,99972,111162
baseline_sensation_10_lora_coreset,3,11250,22217,33263,44176,55605,66640,77648,88890,99844,110981
baseline_sensation_10_lora_entropy,1,11091,22122,33130,44118,55246,66225,77271,88476,99381,110167
baseline_sensation_10_lora_entropy,2,11196,22278,33401,44432,55710,66773,77823,89041,99635,111106
baseline_sensation_10_lora_entropy,3,11199,22241,33380,44444,55640,66792,77898,89097,100113,111183
baseline_sensation_10_lora_random,1,11108,22079,33123,44108,55256,66370,77370,88500,99539,110554
baseline_sensation_10_lora_random,2,11134,22121,33155,44196,55389,66478,77555,88607,98928,109839
baseline_sensation_10_lora_random,3,11114,22006,32994,43971,55105,66116,77059,88129,99022,109882
baseline_sensation_10_prefix_coreset,1,10888,22019,33016,43980,55004,65856,76879,87882,98821,109842
baseline_sensation_10_prefix_coreset,2,10978,21949,32879,43856,54841,65675,76493,87730,98703,109524
baseline_sensation_10_prefix_coreset,3,11000,22089,33178,44117,55158,66138,77245,88148,99261,110232
baseline_sensation_10_prefix_entropy,1,10958,21982,32866,43876,54867,65743,76786,87778,98772,109677
baseline_sensation_10_prefix_entropy,2,10990,21911,32916,43880,54881,65702,76729,87736,98758,109698
baseline_sensation_10_prefix_entropy,3,11020,22054,33095,44143,55153,66094,77218,88365,99421,110640
baseline_sensation_10_prefix_random,1,11219,21851,32852,43814,54936,65758,76781,87762,98758,109529
baseline_sensation_10_prefix_random,2,10965,21802,32731,43693,54644,65413,76323,87310,98340,109254
baseline_sensation_10_prefix_random,3,10934,21858,32802,43747,54730,65589,76606,87645,98776,109751
