experiment,run,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
baseline_trec_10_adapter_coreset,1,13583,27546,41167,54903,68666,82248,96014,109647,123454,137005
baseline_trec_10_adapter_coreset,2,13868,27577,41242,55054,68870,82427,96268,110018,123648,137543
baseline_trec_10_adapter_coreset,3,13816,27664,41435,55298,69153,82854,96588,110251,123822,137663
baseline_trec_10_adapter_entropy,1,13690,27496,41140,54862,68603,82231,95942,109620,123332,136971
baseline_trec_10_adapter_entropy,2,13919,27884,41729,55623,69905,83562,97262,111403,124859,137970
baseline_trec_10_adapter_entropy,3,13751,27551,41200,54962,68679,82341,96163,109661,123615,137267
baseline_trec_10_adapter_random,1,13651,27327,41031,54758,68505,82100,95906,109479,123220,136884
baseline_trec_10_adapter_random,2,13885,27762,41549,55462,69290,82365,96286,109973,123796,137523
baseline_trec_10_adapter_random,3,13675,27329,40893,54675,68488,81931,95618,109275,122891,136600
baseline_trec_10_lora_coreset,1,13647,27547,41226,54927,68666,82510,96040,109985,123178,138307
baseline_trec_10_lora_coreset,2,13895,27824,41663,55531,69163,83201,96802,110902,124763,138461
baseline_trec_10_lora_coreset,3,13915,27897,41728,55654,69486,83524,97216,111316,125110,138995
baseline_trec_10_lora_entropy,1,13734,27675,41403,55223,68905,82593,96271,110048,123751,137302
baseline_trec_10_lora_entropy,2,13831,27747,41542,55438,69223,83133,96933,110833,124686,137997
baseline_trec_10_lora_entropy,3,13747,27809,41610,55496,69339,83143,96958,110855,124610,138472
baseline_trec_10_lora_random,1,13737,27493,41129,55037,68660,82541,96148,110044,123836,137632
baseline_trec_10_lora_random,2,13853,27701,41467,55288,68985,82179,95783,109501,123229,136858
baseline_trec_10_lora_random,3,13715,27405,41055,54797,68404,82143,95741,109563,123278,136908
baseline_trec_10_prefix_coreset,1,13688,27577,41347,55130,68876,82636,96376,109951,123465,137700
baseline_trec_10_prefix_coreset,2,13764,27569,41378,55101,68892,82661,96460,110260,124115,137909
baseline_trec_10_prefix_coreset,3,13815,27587,41280,55014,68647,82426,95871,109782,123507,137152
baseline_trec_10_prefix_entropy,1,13756,27504,41229,54994,68669,82441,96336,110042,123722,137428
baseline_trec_10_prefix_entropy,2,13789,27413,41136,54742,68476,82115,95945,109304,122988,136508
baseline_trec_10_prefix_entropy,3,13781,27554,41188,54877,68560,82234,96176,109923,123648,137432
baseline_trec_10_prefix_random,1,13744,27376,41033,54663,68361,81980,95662,109356,122975,136458
baseline_trec_10_prefix_random,2,13746,27300,40921,54545,68195,81890,95495,109153,122819,136499
baseline_trec_10_prefix_random,3,13763,27303,40967,54604,68199,81874,95481,109211,122814,136415
