experiment,run,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
training_agnews_10_adapter_der_coreset,1,6,28760,28454,28479,28448,28510,28489,28566,28530,28775
training_agnews_10_adapter_der_coreset,2,5,28653,28730,28754,28761,28740,28732,28715,28761,28750
training_agnews_10_adapter_der_coreset,3,5,28738,28638,28660,28618,28631,28607,28661,28690,28693
training_agnews_10_adapter_der_entropy,1,5,27790,27573,27422,27033,26712,26451,26345,25939,25680
training_agnews_10_adapter_der_entropy,2,4,28033,27671,27404,27125,26976,26690,26235,25930,25706
training_agnews_10_adapter_der_entropy,3,4,27729,27505,27375,26952,26620,26495,26216,25929,25538
training_agnews_10_adapter_der_random,1,5,9,7,4,4,4,4,4,4,4
training_agnews_10_adapter_der_random,2,4,9,6,4,6,4,4,6,4,4
training_agnews_10_adapter_der_random,3,4,8,7,4,4,6,4,4,6,4
training_agnews_10_adapter_sd_coreset,1,5,28666,28840,28743,28779,28786,28788,28801,28788,28959
training_agnews_10_adapter_sd_coreset,2,4,28956,28857,28872,29065,28919,28935,28967,28969,29024
training_agnews_10_adapter_sd_coreset,3,5,29075,29329,29127,29135,29137,29289,29105,29089,29093
training_agnews_10_adapter_sd_entropy,1,5,27994,27744,27625,27203,27055,26636,26341,26093,25799
training_agnews_10_adapter_sd_entropy,2,5,28276,28033,27643,27364,27109,26853,26540,26291,26037
training_agnews_10_adapter_sd_entropy,3,5,28486,28076,27803,27497,27203,26893,26631,26290,26034
training_agnews_10_adapter_sd_random,1,5,9,7,4,4,4,4,4,4,4
training_agnews_10_adapter_sd_random,2,4,9,7,4,4,4,4,4,4,4
training_agnews_10_adapter_sd_random,3,5,9,7,4,4,6,4,4,4,4
training_agnews_10_adapter_sds2_coreset,1,5,28792,28769,28764,28755,28748,28753,28777,28736,28787
training_agnews_10_adapter_sds2_coreset,2,4,28804,28861,28867,28879,29042,29034,28906,28852,28869
training_agnews_10_adapter_sds2_coreset,3,5,28921,28853,28906,28916,28943,28969,28985,28959,29035
training_agnews_10_adapter_sds2_entropy,1,5,28063,27841,27519,27227,26965,26623,26325,26077,25806
training_agnews_10_adapter_sds2_entropy,2,5,28269,27921,27791,27328,27050,26784,26515,26198,25924
training_agnews_10_adapter_sds2_entropy,3,5,28124,27919,27631,27324,27033,26807,26537,26259,25945
training_agnews_10_adapter_sds2_random,1,5,9,7,6,7,6,6,6,6,6
training_agnews_10_adapter_sds2_random,2,5,9,7,7,7,7,7,9,6,6
training_agnews_10_adapter_sds2_random,3,5,9,6,6,6,7,7,6,6,6
training_agnews_10_lora_der_coreset,1,5,28116,28172,28329,28252,28235,28244,28224,28272,28328
training_agnews_10_lora_der_coreset,2,5,28568,28632,28601,28664,28672,28616,28572,28650,28759
training_agnews_10_lora_der_coreset,3,4,28319,28286,28263,28299,28255,28383,28294,28244,28287
training_agnews_10_lora_der_entropy,1,5,27590,27345,27096,26804,26496,26321,25974,25742,25432
training_agnews_10_lora_der_entropy,2,5,27633,27430,27162,26860,26642,26332,26027,25751,25444
training_agnews_10_lora_der_entropy,3,5,27590,27385,27117,26847,26542,26284,26003,25672,25542
training_agnews_10_lora_der_random,1,5,4,4,4,4,4,4,4,4,4
training_agnews_10_lora_der_random,2,5,4,4,4,4,4,4,4,4,4
training_agnews_10_lora_der_random,3,4,4,4,4,4,4,4,4,4,4
