experiment,run,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
training_agnews_10_adapter_der_coreset,1,16608,32400,48009,48004,47986,47980,47706,48051,47971,47989
training_agnews_10_adapter_der_coreset,2,16799,32617,48161,48160,48151,48074,47756,48034,47993,47956
training_agnews_10_adapter_der_coreset,3,16923,32543,48069,48002,48005,47963,47723,47913,47810,47829
training_agnews_10_adapter_der_entropy,1,16579,32435,48023,48018,47992,48018,47734,47982,47979,48008
training_agnews_10_adapter_der_entropy,2,16905,32631,48282,48305,48213,48090,47804,48052,47984,47985
training_agnews_10_adapter_der_entropy,3,16834,32667,48071,48144,48118,48060,47748,47992,47987,47961
training_agnews_10_adapter_der_random,1,16623,32298,47794,47749,47771,47737,47437,47731,47694,47729
training_agnews_10_adapter_der_random,2,16767,32217,47860,47884,47899,47875,47561,47837,47801,47765
training_agnews_10_adapter_der_random,3,16739,32249,47802,47858,47884,47857,47586,47815,47749,47660
training_agnews_10_adapter_sd_coreset,1,16689,32830,48358,48337,48209,48242,47880,48156,48133,48123
training_agnews_10_adapter_sd_coreset,2,17049,32808,48496,48541,48542,48479,48143,48359,48367,48309
training_agnews_10_adapter_sd_coreset,3,16975,32959,48543,48639,48605,48531,48200,48357,48199,48183
training_agnews_10_adapter_sd_entropy,1,16799,32797,48329,48354,48325,48229,47936,48150,48124,48212
training_agnews_10_adapter_sd_entropy,2,17018,32833,48472,48578,48623,48627,48306,48542,48420,48431
training_agnews_10_adapter_sd_entropy,3,17026,32997,48692,48687,48671,48629,48279,48400,48326,48228
training_agnews_10_adapter_sd_random,1,16837,32687,48152,48088,48032,47969,47681,47915,47934,47917
training_agnews_10_adapter_sd_random,2,16826,32414,48006,48059,48069,48114,47780,48002,47967,47931
training_agnews_10_adapter_sd_random,3,16775,32482,48108,48164,48217,48194,47910,48142,48383,48010
training_agnews_10_adapter_sds2_coreset,1,16710,33004,33087,33058,33022,32994,32742,32926,32931,32887
training_agnews_10_adapter_sds2_coreset,2,16882,33158,33340,33420,33404,33337,32962,33093,32967,32897
training_agnews_10_adapter_sds2_coreset,3,16993,33207,33418,33460,33465,33475,33147,33293,33131,33042
training_agnews_10_adapter_sds2_entropy,1,16872,33212,33456,33377,33281,33153,32812,32973,32994,32991
training_agnews_10_adapter_sds2_entropy,2,17061,33187,33370,33415,33417,33420,33054,33188,33073,32996
training_agnews_10_adapter_sds2_entropy,3,16881,33150,33341,33357,33328,33333,33052,33268,33151,33043
training_agnews_10_adapter_sds2_random,1,16828,33002,33274,33249,33190,33081,32721,32907,32899,32872
training_agnews_10_adapter_sds2_random,2,17035,33048,33217,33224,33223,33308,32980,33069,32958,32832
training_agnews_10_adapter_sds2_random,3,16826,32757,33011,33046,33022,32985,32751,32937,32833,32761
training_agnews_10_lora_der_coreset,1,16822,32663,48058,48050,47993,47854,47853,47920,47938,47930
training_agnews_10_lora_der_coreset,2,17159,32744,48293,48327,48355,48326,48335,48380,48249,48043
training_agnews_10_lora_der_coreset,3,17028,32576,47984,47872,48001,48031,48008,48040,47936,47894
training_agnews_10_lora_der_entropy,1,16935,32536,47922,47887,47853,47859,47778,47886,47866,47910
training_agnews_10_lora_der_entropy,2,16980,32758,48207,48238,48266,48266,48255,48245,48062,47925
training_agnews_10_lora_der_entropy,3,16993,32485,47957,47925,47985,47969,47930,47998,47929,47867
training_agnews_10_lora_der_random,1,16935,32394,47800,47743,47690,47641,47590,47632,47576,47577
training_agnews_10_lora_der_random,2,17083,32443,47673,47697,47717,47749,47704,47822,47838,47742
training_agnews_10_lora_der_random,3,16823,32152,47546,47510,47524,47557,47533,47580,47454,47400
training_agnews_10_lora_sd_coreset,1,16721,32539,47826,47764,47788,47744,47716,47719,47661,47627
training_agnews_10_lora_sd_coreset,2,17110,32530,47989,48010,47936,47888,48083,48183,48192,47977
training_agnews_10_lora_sd_coreset,3,16958,32540,48046,48024,48004,48004,47875,47988,47938,47856
training_agnews_10_lora_sd_entropy,1,16935,32501,47877,47804,47789,47734,47715,47754,47692,47664
training_agnews_10_lora_sd_entropy,2,17197,32671,47970,47954,48066,48102,48128,48154,48052,47906
training_agnews_10_lora_sd_entropy,3,16957,32534,48010,48075,48069,48111,48106,48125,47937,47882
training_agnews_10_lora_sd_random,1,16932,32367,47700,47649,47961,47621,47573,47596,47511,47481
training_agnews_10_lora_sd_random,2,17131,32486,47819,47896,47891,47915,47717,47986,47666,47553
training_agnews_10_lora_sd_random,3,16795,32062,47469,47487,47458,47517,47505,47646,47582,47527
training_agnews_10_lora_sds2_coreset,1,16704,32881,33201,33220,33196,33057,32931,33025,32936,32941
training_agnews_10_lora_sds2_coreset,2,17177,32990,33237,33280,33309,33291,33272,33352,33263,32997
training_agnews_10_lora_sds2_coreset,3,16993,32792,33101,33160,33098,33182,33134,33217,33162,33001
training_agnews_10_lora_sds2_entropy,1,16929,32916,33160,33262,33253,33070,32977,33016,32935,32935
training_agnews_10_lora_sds2_entropy,2,17138,33053,33273,33292,33329,33357,33295,33391,33279,33036
training_agnews_10_lora_sds2_entropy,3,17017,32928,33115,33098,33226,33225,33212,33275,33053,32962
training_agnews_10_lora_sds2_random,1,16907,32679,32966,32996,33031,32842,32725,32765,32666,32627
training_agnews_10_lora_sds2_random,2,17069,32786,33052,33093,33077,33128,33151,33216,33030,32863
training_agnews_10_lora_sds2_random,3,16972,32698,32929,32912,32972,32886,32955,32961,32874,32706
training_agnews_10_prefix_der_coreset,1,16772,32650,46951,46975,46989,46982,46995,46991,46963,46952
training_agnews_10_prefix_der_coreset,2,16847,32592,47209,47039,47052,47080,47117,47094,47120,47122
training_agnews_10_prefix_der_coreset,3,16903,32657,47139,47177,47156,47120,47172,47140,47091,47058
training_agnews_10_prefix_der_entropy,1,16827,32544,47121,47111,47114,47152,47093,47112,47064,47093
training_agnews_10_prefix_der_entropy,2,16892,32456,47042,47069,47082,47133,47178,47170,47174,47158
training_agnews_10_prefix_der_entropy,3,16862,32637,46969,47025,46988,46946,46963,46880,46937,46884
training_agnews_10_prefix_der_random,1,16767,32364,46584,46612,46653,46585,46596,46652,46603,46594
training_agnews_10_prefix_der_random,2,16805,32301,46782,46779,46825,46817,46822,46817,46864,46901
training_agnews_10_prefix_der_random,3,16748,32277,46783,46817,46744,46767,46773,46778,46761,46711
training_agnews_10_prefix_sd_coreset,1,17158,33592,48047,48029,48025,48019,48002,47952,47961,47917
training_agnews_10_prefix_sd_coreset,2,17338,33560,47963,47993,48010,48033,48110,48027,48079,48085
training_agnews_10_prefix_sd_coreset,3,17418,33568,48098,48074,48057,48081,48025,48020,47982,47959
training_agnews_10_prefix_sd_entropy,1,17372,33555,47992,47978,48028,47936,47983,47949,47927,48191
training_agnews_10_prefix_sd_entropy,2,17409,33579,48136,48140,48160,48168,48165,48068,48087,48054
training_agnews_10_prefix_sd_entropy,3,17392,33572,48032,48014,48001,48019,47997,47977,47975,47921
training_agnews_10_prefix_sd_random,1,17296,33478,47762,47795,47763,47739,47723,47739,47712,47754
training_agnews_10_prefix_sd_random,2,17240,33331,47789,47897,47873,47843,47874,47852,47859,47835
training_agnews_10_prefix_sd_random,3,17290,33314,47707,47727,47712,47707,47701,47704,47700,47630
training_agnews_10_prefix_sds2_coreset,1,17276,33874,34077,34065,34069,34042,34041,33952,33972,33995
training_agnews_10_prefix_sds2_coreset,2,17428,33886,34103,34554,34158,34152,34140,34120,34148,34128
training_agnews_10_prefix_sds2_coreset,3,17388,33948,34098,34115,34104,34111,34105,34037,34060,34021
training_agnews_10_prefix_sds2_entropy,1,17356,33853,34083,34043,34022,34029,34018,34015,34006,33942
training_agnews_10_prefix_sds2_entropy,2,17394,33950,34120,34153,34166,34173,34611,34115,34118,34064
training_agnews_10_prefix_sds2_entropy,3,17421,33996,34148,34244,34115,34156,34120,34105,34102,34056
training_agnews_10_prefix_sds2_random,1,17327,33798,33944,33948,33954,34185,33939,33927,33892,33872
training_agnews_10_prefix_sds2_random,2,17370,33795,33975,33970,33983,33961,33945,33928,33902,33902
training_agnews_10_prefix_sds2_random,3,17381,33795,33831,33766,33744,33805,33772,33757,33768,33724
