experiment,run,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
training_sensation_10_adapter_der_coreset,1,3,19123,18947,18976,18922,18938,18973,18953,18994,18986
training_sensation_10_adapter_der_coreset,2,3,19133,19171,19176,19189,19191,19244,19273,19188,19192
training_sensation_10_adapter_der_coreset,3,3,19293,19299,19287,19335,19307,19369,19337,19357,19346
training_sensation_10_adapter_der_entropy,1,4,18700,18557,18416,18131,17982,17842,17710,17386,17243
training_sensation_10_adapter_der_entropy,2,3,18796,18596,18395,18246,18020,17845,17760,17491,17292
training_sensation_10_adapter_der_entropy,3,3,18819,18583,18415,18224,18166,17813,17647,17492,17307
training_sensation_10_adapter_der_random,1,4,6,5,5,5,7,4,4,4,5
training_sensation_10_adapter_der_random,2,4,6,6,6,6,6,4,4,6,6
training_sensation_10_adapter_der_random,3,3,6,6,6,4,4,5,4,4,4
training_sensation_10_adapter_sd_coreset,1,4,19151,19114,19125,19108,19122,19119,19111,19112,19115
training_sensation_10_adapter_sd_coreset,2,3,19101,19150,19175,19175,19290,19181,19203,19261,19170
training_sensation_10_adapter_sd_coreset,3,3,19158,19298,19304,19192,19230,19230,19247,19184,19228
training_sensation_10_adapter_sd_entropy,1,3,18616,18506,18210,18126,17858,17693,17470,17320,17209
training_sensation_10_adapter_sd_entropy,2,3,18765,18597,18405,18237,18136,17831,17627,17490,17300
training_sensation_10_adapter_sd_entropy,3,3,18882,18704,18559,18410,18145,17974,17818,17628,17397
training_sensation_10_adapter_sd_random,1,4,6,5,5,5,5,4,4,4,4
training_sensation_10_adapter_sd_random,2,3,6,4,4,5,4,4,4,4,4
training_sensation_10_adapter_sd_random,3,3,6,4,4,4,4,5,4,4,4
training_sensation_10_adapter_sds2_coreset,1,3,18950,18999,19045,18996,19045,19060,19070,19094,19213
training_sensation_10_adapter_sds2_coreset,2,3,19229,19316,19340,19346,19366,19340,19370,19383,19365
training_sensation_10_adapter_sds2_coreset,3,3,18972,18995,19016,19004,19000,18975,19099,19063,18989
training_sensation_10_adapter_sds2_entropy,1,3,18719,18538,18429,18218,18115,17885,17695,17529,17334
