experiment,run,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
training_sensation_10_adapter_der_coreset,1,11128,21659,21687,21666,21727,21729,21651,21628,21637,21583
training_sensation_10_adapter_der_coreset,2,11372,21701,21724,21769,21748,21742,21740,21722,21775,21761
training_sensation_10_adapter_der_coreset,3,11342,21794,21817,21804,21786,21804,21796,21811,21786,21734
training_sensation_10_adapter_der_entropy,1,11261,21687,21714,21811,21776,21688,21676,21675,21615,21598
training_sensation_10_adapter_der_entropy,2,11355,21744,21789,21805,21806,21813,21788,21804,21838,21768
training_sensation_10_adapter_der_entropy,3,11338,21738,21778,21783,21785,21789,21762,21751,21775,21742
training_sensation_10_adapter_der_random,1,11233,21575,21632,21681,21673,21642,21601,21574,21558,21526
training_sensation_10_adapter_der_random,2,11383,21620,21631,21630,21631,21654,21656,21673,21682,21633
training_sensation_10_adapter_der_random,3,11348,21618,21624,21618,21597,21605,21594,21616,21574,21556
training_sensation_10_adapter_sd_coreset,1,11250,21657,21702,21720,21718,21701,21637,21593,21591,21590
training_sensation_10_adapter_sd_coreset,2,11390,21791,21806,21813,21834,21843,21831,21825,21841,21759
training_sensation_10_adapter_sd_coreset,3,11333,21817,21829,21827,21838,21838,21814,21823,21791,21758
training_sensation_10_adapter_sd_entropy,1,11241,21711,21811,21818,21794,21728,21709,21647,21637,21611
training_sensation_10_adapter_sd_entropy,2,11368,21722,21737,21763,21755,21773,21777,21748,21801,21690
training_sensation_10_adapter_sd_entropy,3,11321,21727,21740,21781,21778,21820,21761,21775,21771,21745
training_sensation_10_adapter_sd_random,1,11284,21613,21683,21708,21689,21638,21611,21575,21525,21506
training_sensation_10_adapter_sd_random,2,11335,21533,21554,21558,21548,21576,21598,21582,21576,21514
training_sensation_10_adapter_sd_random,3,11300,21544,21545,21564,21518,21556,21560,21543,21534,21479
training_sensation_10_adapter_sds2_coreset,1,11133,21912,32519,32756,32739,32699,32669,32685,32729,32700
training_sensation_10_adapter_sds2_coreset,2,11413,22048,32736,32967,32987,33023,32994,32951,33021,32986
training_sensation_10_adapter_sds2_coreset,3,11340,21996,32620,32845,32821,32858,32810,32783,32735,32721
training_sensation_10_adapter_sds2_entropy,1,11228,21906,32448,32707,32684,32675,32650,32667,32682,32675
training_sensation_10_adapter_sds2_entropy,2,11397,22059,32697,32951,32994,33016,32958,33019,32996,32939
training_sensation_10_adapter_sds2_entropy,3,11348,21988,32665,32934,32875,32907,32857,32831,32846,32769
training_sensation_10_adapter_sds2_random,1,11267,21818,32416,32628,32606,32620,32569,32557,32568,32542
training_sensation_10_adapter_sds2_random,2,11396,21821,32413,32648,32675,32604,32557,32608,32620,32594
training_sensation_10_adapter_sds2_random,3,11240,21748,32354,32579,32615,32585,32570,32607,32655,32607
training_sensation_10_lora_der_coreset,1,11255,21809,21864,21870,21759,21874,21853,21777,21761,21603
training_sensation_10_lora_der_coreset,2,11413,21830,21837,21876,21772,21897,21907,21898,21886,21734
training_sensation_10_lora_der_coreset,3,11358,21705,21795,21804,21700,21857,21823,21827,21828,21668
training_sensation_10_lora_der_entropy,1,11347,21747,21789,21837,21772,21751,21841,21765,21753,21600
training_sensation_10_lora_der_entropy,2,11453,21883,21890,21984,21838,21981,21989,21996,21985,21829
training_sensation_10_lora_der_entropy,3,11371,21758,21815,21843,21726,21866,21845,21849,21826,21673
training_sensation_10_lora_der_random,1,11331,21591,21665,21703,21616,21667,21648,21587,21559,21396
training_sensation_10_lora_der_random,2,11391,21561,21578,21595,21491,21634,21664,21667,21693,21521
training_sensation_10_lora_der_random,3,11301,21539,21559,21585,21455,21611,21613,21625,21598,21448
training_sensation_10_lora_sd_coreset,1,11283,21789,21829,21877,21779,21877,21800,21783,21742,21573
training_sensation_10_lora_sd_coreset,2,11468,21861,21871,21940,21794,21961,21948,21955,21938,21788
