experiment,run,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
training_trec_10_adapter_der_coreset,1,4,23923,23945,24107,23982,23957,23913,23971,23932,24044
training_trec_10_adapter_der_coreset,2,4,23898,23924,23887,23953,23926,23954,24024,23962,23994
training_trec_10_adapter_der_coreset,3,4,23734,23790,23793,23795,23959,23841,23831,23837,23828
training_trec_10_adapter_der_entropy,1,4,23281,23087,22899,22666,22406,22178,21922,21814,21580
training_trec_10_adapter_der_entropy,2,4,23397,23223,22994,22741,22499,22373,22116,21924,21593
training_trec_10_adapter_der_entropy,3,4,23478,23395,23074,22852,22736,22489,22154,21916,21657
training_trec_10_adapter_der_random,1,4,7,5,3,3,3,3,3,3,3
training_trec_10_adapter_der_random,2,4,8,5,4,3,3,5,3,3,6
training_trec_10_adapter_der_random,3,4,7,5,3,6,3,3,3,3,3
training_trec_10_adapter_sd_coreset,1,4,23779,23962,23868,23857,23990,23937,23846,23846,23854
training_trec_10_adapter_sd_coreset,2,4,23982,24055,24030,24160,24010,24077,24076,24051,24095
training_trec_10_adapter_sd_coreset,3,4,24001,23974,24122,24001,24204,24046,24051,24037,24048
training_trec_10_adapter_sd_entropy,1,4,23412,23242,23109,22761,22521,22371,22037,21889,21627
training_trec_10_adapter_sd_entropy,2,4,23449,23279,23020,22787,22594,22318,22040,21928,21706
training_trec_10_adapter_sd_entropy,3,4,23300,23128,22882,22622,22429,22181,21951,21749,21503
training_trec_10_adapter_sd_random,1,6,7,5,3,3,3,3,3,3,3
training_trec_10_adapter_sd_random,2,4,7,5,3,4,3,3,3,3,3
training_trec_10_adapter_sd_random,3,4,7,5,3,3,5,3,3,3,3
training_trec_10_adapter_sds2_coreset,1,4,23666,23731,23732,23730,23939,23750,23780,23747,23722
training_trec_10_adapter_sds2_coreset,2,4,23957,24098,23980,24095,24020,23966,24021,24016,24110
training_trec_10_adapter_sds2_coreset,3,4,24143,24199,24237,24145,24288,24148,24211,24203,24292
training_trec_10_adapter_sds2_entropy,1,6,23315,23136,22875,22648,22396,22154,21880,21672,21431
training_trec_10_adapter_sds2_entropy,2,4,23354,23186,22968,22699,22443,22251,22012,21772,21558
training_trec_10_adapter_sds2_entropy,3,4,23402,23213,23068,22888,22564,22327,22066,21858,21606
training_trec_10_adapter_sds2_random,1,4,8,6,3,3,3,3,3,3,3
training_trec_10_adapter_sds2_random,2,4,8,6,3,3,3,3,3,3,3
training_trec_10_adapter_sds2_random,3,4,7,5,3,3,3,3,3,3,3
training_trec_10_lora_der_coreset,1,4,23937,23937,23984,23962,24017,24027,23947,23932,24406
training_trec_10_lora_der_coreset,2,4,23786,23763,23779,23783,23729,23776,23846,23802,23784
training_trec_10_lora_der_coreset,3,4,23805,23864,23876,23861,23853,23864,23884,23921,23998
training_trec_10_lora_der_entropy,1,4,23122,22950,22744,22510,22227,22049,21775,21557,21328
training_trec_10_lora_der_entropy,2,4,23042,22873,22648,22464,22208,21909,21772,21504,21268
training_trec_10_lora_der_entropy,3,4,23182,22947,22806,22539,22309,22040,21860,21709,21369
training_trec_10_lora_der_random,1,5,3,6,3,5,3,5,7,3,3
training_trec_10_lora_der_random,2,4,7,5,5,3,6,3,3,5,3
training_trec_10_lora_der_random,3,4,6,5,3,5,3,3,3,3,5
training_trec_10_lora_sd_coreset,1,4,23824,23884,23861,24000,23889,23934,23925,23961,23934
training_trec_10_lora_sd_coreset,2,4,23583,23679,23602,23587,23594,23593,23608,23636,23629
training_trec_10_lora_sd_coreset,3,4,23666,23713,23749,23733,23752,23824,23780,23759,23786
training_trec_10_lora_sd_entropy,1,4,22901,22684,22513,22299,22069,21827,21605,21349,21137
training_trec_10_lora_sd_entropy,2,4,23254,23025,22820,22573,22390,22066,21838,21620,21409
training_trec_10_lora_sd_entropy,3,4,23205,23000,22851,22803,22513,22335,21884,21601,21484
training_trec_10_lora_sd_random,1,4,8,7,3,3,5,5,5,3,3
training_trec_10_lora_sd_random,2,4,7,8,5,3,5,3,5,3,3
training_trec_10_lora_sd_random,3,4,8,3,3,3,6,5,5,5,5
training_trec_10_lora_sds2_coreset,1,4,23383,23422,23398,23465,23468,23489,23467,23494,23505
training_trec_10_lora_sds2_coreset,2,4,23701,23756,23767,23797,23767,23741,23723,23722,23756
training_trec_10_lora_sds2_coreset,3,4,23757,23746,23724,23737,23708,23747,23741,23803,23749
training_trec_10_lora_sds2_entropy,1,4,23033,22915,22604,22502,22186,21978,21690,21551,21240
training_trec_10_lora_sds2_entropy,2,4,23076,22872,22584,22398,22141,22031,21676,21400,21231
training_trec_10_lora_sds2_entropy,3,4,23308,23087,22854,22611,22370,22166,21902,21679,21456
training_trec_10_lora_sds2_random,1,4,8,3,6,3,3,3,5,3,5
training_trec_10_lora_sds2_random,2,4,5,5,3,3,3,4,3,3,3
training_trec_10_lora_sds2_random,3,4,3,8,3,3,5,5,3,3,3
training_trec_10_prefix_der_coreset,1,4,26722,26708,26779,26700,26741,26741,26767,26748,26744
