experiment,run,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
training_trec_10_adapter_der_coreset,1,13934,27181,40250,40199,40119,40080,40229,40040,40014,39934
training_trec_10_adapter_der_coreset,2,14235,27345,40325,40371,40368,40367,40520,40221,40142,40130
training_trec_10_adapter_der_coreset,3,14155,27305,40334,40367,40398,40362,40540,40289,40227,40175
training_trec_10_adapter_der_entropy,1,14120,27227,40251,40261,40115,40056,40188,40020,39952,39950
training_trec_10_adapter_der_entropy,2,14227,27292,40235,40271,40213,40244,40486,40232,40144,40116
training_trec_10_adapter_der_entropy,3,14135,27264,40274,40286,40322,40364,40557,40304,40233,40117
training_trec_10_adapter_der_random,1,14074,27084,40025,39878,39884,39875,40054,39848,39821,39815
training_trec_10_adapter_der_random,2,14092,26920,39841,39878,39885,39866,40114,39926,39855,39828
training_trec_10_adapter_der_random,3,14018,26888,39849,39926,39941,39962,40118,39926,39891,39888
training_trec_10_adapter_sd_coreset,1,14004,27235,40305,40285,40194,40171,40235,40003,40022,39981
training_trec_10_adapter_sd_coreset,2,14198,27273,40265,40324,40269,40152,40482,40318,40290,40129
training_trec_10_adapter_sd_coreset,3,14131,27234,40270,40261,40279,40318,40334,40319,40289,40231
training_trec_10_adapter_sd_entropy,1,14051,27254,40291,40242,40207,40154,40275,40024,40042,40022
training_trec_10_adapter_sd_entropy,2,14238,27289,40268,40260,40293,40281,40489,40285,40215,40066
training_trec_10_adapter_sd_entropy,3,14092,27212,40294,40295,40297,40300,40467,40244,40200,40157
training_trec_10_adapter_sd_random,1,14071,27072,39980,40043,39968,39931,40106,39894,39851,39832
training_trec_10_adapter_sd_random,2,14170,27107,39976,39987,40028,40026,40226,40041,39937,39922
training_trec_10_adapter_sd_random,3,14138,27026,39920,39945,39932,39956,40178,39952,39927,39895
training_trec_10_adapter_sds2_coreset,1,13945,27543,40805,41151,41179,41085,41240,40991,40866,40830
training_trec_10_adapter_sds2_coreset,2,14195,27534,40771,41118,41090,41132,41257,41081,41011,40881
training_trec_10_adapter_sds2_coreset,3,14099,27468,40786,41125,41162,41125,41371,41207,41105,41083
training_trec_10_adapter_sds2_entropy,1,14059,27489,40809,41108,40965,40851,41004,40831,40806,40801
