experiment,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
tuning_sensation_der_a0.1_b0.75_r0.01,11388,21809,21876,21889,21823,21889,21824,21815,21774,21613
tuning_sensation_der_a0.1_b0.75_r0.02,11284,21607,31988,31985,31866,32022,31995,31934,31941,31922
tuning_sensation_der_a0.1_b1_r0.01,11277,21687,21735,21792,21666,21739,21659,21676,21679,21534
tuning_sensation_der_a0.1_b1_r0.02,11277,21662,32005,31936,31868,31994,31981,31948,31948,31956
tuning_sensation_der_a0.25_b0.75_r0.01,11279,21693,21788,21776,21664,21766,21742,21744,21733,21589
tuning_sensation_der_a0.25_b0.75_r0.02,11305,21709,32030,31945,31919,32038,31980,31952,31936,31909
tuning_sensation_der_a0.25_b1_r0.01,11285,21677,21718,21790,21645,21731,21695,21720,21674,21524
tuning_sensation_der_a0.25_b1_r0.02,11260,21648,31981,31947,31862,32047,32021,31950,31949,31911
tuning_sensation_der_a0.5_b0.75_r0.01,11267,21651,21748,21777,21643,21690,21714,21686,21691,21581
tuning_sensation_der_a0.5_b0.75_r0.02,11292,21707,32087,32090,31989,32087,32154,31987,32011,31973
tuning_sensation_der_a0.5_b1_r0.01,11285,21709,21746,21787,21692,21726,21713,21692,21710,21564
tuning_sensation_der_a0.5_b1_r0.02,11288,21660,31984,31982,31906,31996,31993,31928,31960,31924
tuning_sensation_der_a0.75_b0.75_r0.01,11280,21652,21701,21777,21550,21729,21684,21670,21639,21508
tuning_sensation_der_a0.75_b0.75_r0.02,11273,21666,31989,31947,31842,32010,32010,31972,31984,31968
tuning_sensation_der_a0.75_b1_r0.01,11271,21687,21738,21787,21687,21775,21751,21736,21692,21568
tuning_sensation_der_a0.75_b1_r0.02,11288,21713,32029,31950,31893,31993,31972,31936,31916,31921
tuning_sensation_sd_a0.1_r0.01,11296,21671,21749,21761,21643,21712,21715,21690,21669,21508
tuning_sensation_sd_a0.1_r0.02,11268,21660,31963,31943,31844,31954,31944,31905,31920,31874
tuning_sensation_sd_a0.25_r0.01,11289,21647,21720,21755,21621,21732,21710,21711,21707,21603
tuning_sensation_sd_a0.25_r0.02,11263,21710,32052,32029,31927,32057,32103,31973,31996,31961
tuning_sensation_sd_a0.5_r0.01,11302,21721,21756,21822,21684,21768,21715,21723,21679,21550
tuning_sensation_sd_a0.5_r0.02,11283,21651,31988,31942,31947,31987,31954,31916,31942,31909
tuning_sensation_sd_a0.75_r0.01,11291,21678,21735,21792,21685,21741,21741,21737,21717,21547
tuning_sensation_sd_a0.75_r0.02,11292,21664,31986,31963,31879,32020,32025,31948,31946,31969
tuning_sensation_sds2_a0.1_l0.1_k0.1_r0.01,11282,21824,22088,22140,21994,22081,22094,22062,22016,21858
tuning_sensation_sds2_a0.1_l0.1_k0.1_r0.02,11306,21929,32509,32735,32597,32733,32712,32624,32654,32608
tuning_sensation_sds2_a0.1_l0.1_k1_r0.01,11272,21889,22078,22109,21953,22043,22016,22018,21985,21815
tuning_sensation_sds2_a0.1_l0.1_k1_r0.02,11288,21871,32419,32690,32569,32676,32696,32675,32636,32612
tuning_sensation_sds2_a0.1_l10_k0.1_r0.01,11278,21882,22055,22113,21950,22006,22043,22044,22014,21868
tuning_sensation_sds2_a0.1_l10_k0.1_r0.02,11266,21915,32500,32756,32681,32814,32762,32701,32652,32632
tuning_sensation_sds2_a0.1_l10_k1_r0.01,11295,21888,22061,22125,21988,22074,22043,21987,21984,21833
tuning_sensation_sds2_a0.1_l10_k1_r0.02,11303,21901,32441,32684,32583,32674,32738,32643,32628,32625
tuning_sensation_sds2_a0.1_l1_k0.1_r0.01,11270,21855,22023,22066,21942,22008,21985,21975,21972,21846
tuning_sensation_sds2_a0.1_l1_k0.1_r0.02,11217,21892,32531,32743,32687,32778,32739,32714,32673,32723
tuning_sensation_sds2_a0.1_l1_k1_r0.01,11303,21918,22080,22140,21992,22067,22070,22036,22000,21858
tuning_sensation_sds2_a0.1_l1_k1_r0.02,11290,21907,32462,32660,32541,32711,32687,32650,32639,32664
tuning_sensation_sds2_a0.25_l0.1_k0.1_r0.01,11312,21895,22046,22145,22016,22098,22071,22004,21974,21831
