experiment,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
tuning_trec_der_a0.1_b0.75_r0.01,4,22901,22787,22501,22293,22018,21789,21558,21303,21071
tuning_trec_der_a0.1_b0.75_r0.02,4,22944,22657,22504,22224,21964,21810,21603,21298,21067
tuning_trec_der_a0.1_b1_r0.01,4,22870,22671,22456,22249,22046,21823,21536,21381,21085
tuning_trec_der_a0.1_b1_r0.02,4,22965,22732,22576,22308,22024,21880,21550,21385,21085
tuning_trec_der_a0.25_b0.75_r0.01,4,22886,22681,22477,22340,21995,21782,21559,21319,21094
tuning_trec_der_a0.25_b0.75_r0.02,4,22886,22678,22470,22229,22070,21799,21625,21392,21114
tuning_trec_der_a0.25_b1_r0.01,4,22882,22718,22603,22270,21998,21901,21591,21362,21145
tuning_trec_der_a0.25_b1_r0.02,4,22916,22657,22502,22215,22014,21795,21567,21297,21056
tuning_trec_der_a0.5_b0.75_r0.01,4,22867,22686,22427,22186,21965,21804,21545,21320,21174
tuning_trec_der_a0.5_b0.75_r0.02,4,22892,22662,22495,22269,22030,21894,21581,21387,21155
tuning_trec_der_a0.5_b1_r0.01,4,22911,22808,22473,22248,22049,21792,21629,21370,21121
tuning_trec_der_a0.5_b1_r0.02,4,22902,22672,22553,22207,22088,21791,21601,21401,21121
tuning_trec_der_a0.75_b0.75_r0.01,4,22967,22679,22516,22320,21991,21777,21599,21320,21094
tuning_trec_der_a0.75_b0.75_r0.02,4,22886,22825,22451,22279,22044,21778,21526,21307,21121
tuning_trec_der_a0.75_b1_r0.01,4,22886,22666,22476,22250,22087,21777,21576,21296,21053
tuning_trec_der_a0.75_b1_r0.02,4,22864,22676,22452,22304,22014,21797,21632,21303,21116
tuning_trec_sd_a0.1_r0.01,4,22907,22836,22497,22290,22077,21803,21548,21388,21155
tuning_trec_sd_a0.1_r0.02,4,22874,22704,22493,22219,22057,21871,21585,21337,21093
tuning_trec_sd_a0.25_r0.01,4,22952,22676,22454,22202,22008,21771,21642,21302,21111
tuning_trec_sd_a0.25_r0.02,4,22885,22727,22452,22272,22020,21773,21676,21324,21139
tuning_trec_sd_a0.5_r0.01,4,22897,22679,22484,22251,22060,21796,21520,21353,21055
tuning_trec_sd_a0.5_r0.02,4,22865,22665,22470,22241,21974,21744,21521,21290,21107
tuning_trec_sd_a0.75_r0.01,4,22864,22764,22421,22202,22099,21797,21532,21313,21105
tuning_trec_sd_a0.75_r0.02,4,23001,22694,22515,22282,22054,21831,21593,21361,21152
tuning_trec_sds2_a0.1_l0.1_k0.1_r0.01,4,22896,22685,22458,22237,22068,21784,21513,21316,21037
tuning_trec_sds2_a0.1_l0.1_k0.1_r0.02,4,22857,22619,22480,22231,22005,21792,21502,21341,21062
tuning_trec_sds2_a0.1_l0.1_k1_r0.01,4,22971,22715,22501,22225,22031,21760,21538,21373,21123
tuning_trec_sds2_a0.1_l0.1_k1_r0.02,4,22828,22697,22510,22310,21963,21768,21486,21280,21017
tuning_trec_sds2_a0.1_l10_k0.1_r0.01,6,22848,22624,22449,22198,21964,21722,21514,21314,21075
tuning_trec_sds2_a0.1_l10_k0.1_r0.02,4,22864,22652,22479,22287,22023,21779,21537,21368,21081
tuning_trec_sds2_a0.1_l10_k1_r0.01,6,22832,22647,22537,22211,21956,21777,21494,21289,21082
tuning_trec_sds2_a0.1_l10_k1_r0.02,4,22850,22670,22415,22189,21987,21775,21508,21319,21009
tuning_trec_sds2_a0.1_l1_k0.1_r0.01,4,22835,22698,22438,22253,22051,21785,21575,21314,21068
tuning_trec_sds2_a0.1_l1_k0.1_r0.02,4,22894,22687,22470,22229,21995,21748,21482,21382,21038
tuning_trec_sds2_a0.1_l1_k1_r0.01,4,22830,22660,22467,22230,21949,21744,21539,21360,21109
tuning_trec_sds2_a0.1_l1_k1_r0.02,4,22834,22693,22490,22275,22025,21802,21543,21369,21112
tuning_trec_sds2_a0.25_l0.1_k0.1_r0.01,4,22916,22720,22557,22291,22025,21764,21531,21291,21107
tuning_trec_sds2_a0.25_l0.1_k0.1_r0.02,4,22858,22639,22468,22227,22008,21868,21474,21329,21060
tuning_trec_sds2_a0.25_l0.1_k1_r0.01,4,22842,22631,22438,22186,22030,21748,21557,21328,21114
tuning_trec_sds2_a0.25_l0.1_k1_r0.02,4,22961,22710,22549,22297,22044,21824,21533,21304,21075
tuning_trec_sds2_a0.25_l10_k0.1_r0.01,4,22865,22641,22446,22198,22010,21868,21568,21332,21071
tuning_trec_sds2_a0.25_l10_k0.1_r0.02,4,22857,22678,22479,22239,22006,21785,21498,21282,20997
tuning_trec_sds2_a0.25_l10_k1_r0.01,4,22838,22681,22431,22228,21963,21785,21541,21424,21139
