experiment,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
tuning_agnews_der_adapter_c16,6,28138,27542,27293,27003,26751,26448,26256,25895,25808
tuning_agnews_der_adapter_c8,5,27837,27631,27335,27054,26753,26637,26213,25928,25602
tuning_agnews_der_lora_r4_a16,5,27930,27779,27410,27166,26952,26624,26345,26047,25820
tuning_agnews_der_lora_r4_a8,5,27813,27585,27320,27055,26775,26554,26229,25884,25625
tuning_agnews_der_lora_r8_a16,5,27522,27269,27009,26732,26459,26195,25894,25660,25348
tuning_agnews_der_lora_r8_a8,5,27472,27250,27007,26760,26443,26185,25927,25583,25348
tuning_agnews_der_prefix_p10,5,29547,29269,28963,28660,28323,28071,27842,27485,27181
tuning_agnews_der_prefix_p20,5,31640,31327,31034,30763,30362,30091,29783,29459,29148
tuning_agnews_sd_adapter_c16,5,27780,27494,27251,26956,26675,26356,26119,25829,25667
tuning_agnews_sd_adapter_c8,5,27774,27599,27350,27048,26800,26561,26250,26146,25702
tuning_agnews_sd_lora_r4_a16,5,28004,27748,27515,27184,26962,26663,26379,26065,25836
tuning_agnews_sd_lora_r4_a8,4,28015,27758,27546,27272,26975,26684,26417,26093,25873
tuning_agnews_sd_lora_r8_a16,5,27879,27637,27421,27106,26814,26617,26324,26147,25856
tuning_agnews_sd_lora_r8_a8,5,27939,27620,27341,27093,26831,26594,26218,25930,25656
tuning_agnews_sd_prefix_p10,4,29916,29623,29349,29019,28724,28446,28099,27833,27621
tuning_agnews_sd_prefix_p20,5,31460,31105,30827,30514,30163,29932,29622,29252,28927
tuning_agnews_sds2_adapter_c16,5,27722,27540,27234,26978,26705,26434,26139,25822,25548
tuning_agnews_sds2_adapter_c8,5,28084,27839,27596,27317,27025,26695,26593,26180,25883
tuning_agnews_sds2_lora_r4_a16,5,27557,27306,27179,26788,26499,26285,26031,25722,25499
tuning_agnews_sds2_lora_r4_a8,5,27624,27394,27100,26827,26498,26219,25939,25822,25463
tuning_agnews_sds2_lora_r8_a16,5,27706,27438,27155,26846,26616,26314,26060,25729,25580
tuning_agnews_sds2_lora_r8_a8,5,27517,27340,27041,26785,26432,26211,25966,25696,25614
tuning_agnews_sds2_prefix_p10,5,29631,29372,29107,28778,28449,28282,27883,27553,27291
tuning_agnews_sds2_prefix_p20,5,31684,31334,31001,30716,30399,30091,29729,29430,29163
